,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Hans Lindberg,BER,Right Wing,34,,242,288,84.03 %,2021/22
1,2,Omar Ingi Magnusson,SCM,Right Back,33,,237,339,69.91 %,2021/22
2,3,Bjarki Mar Elisson,TBV,Left Wing,34,,234,319,73.35 %,2021/22
3,4,Casper Mortensen,HSV,Left Wing,34,,206,288,71.53 %,2021/22
4,5,Niclas Ekberg,THW,Right Wing,34,,189,245,77.14 %,2021/22
5,6,Marcel Schiller,FAG,Left Wing,32,,186,259,71.81 %,2021/22
6,7,Vladan Lipovina,HBW,Right Back,34,,177,345,51.30 %,2021/22
7,8,Simon Jeppsson,HCE,Left Back,33,,176,302,58.28 %,2021/22
8,9,Tom Skroblien,NLB,Left Wing,33,,172,251,68.53 %,2021/22
9,10,Johan Hansen,HAN,Right Wing,33,,162,250,64.80 %,2021/22
10,11,Tomas Urban,GWD,Right Wing,34,,160,247,64.78 %,2021/22
11,12,Andy Schmid,RNL,Centre Back,34,,159,286,55.59 %,2021/22
12,13,Hampus Wanne,SGF,Left Wing,27,,158,204,77.45 %,2021/22
13,14,Julius Kühn,MTM,Left Back,34,,157,298,52.68 %,2021/22
14,15,Lenny Rubin,WET,Left Back,33,,154,294,52.38 %,2021/22
15,16,Mohamed Amine Darmoul,GWD,Centre Back,33,,150,228,65.79 %,2021/22
16,17,Ivan Martinovic,HAN,Right Back,30,,143,245,58.37 %,2021/22
17,18,Kai Häfner,MTM,Right Back,32,,139,252,55.16 %,2021/22
18,19,Christoph Steinert,HCE,Right Back,27,,137,221,61.99 %,2021/22
19,20,Niklas Weller,HSV,Pivot,32,,137,184,74.46 %,2021/22
20,21,Jacob Tandrup Holm,BER,Centre Back,33,,134,217,61.75 %,2021/22
21,22,Adam Lönn,TVB,Left Back,31,,131,239,54.81 %,2021/22
22,23,Jonathan Carlsbogard,TBV,Left Back,33,,128,249,51.41 %,2021/22
23,24,Sime Ivic,LEI,Right Back,34,,127,223,56.95 %,2021/22
24,25,Lasse Bredekjaer Andersson,BER,Left Back,34,,127,249,51.00 %,2021/22
25,26,Lukas Binder,LEI,Left Wing,34,,125,174,71.84 %,2021/22
26,27,Patrick Zieker,TVB,Left Wing,33,,123,168,73.21 %,2021/22
27,28,Viggó Kristjánsson,TVB,Right Back,24,,123,184,66.85 %,2021/22
28,29,Linus Arnesson,BHC,Centre Back,29,,122,227,53.74 %,2021/22
29,30,Kevin Maageroe Gulliksen,FAG,Right Wing,30,,122,175,69.71 %,2021/22
30,31,Johannes Golla,SGF,Pivot,34,,121,155,78.06 %,2021/22
31,32,Sander Sagosen,THW,Left Back,29,,121,206,58.74 %,2021/22
32,33,Jannik Kohlbacher,RNL,Pivot,32,,120,163,73.62 %,2021/22
33,34,Harald Reinkind,THW,Right Back,34,,116,201,57.71 %,2021/22
34,35,Jim Gottfridsson,SGF,Centre Back,32,,115,172,66.86 %,2021/22
35,36,Mijajlo Marsenic,BER,Pivot,33,,113,144,78.47 %,2021/22
36,37,Lukas Mertens,SCM,Left Wing,34,,111,154,72.08 %,2021/22
37,38,Stefan Cavor,WET,Right Back,31,,110,204,53.92 %,2021/22
38,39,Domagoj Duvnjak,THW,Centre Back,34,,110,195,56.41 %,2021/22
39,40,Tim Suton,TBV,Centre Back,30,,107,199,53.77 %,2021/22
40,41,Mads Mensah Larsen,SGF,unknown,34,,106,197,53.81 %,2021/22
41,42,Niclas Kirkeløkke,RNL,Right Back,34,,106,203,52.22 %,2021/22
42,43,Patrick Groetzki,RNL,Right Wing,32,,105,144,72.92 %,2021/22
43,44,Patrick Wiencek,THW,Pivot,34,,103,135,76.30 %,2021/22
44,45,Lasse Svan,SGF,Right Wing,33,,102,144,70.83 %,2021/22
