,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
45,46,Jon Lindenchrone Andersen,FAG,Right Back,34,,102,179,56.98 %,2021/22
46,47,Patrick Wiesmach Larsen,LEI,Right Wing,33,,99,141,70.21 %,2021/22
47,48,Maximilian Holst,WET,Left Wing,34,,97,117,82.91 %,2021/22
48,49,Kresimir Kozina,FAG,Pivot,34,,97,127,76.38 %,2021/22
49,50,Sebastian Heymann,FAG,Left Back,24,,97,151,64.24 %,2021/22
50,51,Egon Hanusz,TVB,Centre Back,32,,96,125,76.80 %,2021/22
51,52,Lucas Krzikalla,LEI,Right Wing,34,,95,131,72.52 %,2021/22
52,53,Luca Witzke,LEI,Centre Back,30,,95,168,56.55 %,2021/22
53,54,Veit Mävers,HAN,Centre Back,32,,95,176,53.98 %,2021/22
54,55,Adam Nyfjäll,WET,Pivot,34,,95,125,76.00 %,2021/22
55,56,Filip Kuzmanovski,HAN,Left Back,34,,94,141,66.67 %,2021/22
56,57,Lukas Zerbe,TBV,Right Wing,34,,93,126,73.81 %,2021/22
57,58,Sascha Pfattheicher,TVB,Right Wing,32,,92,125,73.60 %,2021/22
58,59,Tim Nothdurft,HBW,Left Wing,29,,91,129,70.54 %,2021/22
59,60,Jona Schoch,HBW,Left Back,32,,91,180,50.56 %,2021/22
60,61,Arnor Thor Gunnarsson,BHC,Right Wing,33,,90,120,75.00 %,2021/22
61,62,David Schmidt,BHC,Right Back,29,,90,190,47.37 %,2021/22
62,63,Magnus Saugstrup,SCM,Pivot,34,,89,111,80.18 %,2021/22
63,64,Olle Forsell Schefvert,WET,Centre Back,32,,89,152,58.55 %,2021/22
64,65,Emil Mellegard,WET,Left Wing,34,,88,122,72.13 %,2021/22
65,66,Jan Forstbauer,HSV,Right Back,33,,87,176,49.43 %,2021/22
66,67,Juri Knorr,RNL,unknown,34,,87,169,51.48 %,2021/22
67,68,Emil Jakobsen,SGF,Left Wing,31,,86,116,74.14 %,2021/22
68,69,Niclas Pieczkowski,GWD,Centre Back,31,,85,160,53.13 %,2021/22
69,70,Peter Strosack,NLB,Right Wing,34,,85,123,69.11 %,2021/22
70,71,Johannes Sellin,HCE,Right Wing,31,,85,119,71.43 %,2021/22
71,72,Tobias Reichmann,MTM,Right Wing,24,,84,110,76.36 %,2021/22
72,73,Gisli Thorgeir Kristjansson,SCM,Centre Back,34,,84,136,61.76 %,2021/22
73,74,Michael Damgaard,SCM,Left Back,32,,83,146,56.85 %,2021/22
74,75,Timo Kastening,MTM,Right Wing,24,,83,129,64.34 %,2021/22
75,76,Christopher Bissel,HCE,Left Wing,33,,82,114,71.93 %,2021/22
76,77,Björn Zintel,HBW,Centre Back,34,,82,149,55.03 %,2021/22
77,78,Antonio Metzner,HCE,Right Back,29,,81,165,49.09 %,2021/22
78,79,Benas Petreikis,NLB,Centre Back,34,,81,149,54.36 %,2021/22
79,80,Moritz Strosack,HBW,Right Wing,26,,81,102,79.41 %,2021/22
80,81,Fabian Wiede,BER,Right Back,28,,80,148,54.05 %,2021/22
81,82,Jerome Müller,TVB,Right Back,24,,80,155,51.61 %,2021/22
82,83,Zarko Peshevski,TVB,Pivot,34,,80,118,67.80 %,2021/22
83,84,Leif Tissier,HSV,Centre Back,26,,78,122,63.93 %,2021/22
84,85,Mats Korte,GWD,Left Wing,32,,77,106,72.64 %,2021/22
85,86,Magnus Landin Jacobsen,THW,Left Wing,34,,77,108,71.30 %,2021/22
86,87,Nico Büdel,HCE,Centre Back,33,,76,130,58.46 %,2021/22
87,88,Philipp Weber,SCM,Left Back,34,,75,129,58.14 %,2021/22
88,89,Jeffrey Boomhouwer,BHC,Left Wing,34,,75,108,69.44 %,2021/22
89,90,Tim Hornke,SCM,Right Wing,30,,74,105,70.48 %,2021/22
90,91,Maciej Gebala,LEI,Pivot,31,,74,108,68.52 %,2021/22
91,92,Elvar Örn Jonsson,MTM,Left Back,25,,74,110,67.27 %,2021/22
92,93,Sebastian Firnhaber,HCE,Pivot,29,,73,99,73.74 %,2021/22
93,94,Milos Vujovic,BER,Left Wing,34,,73,103,70.87 %,2021/22
94,95,Teitur Örn Einarsson,SGF,Right Back,25,,71,121,58.68 %,2021/22
95,96,Philipp Bauer,HSV,Centre Back,30,,71,133,53.38 %,2021/22
96,97,Yves Kunkel,MTM,Left Wing,31,,70,105,66.67 %,2021/22
97,98,Lukas Stutzke,BHC,Left Back,29,,69,134,51.49 %,2021/22
98,99,Tim Kneule,FAG,Centre Back,31,,69,124,55.65 %,2021/22
99,100,Steffen Weinhold,THW,Right Back,32,,69,103,66.99 %,2021/22
100,101,Tim Zechel,HCE,Pivot,34,,69,83,83.13 %,2021/22
101,102,Nikola Jukic,GWD,Right Back,29,,69,158,43.67 %,2021/22
102,103,Andreas Cederholm,TBV,Right Back,22,,68,122,55.74 %,2021/22
103,104,Vincent Büchner,HAN,Left Wing,34,,68,101,67.33 %,2021/22
104,105,Alexander Weck,BHC,Left Back,33,,66,159,41.51 %,2021/22
105,106,Miro Schluroff,GWD,Left Back,30,,66,118,55.93 %,2021/22
106,107,Marko Mamic,LEI,Left Back,33,,66,137,48.18 %,2021/22
107,108,Benjamin Helander,RNL,Left Wing,23,,66,95,69.47 %,2021/22
108,109,Domen Novak,WET,Right Wing,34,,65,98,66.33 %,2021/22
109,110,Dominik Weiß,TVB,Left Back,33,,64,134,47.76 %,2021/22
110,111,Tobias Heinzelmann,HBW,Pivot,31,,64,87,73.56 %,2021/22
111,112,Lutz Heiny,NLB,Left Back,23,,63,137,45.99 %,2021/22
112,113,Uwe Gensheimer,RNL,Left Wing,12,,62,85,72.94 %,2021/22
113,114,Magnus Gullerud,SCM,Pivot,34,,61,76,80.26 %,2021/22
114,115,Max Darj,BHC,Pivot,27,,61,84,72.62 %,2021/22
115,116,Bobby Schagen,TBV,Right Wing,31,,60,89,67.42 %,2021/22
116,117,Ilija Brozovic,HAN,Pivot,34,,60,89,67.42 %,2021/22
117,118,Tom Kare Nikolaisen,BHC,Pivot,32,,59,78,75.64 %,2021/22
118,119,Hendrik Pekeler,THW,Pivot,27,,58,80,72.50 %,2021/22
119,120,Tomas Babak,BHC,Centre Back,27,,58,105,55.24 %,2021/22
120,121,Lars Weissgerber,WET,Right Wing,33,,58,85,68.24 %,2021/22
121,122,Luka Mrakovčić,NLB,Centre Back,33,,57,109,52.29 %,2021/22
122,123,Gedeón Guardiola,TBV,Pivot,30,,57,97,58.76 %,2021/22
123,124,Lukas Nilsson,RNL,Left Back,23,,57,102,55.88 %,2021/22
124,125,Kay Smits,SCM,Right Back,34,,57,82,69.51 %,2021/22
125,126,Tim Ruggiero-Matthes,BER,Left Wing,33,,57,80,71.25 %,2021/22
126,127,Nejc Cehte,HAN,Right Back,32,,57,121,47.11 %,2021/22
127,128,Magnus Fredriksen,WET,Centre Back,33,,57,97,58.76 %,2021/22
128,129,Andre Gomes,MTM,Left Back,20,,57,111,51.35 %,2021/22
129,130,Miha Zarabec,THW,Centre Back,34,,55,91,60.44 %,2021/22
130,131,Domagoj Pavlovic,MTM,Centre Back,22,,55,74,74.32 %,2021/22
131,132,Daniel Pettersson,SCM,Right Wing,34,,54,75,72.00 %,2021/22
132,133,Max Staar,GWD,Right Wing,28,,54,92,58.70 %,2021/22
133,134,Frederik Simak,TBV,Left Back,32,,54,90,60.00 %,2021/22
134,135,Paul Drux,BER,Left Back,29,,53,83,63.86 %,2021/22
135,136,Jacob Bagersted,FAG,Pivot,33,,53,67,79.10 %,2021/22
136,137,Valentin Spohn,NLB,Left Back,21,,53,107,49.53 %,2021/22
137,138,Florian Baumgärtner,NLB,Right Back,19,,52,138,37.68 %,2021/22
138,139,Azat Valiullin,HSV,Left Back,27,,52,102,50.98 %,2021/22
139,140,Albin Lagergren,RNL,Right Back,29,,52,79,65.82 %,2021/22
140,141,Fabian Böhm,HAN,Left Back,26,,51,117,43.59 %,2021/22
141,142,Nikola Bilyk,THW,Left Back,34,,50,86,58.14 %,2021/22
142,143,Tobias Ellebæk,FAG,Left Back,26,,50,90,55.56 %,2021/22
143,144,Lovro Jotić,LEI,Centre Back,27,,50,103,48.54 %,2021/22
144,145,Janus Dadi Smarason,FAG,Centre Back,24,,49,84,58.33 %,2021/22
145,146,Frederik Bo Andersen,HSV,Right Wing,32,,49,79,62.03 %,2021/22
146,147,Christian O'Sullivan,SCM,Centre Back,33,,48,58,82.76 %,2021/22
147,148,Till Hermann,FAG,Left Wing,33,,48,69,69.57 %,2021/22
148,149,Marek Nissen,NLB,Left Back,34,,47,86,54.65 %,2021/22
149,150,Nemanja Zelenovic,FAG,Right Back,29,,46,87,52.87 %,2021/22
150,151,Fabian Wiederstein,HBW,Pivot,29,,46,66,69.70 %,2021/22
151,152,Oskar Sunnefeldt,LEI,Left Back,34,,46,98,46.94 %,2021/22
152,153,Lukas Hutecek,TBV,Left Back,29,,46,89,51.69 %,2021/22
153,154,Marko Bezjak,SCM,Centre Back,34,,45,59,76.27 %,2021/22
154,155,Philipp Ahouansou,RNL,Left Back,22,,45,68,66.18 %,2021/22
155,156,Marius Steinhauser,SGF,Right Wing,31,,44,61,72.13 %,2021/22
156,157,Finn Wullenweber,HSV,Left Back,24,,44,89,49.44 %,2021/22
157,158,Lucas Meister,GWD,Pivot,33,,44,75,58.67 %,2021/22
158,159,Alexander Schulze,TVB,Left Wing,34,,44,58,75.86 %,2021/22
159,160,Evgeni Pevnov,HAN,Pivot,25,,43,56,76.79 %,2021/22
160,161,Alen Milosevic,LEI,Pivot,32,,43,58,74.14 %,2021/22
161,162,Hampus Olsson,HCE,Right Wing,32,,43,60,71.67 %,2021/22
162,163,Felix Danner,WET,Pivot,32,,42,53,79.25 %,2021/22
163,164,Thies Bergemann,HSV,Right Wing,29,,42,61,68.85 %,2021/22
164,165,Aaron Mensing,SGF,Left Back,24,,41,81,50.62 %,2021/22
165,166,Jan Grebenc,GWD,Left Back,30,,40,79,50.63 %,2021/22
166,167,Gøran Søgard Johannessen,SGF,Left Back,21,,40,63,63.49 %,2021/22
167,168,Tin Kontrec,NLB,Pivot,25,,39,55,70.91 %,2021/22
168,169,Arnar Freyr Arnarsson,MTM,Pivot,34,,39,53,73.58 %,2021/22
169,170,James Scott,HBW,Left Back,30,,39,79,49.37 %,2021/22
170,171,Jonathan Edvardsson,HAN,Centre Back,28,,39,59,66.10 %,2021/22
171,172,Fabian Gutbrod,BHC,Left Back,17,,38,74,51.35 %,2021/22
172,173,Rune Dahmke,THW,Left Wing,31,,38,49,77.55 %,2021/22
173,174,Simen Schönningsen,BHC,Right Back,28,,37,69,53.62 %,2021/22
174,175,Leos Petrovsky,NLB,Pivot,33,,37,52,71.15 %,2021/22
175,176,Kristjan Horzen,RNL,Pivot,34,,37,55,67.27 %,2021/22
176,177,Isaias Guardiola Villaplana,TBV,Right Back,21,,36,65,55.38 %,2021/22
177,178,Simon Hald Jensen,SGF,Pivot,33,,36,46,78.26 %,2021/22
178,179,Alexander Petersson,MTM,Right Back,33,,35,63,55.56 %,2021/22
179,180,Sebastian Augustinussen,TVB,Right Wing,32,,35,67,52.24 %,2021/22
180,181,Dominik Axmann,HSV,Left Back,14,,34,51,66.67 %,2021/22
181,182,Kristian Beciri,HBW,Pivot,26,,32,50,64.00 %,2021/22
182,183,Hannes Feise,HAN,Left Wing,34,,31,42,73.81 %,2021/22
183,184,Michael Allendorf,MTM,Left Wing,31,,31,48,64.58 %,2021/22
184,185,Daniel Ingason,HBW,Left Back,34,,30,65,46.15 %,2021/22
185,186,Gleb Kalarash,MTM,Pivot,26,,29,39,74.36 %,2021/22
186,187,Nicolai Theilinger,HSV,Right Back,23,,28,47,59.57 %,2021/22
187,188,Andri Mar Runarsson,TVB,Centre Back,34,,27,43,62.79 %,2021/22
188,189,Sven Ehrig,THW,Right Wing,33,,27,47,57.45 %,2021/22
189,190,Franz Semper,SGF,Right Back,16,,25,58,43.10 %,2021/22
190,191,Christian Zeitz,GWD,Right Back,30,,25,54,46.30 %,2021/22
191,192,Gregor Thomann,HBW,Right Wing,26,,25,43,58.14 %,2021/22
192,193,Jan-Eric Speckmann,NLB,Left Wing,16,,25,37,67.57 %,2021/22
193,194,Matthias Musche,SCM,Left Wing,22,,24,33,72.73 %,2021/22
194,195,Andrej Kogut,TBV,Centre Back,19,,24,43,55.81 %,2021/22
195,196,Maximilian Janke,GWD,Centre Back,26,,24,33,72.73 %,2021/22
196,197,Yannick Dräger,NLB,Pivot,32,,24,36,66.67 %,2021/22
197,198,Gregor Remke,LEI,Right Back,32,,24,43,55.81 %,2021/22
198,199,Marko Kopljar,BER,Right Back,29,,24,40,60.00 %,2021/22
199,200,Petter Øverby,HCE,Pivot,30,,24,29,82.76 %,2021/22
200,201,Lion Zacharias,RNL,Left Wing,21,,24,35,68.57 %,2021/22
201,202,Steffen Fäth,HCE,Left Back,20,,23,54,42.59 %,2021/22
202,203,Tobias Schimmelbauer,HSV,Left Wing,31,,23,27,85.19 %,2021/22
203,204,Lukas Saueressig,HBW,Centre Back,16,,23,39,58.97 %,2021/22
204,205,Marvin Mundus,NLB,Right Back,34,,23,42,54.76 %,2021/22
205,206,Ivan Srsen,WET,Right Back,34,,23,45,51.11 %,2021/22
206,207,Simon Ernst,LEI,Centre Back,34,,22,46,47.83 %,2021/22
207,208,Johan Koch,BER,Pivot,21,,22,32,68.75 %,2021/22
208,209,Manuel Späth,HSV,Pivot,33,,21,38,55.26 %,2021/22
209,210,Fynn-Luca Nicolaus,TVB,Left Back,14,,21,27,77.78 %,2021/22
210,211,Max Häfner,TVB,Centre Back,15,,20,37,54.05 %,2021/22
211,212,Justus Richtzenhain,GWD,Pivot,33,,20,27,74.07 %,2021/22
212,213,Martin Hanne,HAN,Left Back,16,,20,47,42.55 %,2021/22
213,214,Jan Kleineidam,HSV,Centre Back,22,,19,34,55.88 %,2021/22
214,215,Axel Goller,FAG,Right Wing,33,,19,30,63.33 %,2021/22
215,216,Tomislav Kusan,WET,Pivot,18,,18,22,81.82 %,2021/22
216,217,Marino Maric,MTM,Pivot,31,,18,21,85.71 %,2021/22
217,218,Sebastian Damm,BHC,Left Wing,28,,18,24,75.00 %,2021/22
218,219,Samuel Röthlisberger,TVB,Pivot,31,,18,28,64.29 %,2021/22
219,220,Josip Sarac,FAG,Left Back,13,,18,28,64.29 %,2021/22
220,221,Max Beneke,BER,Right Back,17,,17,25,68.00 %,2021/22
221,222,Marian Michalczik,BER,Centre Back,12,,17,24,70.83 %,2021/22
222,223,Yannick Fraatz,BHC,Right Wing,14,,17,28,60.71 %,2021/22
223,224,Lukas Ossenkopp,HSV,Left Back,28,,17,28,60.71 %,2021/22
224,225,Tom Bergner,BHC,Pivot,29,,17,27,62.96 %,2021/22
225,226,Florian Kranzmann,GWD,Left Wing,34,,17,31,54.84 %,2021/22
226,227,Justus Fischer,HAN,Pivot,19,,17,20,85.00 %,2021/22
227,228,Emil Hansson,BHC,Right Wing,32,,17,26,65.38 %,2021/22
228,229,Marc Esche,LEI,Left Wing,33,,16,27,59.26 %,2021/22
229,230,Filip Mirkulovski,WET,Centre Back,30,,15,26,57.69 %,2021/22
230,231,Piotr Chrapkowski,SCM,Left Back,34,,15,18,83.33 %,2021/22
231,232,Michel Reitemann,TBV,Pivot,33,,15,22,68.18 %,2021/22
232,233,Patrik Leban,HCE,Centre Back,34,,15,25,60.00 %,2021/22
233,234,Maximilian Jaeger,HCE,Left Wing,31,,14,20,70.00 %,2021/22
234,235,Dominik Ebner,NLB,Right Back,6,,14,26,53.85 %,2021/22
235,236,Joshua Thiele,GWD,Pivot,30,,14,22,63.64 %,2021/22
236,237,Patrick Volz,HBW,Left Wing,20,,13,18,72.22 %,2021/22
237,238,Kian Schwarzer,TBV,Left Wing,33,,13,20,65.00 %,2021/22
238,239,Anton Lindskog,SGF,Pivot,34,,12,17,70.59 %,2021/22
239,240,Alexander Feld,WET,Centre Back,12,,12,30,40.00 %,2021/22
240,241,Valter Chrintz,BER,Right Wing,29,,12,13,92.31 %,2021/22
241,242,Mamadou Diocou,RNL,Right Wing,14,,12,25,48.00 %,2021/22
242,243,Magnus Abelvik Rød,SGF,Right Back,8,,11,17,64.71 %,2021/22
243,244,Jannes Krone,HAN,Right Wing,29,,11,23,47.83 %,2021/22
244,245,Ymir Örn Gislason,RNL,Pivot,33,,11,18,61.11 %,2021/22
245,246,Leon Ciudad Benitez,THW,Pivot,30,,11,14,78.57 %,2021/22
246,247,Matthes Langhoff,BER,Left Back,28,,11,21,52.38 %,2021/22
247,248,Pavel Horak,THW,Left Back,34,,10,14,71.43 %,2021/22
248,249,Nikolai Link,HCE,Left Back,33,,10,14,71.43 %,2021/22
249,250,Csaba Szücs,BHC,Centre Back,21,,10,21,47.62 %,2021/22
250,251,Oddur Gretarsson,HBW,Left Wing,4,,10,13,76.92 %,2021/22
251,252,Tim Hildenbrand,HBW,Right Wing,5,,9,18,50.00 %,2021/22
252,253,David Móré,RNL,Left Wing,7,,9,14,64.29 %,2021/22
253,254,Marcel Timm,TBV,Pivot,8,,8,11,72.73 %,2021/22
254,255,Marten Franke,NLB,Right Wing,7,,8,20,40.00 %,2021/22
255,256,Oskar Neudeck,FAG,Left Back,27,,8,17,47.06 %,2021/22
256,257,Jarnes Faust,THW,Right Wing,1,,7,7,100.00 %,2021/22
257,258,Rennosuke Tokuda,NLB,Right Back,15,,7,12,58.33 %,2021/22
258,259,Uros Todorovic,HBW,Right Back,16,,7,19,36.84 %,2021/22
259,260,Max Niemann,HSV,Centre Back,4,,7,10,70.00 %,2021/22
260,261,Mark Strandgaard Marcher,FAG,Right Wing,5,,7,7,100.00 %,2021/22
261,262,Nils Lichtlein,BER,Centre Back,11,,7,12,58.33 %,2021/22
262,263,Till Wente,HBW,Left Back,15,,6,11,54.55 %,2021/22
263,264,Marko Vignjevic,GWD,Left Back,11,,6,14,42.86 %,2021/22
264,265,Julian Fuchs,MTM,Right Wing,17,,6,13,46.15 %,2021/22
265,266,Ole Klimpke,WET,unknown,16,,6,10,60.00 %,2021/22
266,267,Elias Huber,HBW,Centre Back,12,,6,9,66.67 %,2021/22
267,268,Nikola Stevanovic,HBW,Right Back,15,,6,13,46.15 %,2021/22
268,269,Nico Schöttle,TVB,Left Back,9,,5,11,45.45 %,2021/22
269,270,Malte Semisch,GWD,Goalkeeper,32,,5,8,62.50 %,2021/22
270,271,Bastian Roscheck,HAN,Pivot,32,,5,9,55.56 %,2021/22
271,272,Moritz Preuss,SCM,Pivot,11,,5,6,83.33 %,2021/22
272,273,Hendrik Hanemann,LEI,Pivot,15,,4,5,80.00 %,2021/22
273,274,Nebojsa Simic,MTM,Goalkeeper,34,,4,5,80.00 %,2021/22
274,275,Mario Ruminsky,HBW,Goalkeeper,33,,4,7,57.14 %,2021/22
275,276,Dejan Milosavljev,BER,Goalkeeper,34,,4,6,66.67 %,2021/22
276,277,Elias Fügel,HBW,Right Wing,8,,4,5,80.00 %,2021/22
277,278,Viran Morros,BER,Left Back,26,,4,4,100.00 %,2021/22
278,279,Oscar von Oettingen,SGF,Right Back,8,,3,4,75.00 %,2021/22
279,280,Moritz Sauter,BER,Centre Back,5,,3,4,75.00 %,2021/22
280,281,Manuel Hörr,MTM,Centre Back,13,,3,3,100.00 %,2021/22
281,282,Mait Patrail,RNL,Left Back,28,,3,5,60.00 %,2021/22
282,283,Christopher Rudeck,BHC,Goalkeeper,33,,3,4,75.00 %,2021/22
283,284,Mike Jensen,SCM,Goalkeeper,34,,3,4,75.00 %,2021/22
284,285,Florian Drosten,MTM,Left Wing,8,,3,4,75.00 %,2021/22
285,286,Jann Keno Jacobs,BER,unknown,3,,3,4,75.00 %,2021/22
286,287,Tobias Schmitz,BHC,Left Wing,7,,3,6,50.00 %,2021/22
287,288,Bjarte Håkon Myrhol,THW,Pivot,3,,2,5,40.00 %,2021/22
288,289,Finn-Jannes Gernus,NLB,Left Wing,15,,2,4,50.00 %,2021/22
289,290,Till Klimpke,WET,Goalkeeper,31,,2,3,66.67 %,2021/22
290,291,Jannick Green Krejberg,SCM,Goalkeeper,34,,2,3,66.67 %,2021/22
291,292,Peter Johannesson,TBV,Goalkeeper,29,,2,4,50.00 %,2021/22
292,293,Julius Meyer-Siebert,SGF,unknown,13,,2,3,66.67 %,2021/22
293,294,Julius Meyer-Siebert,LEI,unknown,6,,2,6,33.33 %,2021/22
294,295,Stephan Seitz,HCE,Right Back,8,,2,6,33.33 %,2021/22
295,296,Daniel Weber,HAN,Right Wing,1,,2,2,100.00 %,2021/22
296,297,Niklas Michalski,RNL,Right Wing,6,,2,5,40.00 %,2021/22
297,298,Mats Ove Quardfasel,HSV,Right Wing,1,,2,4,50.00 %,2021/22
298,299,Fynn Jarik Hasenkamp,SGF,Left Back,8,,2,3,66.67 %,2021/22
299,300,Luca Alexander Schwormstede,THW,Left Back,1,,2,2,100.00 %,2021/22
300,301,David Kuntscher,MTM,Right Back,17,,2,4,50.00 %,2021/22
301,302,Ivan Pesic,TVB,Goalkeeper,22,,1,1,100.00 %,2021/22
302,303,Andreas Palicka,RNL,Goalkeeper,11,,1,1,100.00 %,2021/22
303,304,Kevin Møller,SGF,Goalkeeper,33,,1,2,50.00 %,2021/22
304,305,Nikolas Katsigiannis,RNL,Goalkeeper,23,,1,1,100.00 %,2021/22
305,306,Tomas Mrkva,BHC,Goalkeeper,33,,1,2,50.00 %,2021/22
306,307,Daniel Rebmann,FAG,Goalkeeper,32,,1,2,50.00 %,2021/22
307,308,Benjamin Meschke,TVB,Pivot,14,,1,3,33.33 %,2021/22
308,309,Michael Müller,SGF,Right Back,12,,1,1,100.00 %,2021/22
309,310,Johannes Bitter,HSV,unknown,33,,1,1,100.00 %,2021/22
310,311,Jonas Hönicke,LEI,Centre Back,3,,1,2,50.00 %,2021/22
311,312,Domenico Ebner,HAN,Goalkeeper,27,,1,2,50.00 %,2021/22
312,313,Igor Vori,BER,Pivot,4,,1,3,33.33 %,2021/22
313,314,Maximilian Kessler,RNL,Left Wing,1,,1,1,100.00 %,2021/22
314,315,Tarek Marschall,HCE,Centre Back,19,,1,8,12.50 %,2021/22
315,316,Petar Juric,HAN,Centre Back,1,,1,1,100.00 %,2021/22
316,317,Urh Kastelic,FAG,Goalkeeper,28,,1,3,33.33 %,2021/22
317,318,Jonas Gertges,HSV,Left Wing,24,,1,1,100.00 %,2021/22
318,319,Anadin Suljakovic,WET,Goalkeeper,28,,1,3,33.33 %,2021/22
319,320,Kristian Sæverås,LEI,Goalkeeper,34,,1,1,100.00 %,2021/22
320,321,Lasse Møller,SGF,Left Back,1,,1,2,50.00 %,2021/22
321,322,Mohamed Essam Moustafa El-Tayar,LEI,Goalkeeper,16,,1,1,100.00 %,2021/22
322,323,Felix Eisele,FAG,Right Wing,2,,1,1,100.00 %,2021/22
323,324,Vladislav Lets,BER,Pivot,1,,1,1,100.00 %,2021/22
324,325,Nico Bacani,TVB,Right Wing,2,,1,1,100.00 %,2021/22
325,326,Paul Kompenhans,MTM,Centre Back,5,,1,2,50.00 %,2021/22
326,327,Maximilian Hejny,FAG,Right Back,4,,1,1,100.00 %,2021/22
327,328,Paul Holzhacker,GWD,Right Wing,5,,1,2,50.00 %,2021/22
328,329,Robin Heinis,BER,Right Back,4,,1,1,100.00 %,2021/22
329,330,Simon Sejr,HBW,Goalkeeper,33,,1,3,33.33 %,2021/22
330,331,Frederik Kim Adam,SGF,Left Wing,3,,0,0,,2021/22
331,332,Elias Ruddat,SCM,Left Wing,2,,,,,2021/22
332,333,Luc Depping,HAN,Right Wing,5,,0,2,0.00 %,2021/22
333,334,Mikael Helmersson,SGF,Centre Back,2,,,,,2021/22
334,335,Rohat Sahin,MTM,Pivot,10,,,,,2021/22
335,336,Felix Backhaus,SGF,Goalkeeper,5,,0,0,,2021/22
336,337,Finn Luca Gründel,HSV,Goalkeeper,1,,,,,2021/22
337,338,Maurice Widmaier,TVB,Centre Back,1,,,,,2021/22
