,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
25,26,Tobias Reichmann,MTM,Right Wing,31,,132,179,73.74 %,2017/18
26,27,Kresimir Kozina,FAG,Pivot,34,,129,161,80.12 %,2017/18
27,28,Philipp Weber,LEI,Left Back,27,,127,239,53.14 %,2017/18
28,29,Michael Kraus,TVB,Centre Back,23,,123,241,51.04 %,2017/18
29,30,Marian Michalczik,GWD,Centre Back,34,,121,220,55.00 %,2017/18
30,31,Tim Suton,TBV,Centre Back,34,,120,223,53.81 %,2017/18
31,32,David Schmidt,LUD,Right Back,27,,120,231,51.95 %,2017/18
32,33,Stanislav Zhukov,GUM,Left Back,33,,120,217,55.30 %,2017/18
33,34,Hendrik Pekeler,RNL,Pivot,34,,119,147,80.95 %,2017/18
34,35,Ragnar Johannsson,TVH,Right Back,34,,119,227,52.42 %,2017/18
35,36,Moritz Preuss,GUM,Pivot,34,,118,142,83.10 %,2017/18
36,37,Michael Allendorf,MTM,Left Wing,34,,117,164,71.34 %,2017/18
37,38,Patrick Wiencek,THW,Pivot,34,,117,146,80.14 %,2017/18
38,39,Patrick Zieker,TBV,Left Wing,33,,115,169,68.05 %,2017/18
39,40,Petar Nenadić,BER,Centre Back,18,,114,189,60.32 %,2017/18
40,41,Morten Olsen,HAN,Centre Back,34,,113,211,53.55 %,2017/18
41,42,Lukas Nilsson,THW,Left Back,34,,110,192,57.29 %,2017/18
42,43,Mads Mensah Larsen,RNL,Left Back,34,,106,195,54.36 %,2017/18
43,44,Tim Kneule,FAG,Centre Back,32,,106,162,65.43 %,2017/18
44,45,Fabian Wiede,BER,Right Back,31,,105,198,53.03 %,2017/18
45,46,Yves Kunkel,LEI,Left Wing,33,,105,159,66.04 %,2017/18
46,47,Marko Vujin,THW,Right Back,34,,103,197,52.28 %,2017/18
47,48,Alexander Feld,LUD,Centre Back,34,,103,201,51.24 %,2017/18
48,49,Stefan Cavor,WET,Right Back,34,,100,181,55.25 %,2017/18
49,50,Denni Djozic,LUD,Left Wing,26,,100,133,75.19 %,2017/18
50,51,Aleksandar Svitlica,GWD,Right Wing,30,,97,147,65.99 %,2017/18
51,52,Niclas Pieczkowski,LEI,Centre Back,31,,97,203,47.78 %,2017/18
52,53,Jannik Kohlbacher,WET,Pivot,29,,95,136,69.85 %,2017/18
53,54,Jens Bechtloff,NLB,Left Wing,31,,95,146,65.07 %,2017/18
54,55,Patrick Groetzki,RNL,Right Wing,32,,94,128,73.44 %,2017/18
55,56,Nikolai Link,HCE,Left Back,32,,94,196,47.96 %,2017/18
56,57,Andreas Rojewski,LEI,Right Back,28,,93,175,53.14 %,2017/18
57,58,Mads Christiansen,SCM,Right Back,34,,89,163,54.60 %,2017/18
58,59,Marian Orlowski,TVB,Left Back,29,,89,190,46.84 %,2017/18
59,60,Christoph Theuerkauf,TBV,Pivot,31,,88,127,69.29 %,2017/18
60,61,Nikola Bilyk,THW,Left Back,31,,88,147,59.86 %,2017/18
61,62,Marko Bagaric,NLB,Left Back,31,,87,220,39.55 %,2017/18
62,63,Luka Zvizej,GWD,Left Wing,28,,86,125,68.80 %,2017/18
63,64,Christian O'Sullivan,SCM,Centre Back,34,,85,133,63.91 %,2017/18
64,65,Magnus Gullerud,GWD,Pivot,34,,85,113,75.22 %,2017/18
65,66,Michael Schweikardt,TVB,Centre Back,34,,84,157,53.50 %,2017/18
66,67,Dominik Weiß,TVB,Left Back,30,,84,175,48.00 %,2017/18
67,68,Isaias Guardiola Villaplana,TBV,Right Back,34,,83,175,47.43 %,2017/18
68,69,Stefan Salger,TVB,Right Back,33,,83,194,42.78 %,2017/18
69,70,Alexander Petersson,RNL,Right Back,33,,82,147,55.78 %,2017/18
70,71,Steffen Weinhold,THW,Right Back,27,,82,141,58.16 %,2017/18
71,72,Lukasz Gierak,NLB,Left Back,34,,82,171,47.95 %,2017/18
72,73,Mattias Zachrisson,BER,Right Wing,34,,81,130,62.31 %,2017/18
73,74,Marko Bezjak,SCM,Centre Back,34,,81,132,61.36 %,2017/18
74,75,Florian Baumgärtner,GUM,Right Back,28,,80,192,41.67 %,2017/18
75,76,Vladan Lipovina,TVH,Right Back,19,,79,153,51.63 %,2017/18
76,77,Dalibor Doder,GWD,Centre Back,32,,79,159,49.69 %,2017/18
77,78,Ante Kaleb,NLB,Centre Back,34,,79,161,49.07 %,2017/18
78,79,Joao Ferraz,WET,Right Back,33,,78,149,52.35 %,2017/18
79,80,Franz Semper,LEI,Right Back,22,,78,132,59.09 %,2017/18
80,81,Lasse Mikkelsen,MTM,Centre Back,34,,78,139,56.12 %,2017/18
81,82,Mait Patrail,HAN,Left Back,30,,77,128,60.16 %,2017/18
82,83,Nico Büdel,HCE,Centre Back,34,,77,142,54.23 %,2017/18
83,84,Florian von Gruchalla,GUM,Right Wing,33,,75,117,64.10 %,2017/18
84,85,Timo Kastening,HAN,Right Wing,34,,75,116,64.66 %,2017/18
85,86,Alexander Hermann,WET,Left Back,28,,74,152,48.68 %,2017/18
86,87,Donát Bartók,TBV,Right Back,34,,74,148,50.00 %,2017/18
87,88,Zeljko Musa,SCM,Pivot,34,,72,91,79.12 %,2017/18
88,89,Nemanja Zelenovic,SCM,Right Back,34,,72,124,58.06 %,2017/18
89,90,Ilija Brozovic,HAN,Pivot,34,,72,93,77.42 %,2017/18
90,91,Mario Fernandes,TVH,Pivot,34,,72,97,74.23 %,2017/18
91,92,Tomas Sklenak,TVH,Centre Back,34,,72,139,51.80 %,2017/18
92,93,Miha Zarabec,THW,Centre Back,34,,71,105,67.62 %,2017/18
93,94,Martin Stranovsky,HCE,Left Wing,31,,70,96,72.92 %,2017/18
94,95,Fabian Böhm,HAN,Left Back,32,,70,130,53.85 %,2017/18
95,96,Dener Jaanimaa,NLB,Right Back,15,,69,142,48.59 %,2017/18
96,97,Zarko Sesum,FAG,Left Back,28,,68,135,50.37 %,2017/18
97,98,Pontus Zetterman,NLB,Right Back,33,,68,121,56.20 %,2017/18
98,99,Jerry Tollbring,RNL,Left Wing,34,,68,96,70.83 %,2017/18
99,100,Josef Pujol,GUM,unknown,30,,67,140,47.86 %,2017/18
100,101,Luka Rakovic,NLB,unknown,33,,66,99,66.67 %,2017/18
101,102,Thomas Mogensen,SGF,Centre Back,34,,65,109,59.63 %,2017/18
102,103,Manuel Späth,TVB,Pivot,34,,65,85,76.47 %,2017/18
103,104,Kentin Mahé,SGF,Centre Back,34,,64,105,60.95 %,2017/18
104,105,Henrik Toft Hansen,SGF,Pivot,34,,64,90,71.11 %,2017/18
105,106,Jonas Thümmler,HCE,Pivot,26,,64,83,77.11 %,2017/18
106,107,Andreas Schröder,HCE,Left Back,29,,64,114,56.14 %,2017/18
107,108,Azat Valiullin,LUD,Left Back,15,,63,116,54.31 %,2017/18
108,109,Alen Milosevic,LEI,Pivot,34,,63,80,78.75 %,2017/18
109,110,Nils Torbrügge,NLB,Pivot,33,,63,80,78.75 %,2017/18
110,111,Bjarki Mar Elisson,BER,Left Wing,30,,62,89,69.66 %,2017/18
111,112,Jens Schöngarth,FAG,Right Back,29,,62,128,48.44 %,2017/18
112,113,Eirik Köpp,GUM,Left Back,32,,62,127,48.82 %,2017/18
113,114,Harald Reinkind,RNL,Right Back,34,,61,94,64.89 %,2017/18
114,115,Maximilian Janke,LEI,Centre Back,29,,61,87,70.11 %,2017/18
115,116,Johannes Sellin,HCE,Right Wing,18,,61,102,59.80 %,2017/18
116,117,Gunnar Dietrich,LUD,Left Back,34,,61,141,43.26 %,2017/18
117,118,Andrej Kogut,TBV,Centre Back,32,,60,128,46.88 %,2017/18
118,119,Pascal Durak,LUD,Right Wing,29,,60,87,68.97 %,2017/18
119,120,Evgeni Pevnov,HAN,Pivot,30,,59,73,80.82 %,2017/18
120,121,Marino Maric,MTM,Pivot,27,,59,79,74.68 %,2017/18
121,122,Patrick Weber,LUD,Left Back,25,,58,148,39.19 %,2017/18
122,123,Kasper Kvist,WET,Left Wing,34,,57,87,65.52 %,2017/18
123,124,Michael Müller,MTM,Right Back,27,,57,121,47.11 %,2017/18
124,125,Paul Drux,BER,Left Back,23,,56,89,62.92 %,2017/18
125,126,Allan Damgaard Espersen,FAG,Centre Back,31,,56,105,53.33 %,2017/18
126,127,Fabian van Olphen,TBV,Left Back,32,,55,105,52.38 %,2017/18
127,128,Kai Dippe,LUD,Pivot,33,,55,78,70.51 %,2017/18
128,129,Andreas Cederholm,GWD,Right Back,27,,55,89,61.80 %,2017/18
129,130,Tobias Schröter,GUM,Right Wing,30,,54,87,62.07 %,2017/18
130,131,Kim Ekdahl du Rietz,RNL,Left Back,13,,53,86,61.63 %,2017/18
131,132,Jacob Bagersted,FAG,Pivot,31,,53,73,72.60 %,2017/18
132,133,Christopher Bissel,HCE,Left Wing,30,,52,74,70.27 %,2017/18
133,134,Lukas Binder,LEI,Left Wing,32,,52,84,61.90 %,2017/18
134,135,Rune Dahmke,THW,Left Wing,27,,52,93,55.91 %,2017/18
135,136,Joscha Ritterbach,FAG,Left Wing,34,,52,77,67.53 %,2017/18
136,137,Michael Haaß,HCE,Centre Back,34,,51,105,48.57 %,2017/18
137,138,Christian Rompf,TVH,Left Wing,31,,51,92,55.43 %,2017/18
138,139,Daniel Fontaine,FAG,Left Back,28,,50,126,39.68 %,2017/18
139,140,Marco Rentschler,FAG,Right Wing,24,,50,73,68.49 %,2017/18
140,141,Peter Strosack,LEI,Right Wing,33,,50,73,68.49 %,2017/18
141,142,Lukas Mertens,SCM,Left Wing,31,,50,67,74.63 %,2017/18
142,143,Anders Zachariassen,SGF,Pivot,30,,49,65,75.38 %,2017/18
143,144,Johannes Golla,MTM,Pivot,34,,49,63,77.78 %,2017/18
144,145,Simon Baumgarten,TVB,Pivot,29,,48,61,78.69 %,2017/18
145,146,Rafael Baena Gonzalez,RNL,Pivot,34,,47,56,83.93 %,2017/18
146,147,Tim Remer,NLB,Left Wing,16,,46,69,66.67 %,2017/18
147,148,Olle Forsell Schefvert,WET,Centre Back,34,,46,99,46.46 %,2017/18
148,149,Timm Schneider,MTM,Centre Back,30,,45,71,63.38 %,2017/18
149,150,Moritz Zörb,TVH,Pivot,33,,44,61,72.13 %,2017/18
150,151,Erik Schmidt,BER,Pivot,32,,44,68,64.71 %,2017/18
151,152,Jonathan Scholz,LUD,Left Wing,34,,44,67,65.67 %,2017/18
152,153,Nenad Bilbija,GWD,Left Back,27,,43,82,52.44 %,2017/18
153,154,Piotr Chrapkowski,SCM,Left Back,33,,42,56,75.00 %,2017/18
154,155,Anton Lindskog,WET,Pivot,34,,41,57,71.93 %,2017/18
155,156,Felix Danner,MTM,Pivot,34,,41,49,83.67 %,2017/18
156,157,Dener Jaanimaa,MTM,Right Back,19,,41,88,46.59 %,2017/18
157,158,Alexander Falk,LUD,Right Wing,34,,41,60,68.33 %,2017/18
158,159,Daniel Pettersson,SCM,Right Wing,34,,40,64,62.50 %,2017/18
159,160,Simon Ernst,GUM,Centre Back,6,,40,59,67.80 %,2017/18
160,161,Kevin Struck,BER,Left Wing,34,,39,62,62.90 %,2017/18
161,162,Anton Mansson,GWD,Pivot,34,,39,52,75.00 %,2017/18
162,163,Nicolai Theilinger,HCE,Right Back,17,,38,63,60.32 %,2017/18
163,164,Maximilian Lux,HCE,Right Wing,33,,38,64,59.38 %,2017/18
164,165,Lucas Krzikalla,LEI,Right Wing,34,,38,57,66.67 %,2017/18
165,166,Sören Südmeier,GWD,Centre Back,30,,37,83,44.58 %,2017/18
166,167,Tobias Schimmelbauer,TVB,Left Wing,26,,37,61,60.66 %,2017/18
167,168,Jannik Hofmann,TVH,Left Wing,34,,37,63,58.73 %,2017/18
168,169,Emil Frend Öfors,THW,Left Wing,34,,37,54,68.52 %,2017/18
169,170,Marko Kopljar,BER,Right Back,17,,37,74,50.00 %,2017/18
170,171,Filip Mirkulovski,WET,Centre Back,33,,36,55,65.45 %,2017/18
171,172,Torge Johannsen,HAN,Right Wing,27,,36,57,63.16 %,2017/18
172,173,Jim Gottfridsson,SGF,Centre Back,22,,35,58,60.34 %,2017/18
173,174,Jonas Link,HCE,Centre Back,34,,35,71,49.30 %,2017/18
174,175,Jo Gerrit Genz,NLB,Right Back,34,,35,74,47.30 %,2017/18
175,176,Christian Klimek,TBV,Pivot,30,,34,50,68.00 %,2017/18
176,177,Mats Korte,GWD,Left Wing,32,,34,52,65.38 %,2017/18
177,178,Aivis Jurdzs,LEI,Left Back,31,,34,75,45.33 %,2017/18
178,179,Simon Jeppsson,SGF,Left Back,31,,34,77,44.16 %,2017/18
179,180,Philipp Pöter,WET,Centre Back,31,,33,63,52.38 %,2017/18
180,181,Ole Rahmel,THW,Right Wing,34,,33,47,70.21 %,2017/18
181,182,Moritz Lambrecht,TVH,Pivot,34,,33,47,70.21 %,2017/18
182,183,Marius Steinhauser,SGF,Right Wing,34,,31,43,72.09 %,2017/18
183,184,Raul Santos,THW,Left Wing,15,,31,42,73.81 %,2017/18
184,185,Moritz Schade,NLB,Pivot,34,,31,52,59.62 %,2017/18
185,186,Frederic Stüber,LUD,Pivot,26,,31,39,79.49 %,2017/18
186,187,Bogdan Radivojevic,RNL,Right Wing,34,,30,38,78.95 %,2017/18
187,188,Jan Remmlinger,LUD,Left Back,16,,30,60,50.00 %,2017/18
188,189,Runar Karason,HAN,Right Back,31,,30,64,46.88 %,2017/18
189,190,Philipp Müller,MTM,Left Back,29,,28,45,62.22 %,2017/18
190,191,Domagoj Duvnjak,THW,Centre Back,17,,28,53,52.83 %,2017/18
191,192,Christian Dissinger,THW,Left Back,30,,28,71,39.44 %,2017/18
192,193,Adrian Pfahl,FAG,Right Back,20,,27,67,40.30 %,2017/18
193,194,Marko Matic,GUM,unknown,29,,27,70,38.57 %,2017/18
194,195,Johan Koch,BER,Pivot,15,,27,38,71.05 %,2017/18
195,196,Max Staar,GWD,Right Wing,27,,26,47,55.32 %,2017/18
196,197,Rene Gruszka,NLB,Right Wing,34,,26,46,56.52 %,2017/18
197,198,Miljan Pusica,GWD,Left Back,34,,26,46,56.52 %,2017/18
198,199,Dominik Ebner,TBV,Right Wing,33,,25,50,50.00 %,2017/18
199,200,Jeffrey Boomhouwer,MTM,Left Wing,33,,25,39,64.10 %,2017/18
200,201,Stefan Kneer,WET,Left Back,32,,24,50,48.00 %,2017/18
201,202,Filip Taleski,RNL,Left Back,34,,24,33,72.73 %,2017/18
202,203,Stipe Mandalinic,BER,Left Back,15,,24,45,53.33 %,2017/18
203,204,Arjan Haenen,MTM,unknown,34,,23,29,79.31 %,2017/18
204,205,Erwin Feuchtmann Perez,GUM,unknown,32,,23,40,57.50 %,2017/18
205,206,Tobias Hahn,TVH,Right Wing,34,,22,33,66.67 %,2017/18
206,207,Alexander Becker,GUM,Pivot,34,,22,31,70.97 %,2017/18
207,208,Benjamin Meschke,LEI,Pivot,34,,22,33,66.67 %,2017/18
208,209,Maximilian Haider,LUD,Pivot,29,,21,28,75.00 %,2017/18
209,210,Finn Lemke,MTM,Left Back,24,,21,41,51.22 %,2017/18
210,211,Finn Kretschmer,TVB,Right Wing,28,,20,42,47.62 %,2017/18
211,212,Jakov Gojun,BER,Left Back,33,,19,30,63.33 %,2017/18
212,213,Tomas Urban,FAG,Right Back,7,,19,32,59.38 %,2017/18
213,214,Gleb Kalarash,SCM,Pivot,34,,17,25,68.00 %,2017/18
214,215,Kenji Hövels,NLB,Centre Back,19,,17,44,38.64 %,2017/18
215,216,Magnus Abelvik Rød,SGF,Right Back,25,,17,37,45.95 %,2017/18
216,217,Robert Markotic,TVB,Right Back,9,,17,35,48.57 %,2017/18
217,218,Azat Valiullin,TBV,Left Back,18,,16,34,47.06 %,2017/18
218,219,Rene Toft Hansen,THW,Pivot,17,,16,22,72.73 %,2017/18
219,220,Robin Egelhof,LUD,Right Back,13,,16,38,42.11 %,2017/18
220,221,Tim Stefan,TVH,Left Back,21,,16,43,37.21 %,2017/18
221,222,Sascha Pfattheicher,TVB,Right Wing,21,,16,28,57.14 %,2017/18
222,223,Max Häfner,TVB,Centre Back,20,,16,42,38.10 %,2017/18
223,224,Sebastian Heymann,FAG,Left Back,12,,15,30,50.00 %,2017/18
224,225,Tobias Rivesjoe,LEI,Left Back,32,,15,32,46.88 %,2017/18
225,226,Sebastian Roth,TVH,Left Back,33,,15,41,36.59 %,2017/18
226,227,Drago Vukovic,BER,Centre Back,34,,14,25,56.00 %,2017/18
227,228,Oliver Milde,BER,Left Back,15,,14,23,60.87 %,2017/18
228,229,Gregor Remke,LEI,Right Back,14,,14,33,42.42 %,2017/18
229,230,Ignacio Plaza Jimenez,BER,Pivot,10,,13,22,59.09 %,2017/18
230,231,Samuel Röthlisberger,TVB,Pivot,34,,13,15,86.67 %,2017/18
231,232,Pascal Bührer,LUD,Centre Back,34,,13,23,56.52 %,2017/18
232,233,Robin Hübscher,TBV,Left Wing,32,,13,19,68.42 %,2017/18
233,234,Gedeón Guardiola,RNL,Pivot,20,,12,21,57.14 %,2017/18
234,235,Bastian Roscheck,LEI,Pivot,34,,12,14,85.71 %,2017/18
235,236,Lars Lehnhoff,HAN,Left Wing,22,,11,17,64.71 %,2017/18
236,237,Momir Rnic,RNL,Left Back,17,,11,20,55.00 %,2017/18
237,238,Jan Schäffer,HCE,Pivot,7,,11,13,84.62 %,2017/18
238,239,Charlie Sjöstrand,GWD,Left Wing,4,,10,18,55.56 %,2017/18
239,240,Pavel Atman,HAN,Centre Back,11,,10,17,58.82 %,2017/18
240,241,Maximilian Jaeger,GUM,Left Wing,20,,9,14,64.29 %,2017/18
241,242,Anton Halén,FAG,Right Wing,6,,9,14,64.29 %,2017/18
242,243,Sebastian Firnhaber,THW,Pivot,32,,9,13,69.23 %,2017/18
243,244,Patrik Hruscak,LUD,Right Back,14,,9,19,47.37 %,2017/18
244,245,Jochen Nägele,FAG,unknown,11,,9,9,100.00 %,2017/18
245,246,Jan-Eric Speckmann,NLB,Left Wing,13,,9,19,47.37 %,2017/18
246,247,Gabor Langhans,MTM,Right Back,15,,8,15,53.33 %,2017/18
247,248,Jacob Heinl,SGF,Pivot,30,,8,15,53.33 %,2017/18
248,249,Uros Bundalo,HCE,Pivot,9,,7,10,70.00 %,2017/18
249,250,Felix Lobedank,TVB,Right Back,10,,7,15,46.67 %,2017/18
250,251,Christian Zeitz,THW,Right Back,20,,7,20,35.00 %,2017/18
251,252,Miroslav Volentics,WET,Right Wing,29,,7,11,63.64 %,2017/18
252,253,Alexander Engelhardt,TBV,Pivot,14,,7,10,70.00 %,2017/18
253,254,Sergey Gorpishin,HCE,Pivot,24,,7,9,77.78 %,2017/18
254,255,Marcus Lars Endström,HCE,unknown,5,,6,11,54.55 %,2017/18
255,256,Benjamin Burić,WET,Goalkeeper,34,,5,8,62.50 %,2017/18
256,257,Lukas Zerbe,TBV,Right Wing,21,,5,7,71.43 %,2017/18
257,258,Szymon Sicko,TVH,Left Back,15,,5,14,35.71 %,2017/18
258,259,Andreas Palicka,RNL,Goalkeeper,34,,4,6,66.67 %,2017/18
259,260,Jannick Green Krejberg,SCM,Goalkeeper,34,,4,5,80.00 %,2017/18
260,261,Jens Vortmann,LEI,Goalkeeper,32,,4,6,66.67 %,2017/18
261,262,Niklas Landin Jacobsen,THW,Goalkeeper,32,,4,7,57.14 %,2017/18
262,263,Dominik Kalafut,HAN,Pivot,29,,4,5,80.00 %,2017/18
263,264,Marcel Timm,GUM,Pivot,16,,3,3,100.00 %,2017/18
264,265,Peter Johannesson,TBV,Goalkeeper,30,,3,3,100.00 %,2017/18
265,266,Jari Lemke,TBV,Left Back,18,,3,9,33.33 %,2017/18
266,267,Kim Sonne-Hansen,GWD,Goalkeeper,24,,3,4,75.00 %,2017/18
267,268,Joel Birlehm,NLB,Goalkeeper,32,,3,3,100.00 %,2017/18
268,269,Christoph Reißky,BER,Right Back,11,,3,5,60.00 %,2017/18
269,270,Matthias Ritschel,TVH,Goalkeeper,34,,3,4,75.00 %,2017/18
270,271,Rolando Urios González,BER,Pivot,4,,3,6,50.00 %,2017/18
271,272,Mikael Appelgren,RNL,unknown,34,,2,3,66.67 %,2017/18
272,273,Sebastian Schöneseiffen,GUM,Centre Back,10,,2,3,66.67 %,2017/18
273,274,Primož Prošt,FAG,Goalkeeper,34,,2,3,66.67 %,2017/18
274,275,Milos Putera,LEI,Goalkeeper,34,,2,2,100.00 %,2017/18
275,276,Johan Sjöstrand,MTM,Goalkeeper,33,,2,2,100.00 %,2017/18
276,277,Florian Burmeister,TVB,Left Back,27,,2,9,22.22 %,2017/18
277,278,Andreas Wolff,THW,Goalkeeper,34,,2,5,40.00 %,2017/18
278,279,Peter Tatai,NLB,Goalkeeper,34,,2,3,66.67 %,2017/18
279,280,Nebojsa Simic,MTM,Goalkeeper,29,,2,3,66.67 %,2017/18
280,281,Espen Christensen,GWD,Goalkeeper,33,,2,3,66.67 %,2017/18
281,282,Johannes Klein,TVH,Left Back,13,,2,4,50.00 %,2017/18
282,283,Martin Kienzle,TVB,Left Wing,3,,2,6,33.33 %,2017/18
283,284,Jonas Schletterer,HCE,Right Back,9,,2,3,66.67 %,2017/18
284,285,Justus Max Kluge,SCM,Left Wing,3,,2,3,66.67 %,2017/18
285,286,Alexander Trost,FAG,Right Wing,8,,2,5,40.00 %,2017/18
286,287,Lukas Kister,GWD,Left Back,26,,1,1,100.00 %,2017/18
287,288,Hendrik Schreiber,WET,Centre Back,6,,1,3,33.33 %,2017/18
288,289,Silvio Heinevetter,BER,Goalkeeper,33,,1,4,25.00 %,2017/18
289,290,Rico Keller,RNL,Left Back,3,,1,2,50.00 %,2017/18
290,291,Dario Quenstedt,SCM,Goalkeeper,34,,1,2,50.00 %,2017/18
291,292,Mattias Andersson,SGF,Goalkeeper,34,,1,2,50.00 %,2017/18
292,293,Nikolas Katsigiannis,HCE,Goalkeeper,27,,1,3,33.33 %,2017/18
293,294,Carsten Lichtlein,GUM,Goalkeeper,34,,1,1,100.00 %,2017/18
294,295,Jonas Maier,TVB,Goalkeeper,34,,1,2,50.00 %,2017/18
295,296,Piotr Wyszomirski,TBV,Goalkeeper,34,,1,2,50.00 %,2017/18
296,297,Martin Ziemer,HAN,Goalkeeper,34,,1,3,33.33 %,2017/18
297,298,Sven-Sören Christophersen,HAN,Left Back,33,,1,4,25.00 %,2017/18
298,299,Niklas Diebel,HAN,Left Back,10,,1,3,33.33 %,2017/18
299,300,Djibril M'Bengue,TVB,Right Back,2,,1,2,50.00 %,2017/18
300,301,Kevin Klier,LUD,Goalkeeper,31,,1,2,50.00 %,2017/18
301,302,Oliver Hess,LUD,Right Back,5,,1,1,100.00 %,2017/18
302,303,Jan Wörner,TVH,Right Back,22,,1,1,100.00 %,2017/18
303,304,Maximilian Trost,RNL,Left Back,7,,1,2,50.00 %,2017/18
304,305,Stefan Hanemann,LUD,Goalkeeper,15,,1,1,100.00 %,2017/18
305,306,Juan de la Peña,SCM,Centre Back,23,,1,4,25.00 %,2017/18
306,307,Erik Gerntke,BER,Left Back,3,,1,2,50.00 %,2017/18
307,308,Niklas Danowski,SCM,unknown,1,,1,1,100.00 %,2017/18
308,309,Maximilian Nowatzki,GWD,Right Back,3,,1,2,50.00 %,2017/18
309,310,Fynn Hangstein,TBV,Left Back,14,,1,6,16.67 %,2017/18
310,311,Carlos Molina Cosano,SCM,Left Back,33,,1,2,50.00 %,2017/18
311,312,Petr Štochl,BER,unknown,34,,0,0,,2017/18
312,313,Jan Wesemann,NLB,Goalkeeper,5,,0,0,,2017/18
313,314,Nikolai Weber,WET,Goalkeeper,32,,0,1,0.00 %,2017/18
314,315,Fabian Kraft,WET,Left Wing,2,,0,0,,2017/18
315,316,Evars Klesniks,WET,Right Back,14,,0,0,,2017/18
316,317,Till Klimpke,WET,Goalkeeper,30,,0,0,,2017/18
317,318,Leon Bolius,LUD,Centre Back,4,,,,,2017/18
318,319,Yves Grafenhorst,SCM,Left Wing,1,,,,,2017/18
319,320,Tobias Karlsson,SGF,Pivot,34,,0,0,,2017/18
320,321,Kevin Møller,SGF,Goalkeeper,24,,0,0,,2017/18
321,322,Johannes Bayer,HCE,Left Back,10,,0,1,0.00 %,2017/18
322,323,Michael Haßferter,HCE,Goalkeeper,13,,0,0,,2017/18
323,324,Matthias Puhle,GUM,Goalkeeper,27,,0,0,,2017/18
324,325,Mark van den Beucken,TBV,Goalkeeper,5,,0,0,,2017/18
325,326,Daniel Rebmann,FAG,Goalkeeper,34,,0,1,0.00 %,2017/18
326,327,Tobias Gehrke,FAG,Left Back,3,,0,1,0.00 %,2017/18
327,328,Malte Semisch,HAN,Goalkeeper,34,,0,0,,2017/18
328,329,Maurice Dräger,HAN,Left Back,2,,,,,2017/18
329,330,Hannes Feise,HAN,Left Wing,11,,0,1,0.00 %,2017/18
330,331,Jonas Wilde,HAN,Goalkeeper,2,,0,0,,2017/18
331,332,Maurice Paske,GWD,Goalkeeper,10,,0,0,,2017/18
332,333,Dimitri Ignatow,MTM,Right Wing,1,,,,,2017/18
333,334,Johannes Bitter,TVB,Goalkeeper,22,,0,2,0.00 %,2017/18
334,335,Alexander Bischoff,TVB,unknown,1,,,,,2017/18
335,336,Roko Peribonio,LUD,Goalkeeper,30,,0,1,0.00 %,2017/18
336,337,Pascal Kirchenbauer,LUD,Centre Back,5,,,,,2017/18
337,338,Mathias Lenz,MTM,Goalkeeper,6,,0,0,,2017/18
338,339,Sebastian Walz,HCE,unknown,8,,0,0,,2017/18
339,340,Fabian Schomburg,TVH,Goalkeeper,34,,0,1,0.00 %,2017/18
340,341,Jonas Müller,TVH,Left Back,3,,,,,2017/18
