,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Casper Mortensen,HAN,Left Wing,34,,230,311,73.95 %,2017/18
1,2,Julius Kühn,MTM,Left Back,33,,224,369,60.70 %,2017/18
2,3,Marcel Schiller,FAG,Left Wing,33,,194,272,71.32 %,2017/18
3,4,Andy Schmid,RNL,Centre Back,34,,189,360,52.50 %,2017/18
4,5,Rasmus Lauge Schmidt,SGF,Left Back,34,,179,273,65.57 %,2017/18
5,6,Tim Hornke,TBV,Right Wing,34,,179,241,74.27 %,2017/18
6,7,Michael Damgaard,SCM,Left Back,33,,172,292,58.90 %,2017/18
7,8,Niclas Ekberg,THW,Right Wing,34,,171,229,74.67 %,2017/18
8,9,Hans Lindberg,BER,Right Wing,33,,169,227,74.45 %,2017/18
9,10,Robert Weber,SCM,Right Wing,33,,169,250,67.60 %,2017/18
10,11,Christoph Steinert,HCE,Right Back,34,,166,304,54.61 %,2017/18
11,12,Kai Häfner,HAN,Right Back,34,,163,295,55.25 %,2017/18
12,13,Kristian Bjornsen,WET,Right Wing,34,,159,217,73.27 %,2017/18
13,14,Holger Glandorf,SGF,Right Back,34,,155,281,55.16 %,2017/18
14,15,Christoffer Rambo,GWD,Right Back,34,,151,295,51.19 %,2017/18
15,16,Hampus Wanne,SGF,Left Wing,34,,147,205,71.71 %,2017/18
16,17,Lasse Svan,SGF,Right Wing,33,,144,204,70.59 %,2017/18
17,18,Bobby Schagen,TVB,Right Wing,34,,144,187,77.01 %,2017/18
18,19,Steffen Fäth,BER,Left Back,28,,142,223,63.68 %,2017/18
19,20,Daniel Wernig,TVH,Right Wing,34,,142,205,69.27 %,2017/18
20,21,Maximilian Holst,WET,Left Wing,34,,140,186,75.27 %,2017/18
21,22,Guðjón Valur Sigurðsson,RNL,Left Wing,30,,139,186,74.73 %,2017/18
22,23,Matthias Musche,SCM,Left Wing,34,,138,181,76.24 %,2017/18
23,24,Marvin Sommer,GUM,Left Wing,32,,138,229,60.26 %,2017/18
24,25,Dominik Mappes,TVH,Centre Back,33,,132,286,46.15 %,2017/18
