,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Manuel Zehnder,EIS,Centre Back,34,,277,462,59.96 %,2023/24
1,2,Mathias Gidsel,BER,Right Back,34,,263,362,72.65 %,2023/24
2,3,Omar Ingi Magnusson,SCM,Right Back,34,,238,341,69.79 %,2023/24
3,4,Lasse Bredekjaer Andersson,BER,Left Back,34,,209,372,56.18 %,2023/24
4,5,Casper Mortensen,HSV,Left Wing,30,,203,299,67.89 %,2023/24
5,6,Viggó Kristjánsson,LEI,Right Back,32,,200,300,66.67 %,2023/24
6,7,Hans Lindberg,BER,Right Wing,34,,198,243,81.48 %,2023/24
7,8,Emil Jakobsen,SGF,Left Wing,33,,197,272,72.43 %,2023/24
8,9,Domen Novak,WET,Right Wing,34,,182,247,73.68 %,2023/24
9,10,Kai Häfner,TVB,Right Back,34,,179,332,53.92 %,2023/24
10,11,Felix Claar,SCM,Left Back,34,,176,249,70.68 %,2023/24
11,12,Lenny Rubin,WET,Left Back,33,,167,301,55.48 %,2023/24
12,13,Samuel Zehnder,TBV,Left Wing,34,,167,232,71.98 %,2023/24
13,14,Marcel Schiller,FAG,Left Wing,32,,165,235,70.21 %,2023/24
14,15,Milos Vujovic,GUM,Left Wing,33,,161,214,75.23 %,2023/24
15,16,Eric Johansson,THW,Left Back,34,,157,251,62.55 %,2023/24
16,17,Dani Baijens,HSV,Centre Back,27,,153,261,58.62 %,2023/24
17,18,Niclas Kirkeløkke,RNL,Right Back,34,,153,293,52.22 %,2023/24
18,19,Niclas Ekberg,THW,Right Wing,34,,151,207,72.95 %,2023/24
19,20,Timo Kastening,MTM,Right Wing,34,,149,212,70.28 %,2023/24
20,21,Juri Knorr,RNL,unknown,30,,149,267,55.81 %,2023/24
21,22,Marius Steinhauser,HAN,Right Wing,30,,145,186,77.96 %,2023/24
22,23,Julian Köster,GUM,Left Back,34,,143,256,55.86 %,2023/24
23,24,Jannik Kohlbacher,RNL,Pivot,34,,140,188,74.47 %,2023/24
24,25,Matej Klima,LEI,Left Back,34,,140,245,57.14 %,2023/24
25,26,Daniel Fernandez Jimenez,TVB,Left Wing,34,,138,183,75.41 %,2023/24
26,27,Franz Semper,LEI,Right Back,33,,137,237,57.81 %,2023/24
27,28,Ivan Martinovic,MTM,Right Back,29,,136,215,63.26 %,2023/24
28,29,Adam Lönn,TVB,Left Back,33,,134,248,54.03 %,2023/24
29,30,Noah Beyer,BHC,Left Wing,31,,131,178,73.60 %,2023/24
30,31,Lukas Hutecek,TBV,Left Back,34,,131,207,63.29 %,2023/24
31,32,Elvar Örn Jonsson,MTM,Left Back,25,,129,174,74.14 %,2023/24
32,33,Johannes Golla,SGF,Pivot,34,,128,174,73.56 %,2023/24
