,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Matthias Musche,SCM,Left Wing,34,,256,348,73.56 %,2018/19
1,2,Tim Hornke,TBV,Right Wing,34,,215,286,75.17 %,2018/19
2,3,Marcel Schiller,FAG,Left Wing,33,,207,278,74.46 %,2018/19
3,4,Timo Kastening,HAN,Right Wing,34,,190,261,72.80 %,2018/19
4,5,Niclas Ekberg,THW,Right Wing,33,,187,246,76.02 %,2018/19
5,6,Philipp Weber,LEI,Left Back,34,,176,338,52.07 %,2018/19
6,7,Arnor Thor Gunnarsson,BHC,Right Wing,32,,173,233,74.25 %,2018/19
7,8,Andy Schmid,RNL,Centre Back,34,,164,329,49.85 %,2018/19
8,9,Lasse Mikkelsen,MTM,Centre Back,34,,164,268,61.19 %,2018/19
9,10,Maximilian Holst,WET,Left Wing,34,,160,211,75.83 %,2018/19
10,11,Hans Lindberg,BER,Right Wing,29,,160,219,73.06 %,2018/19
11,12,Jannik Kohlbacher,RNL,Pivot,33,,150,196,76.53 %,2018/19
12,13,Nico Büdel,HCE,Centre Back,34,,146,256,57.03 %,2018/19
13,14,Stefan Cavor,WET,Right Back,34,,143,274,52.19 %,2018/19
14,15,Franz Semper,LEI,Right Back,33,,143,257,55.64 %,2018/19
15,16,Guðjón Valur Sigurðsson,RNL,Left Wing,33,,142,197,72.08 %,2018/19
16,17,Ivan Martinovic,GUM,Right Back,34,,141,280,50.36 %,2018/19
17,18,Christoffer Rambo,GWD,Right Back,31,,138,289,47.75 %,2018/19
18,19,Christoph Steinert,HCE,Right Back,25,,137,228,60.09 %,2018/19
19,20,Christian Schäfer,SGB,Right Wing,33,,137,192,71.35 %,2018/19
20,21,Michael Damgaard,SCM,Left Back,34,,136,253,53.75 %,2018/19
21,22,Rasmus Lauge Schmidt,SGF,Left Back,34,,136,223,60.99 %,2018/19
22,23,Tobias Reichmann,MTM,Right Wing,30,,136,182,74.73 %,2018/19
23,24,David Schmidt,TVB,Right Back,32,,132,248,53.23 %,2018/19
24,25,Pouya Norouzinezhad,GUM,Centre Back,34,,131,259,50.58 %,2018/19
25,26,Patrick Zieker,TBV,Left Wing,33,,129,195,66.15 %,2018/19
26,27,Patrick Wiesmach Larsen,LEI,Right Wing,31,,128,164,78.05 %,2018/19
27,28,Kai Häfner,HAN,Right Back,25,,127,234,54.27 %,2018/19
28,29,Magnus Jøndal,SGF,Left Wing,34,,122,161,75.78 %,2018/19
29,30,Dominik Weiß,TVB,Left Back,33,,120,264,45.45 %,2018/19
