,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
30,31,Jonas Link,SGB,Centre Back,33,,119,210,56.67 %,2018/19
31,32,Kevin Maageroe Gulliksen,GWD,Right Wing,33,,119,174,68.39 %,2018/19
32,33,Marvin Sommer,GUM,Left Wing,33,,118,171,69.01 %,2018/19
33,34,Bobby Schagen,TVB,Right Wing,31,,118,161,73.29 %,2018/19
34,35,Jeffrey Boomhouwer,BHC,Left Wing,30,,117,161,72.67 %,2018/19
35,36,Jacob Tandrup Holm,BER,Centre Back,34,,116,208,55.77 %,2018/19
36,37,Kresimir Kozina,FAG,Pivot,34,,112,150,74.67 %,2018/19
37,38,Marian Michalczik,GWD,Centre Back,34,,112,207,54.11 %,2018/19
38,39,Jerome Müller,LUD,Right Back,30,,110,211,52.13 %,2018/19
39,40,Domagoj Duvnjak,THW,Centre Back,34,,108,193,55.96 %,2018/19
40,41,Lasse Svan,SGF,Right Wing,34,,105,156,67.31 %,2018/19
41,42,Fabian Böhm,HAN,Left Back,31,,105,173,60.69 %,2018/19
42,43,Linus Arnesson,BHC,Centre Back,34,,105,211,49.76 %,2018/19
43,44,Sebastian Heymann,FAG,Left Back,32,,104,190,54.74 %,2018/19
44,45,Tim Suton,TBV,Centre Back,25,,101,177,57.06 %,2018/19
45,46,Bjarki Mar Elisson,BER,Left Wing,34,,100,137,72.99 %,2018/19
46,47,Lukas Nilsson,THW,Left Back,33,,100,178,56.18 %,2018/19
47,48,Dalibor Doder,GWD,Centre Back,30,,99,186,53.23 %,2018/19
48,49,Robert Weber,SCM,Right Wing,33,,97,149,65.10 %,2018/19
49,50,Nemanja Zelenovic,FAG,Right Back,28,,97,174,55.75 %,2018/19
50,51,Patrick Rentschler,SGB,Pivot,30,,97,121,80.17 %,2018/19
51,52,Marco Rentschler,FAG,Right Wing,34,,96,136,70.59 %,2018/19
52,53,Paul Drux,BER,Left Back,25,,95,158,60.13 %,2018/19
53,54,Morten Olsen,HAN,Centre Back,29,,94,195,48.21 %,2018/19
54,55,Steffen Weinhold,THW,Right Back,31,,94,160,58.75 %,2018/19
55,56,Ilija Brozovic,HAN,Pivot,33,,94,120,78.33 %,2018/19
56,57,Nikola Bilyk,THW,Left Back,31,,91,158,57.59 %,2018/19
57,58,Alexander Petersson,RNL,Right Back,26,,90,153,58.82 %,2018/19
58,59,Hampus Wanne,SGF,Left Wing,34,,90,130,69.23 %,2018/19
59,60,Moritz Preuss,GUM,Pivot,34,,90,116,77.59 %,2018/19
60,61,Fabian Wiede,BER,Right Back,24,,89,162,54.94 %,2018/19
61,62,Ivan Sliskovic,FAG,Left Back,30,,89,162,54.94 %,2018/19
62,63,Nikolai Link,HCE,Left Back,27,,88,161,54.66 %,2018/19
63,64,Luka Zvizej,GWD,Left Wing,33,,88,116,75.86 %,2018/19
64,65,Jim Gottfridsson,SGF,Centre Back,32,,87,149,58.39 %,2018/19
65,66,Frederik Simak,BER,Left Back,24,,86,136,63.24 %,2018/19
66,67,Yves Kunkel,MTM,Left Wing,34,,85,130,65.38 %,2018/19
67,68,Hendrik Pekeler,THW,Pivot,33,,84,112,75.00 %,2018/19
68,69,Magnus Gullerud,GWD,Pivot,34,,84,108,77.78 %,2018/19
69,70,Holger Glandorf,SGF,Right Back,34,,83,148,56.08 %,2018/19
70,71,Magnus Abelvik Rød,SGF,Right Back,31,,81,129,62.79 %,2018/19
71,72,Mads Mensah Larsen,RNL,Left Back,33,,80,162,49.38 %,2018/19
72,73,Christian O'Sullivan,SCM,Centre Back,31,,80,129,62.02 %,2018/19
73,74,Patrick Wiencek,THW,Pivot,34,,80,101,79.21 %,2018/19
74,75,Olle Forsell Schefvert,WET,Centre Back,34,,80,151,52.98 %,2018/19
75,76,Albin Lagergren,SCM,Right Back,26,,80,127,62.99 %,2018/19
76,77,Stanislav Zhukov,GUM,Left Back,29,,79,192,41.15 %,2018/19
77,78,Magnus Landin Jacobsen,THW,Left Wing,34,,79,106,74.53 %,2018/19
78,79,Zeljko Musa,SCM,Pivot,34,,78,95,82.11 %,2018/19
79,80,Lenny Rubin,WET,Left Back,29,,78,136,57.35 %,2018/19
80,81,Johannes Sellin,HCE,Right Wing,23,,77,105,73.33 %,2018/19
81,82,Anton Lindskog,WET,Pivot,34,,76,107,71.03 %,2018/19
82,83,Daniel Pettersson,SCM,Right Wing,34,,76,97,78.35 %,2018/19
83,84,Christopher Bissel,HCE,Left Wing,34,,76,108,70.37 %,2018/19
84,85,Michael Kraus,TVB,Centre Back,13,,76,121,62.81 %,2018/19
85,86,Kai Dippe,LUD,Pivot,34,,75,106,70.75 %,2018/19
86,87,Michael Schweikardt,TVB,Centre Back,33,,74,141,52.48 %,2018/19
87,88,Marko Bezjak,SCM,Centre Back,32,,73,134,54.48 %,2018/19
88,89,Tomas Babak,BHC,Centre Back,34,,73,136,53.68 %,2018/19
89,90,Mattias Zachrisson,BER,Right Wing,25,,72,114,63.16 %,2018/19
90,91,Max Darj,BHC,Pivot,30,,72,106,67.92 %,2018/19
91,92,Andreas Cederholm,GWD,Right Back,31,,71,136,52.21 %,2018/19
92,93,Nejc Cehte,HAN,Right Back,34,,71,127,55.91 %,2018/19
93,94,Kristian Bjornsen,WET,Right Wing,28,,70,102,68.63 %,2018/19
94,95,Tobias Schimmelbauer,TVB,Left Wing,29,,70,93,75.27 %,2018/19
95,96,Mijajlo Marsenic,BER,Pivot,28,,70,93,75.27 %,2018/19
96,97,Alen Milosevic,LEI,Pivot,28,,68,90,75.56 %,2018/19
97,98,Marino Maric,MTM,Pivot,23,,68,93,73.12 %,2018/19
98,99,Jerry Tollbring,RNL,Left Wing,30,,68,97,70.10 %,2018/19
99,100,Gunnar Dietrich,LUD,Left Back,34,,67,150,44.67 %,2018/19
100,101,Simon Birkefeldt,MTM,Right Back,34,,67,136,49.26 %,2018/19
101,102,Tim Kneule,FAG,Centre Back,34,,66,124,53.23 %,2018/19
102,103,Frederic Stüber,LUD,Pivot,34,,66,82,80.49 %,2018/19
103,104,Tobias Schröter,GUM,Right Wing,34,,65,107,60.75 %,2018/19
104,105,Florian Baumgärtner,GUM,Right Back,33,,65,137,47.45 %,2018/19
105,106,Cristian Ugalde Garcia,HAN,Left Wing,32,,64,95,67.37 %,2018/19
106,107,Christoph Theuerkauf,TBV,Pivot,31,,63,92,68.48 %,2018/19
107,108,Jonathan Scholz,LUD,Left Wing,34,,63,93,67.74 %,2018/19
108,109,Donát Bartók,TBV,Right Back,21,,63,128,49.22 %,2018/19
109,110,Julius Kühn,MTM,Left Back,10,,62,108,57.41 %,2018/19
110,111,Pascal Durak,LUD,Right Wing,23,,60,88,68.18 %,2018/19
111,112,Alexander Falk,LUD,Right Wing,34,,60,95,63.16 %,2018/19
112,113,Fabian Gutbrod,BHC,Left Back,21,,59,133,44.36 %,2018/19
113,114,Harald Reinkind,THW,Right Back,34,,58,105,55.24 %,2018/19
114,115,Sascha Pfattheicher,TVB,Right Wing,34,,58,95,61.05 %,2018/19
115,116,Mats Korte,GWD,Left Wing,34,,57,77,74.03 %,2018/19
116,117,Kristian Nippes,BHC,Right Back,30,,57,117,48.72 %,2018/19
117,118,Steffen Fäth,RNL,Left Back,28,,56,121,46.28 %,2018/19
118,119,Finn Lemke,MTM,Left Back,33,,56,99,56.57 %,2018/19
119,120,Mads Christiansen,SCM,Right Back,34,,56,113,49.56 %,2018/19
120,121,Niclas Pieczkowski,LEI,Centre Back,31,,56,134,41.79 %,2018/19
121,122,Simon Baumgarten,TVB,Pivot,34,,56,69,81.16 %,2018/19
122,123,Max Häfner,TVB,Centre Back,29,,56,95,58.95 %,2018/19
123,124,Emil Frend Öfors,WET,Left Wing,33,,56,97,57.73 %,2018/19
124,125,Lukas Binder,LEI,Left Wing,30,,55,81,67.90 %,2018/19
125,126,Stefan Salger,LUD,Right Back,28,,55,116,47.41 %,2018/19
126,127,Patrick Groetzki,RNL,Right Wing,31,,54,78,69.23 %,2018/19
127,128,Robin Haller,SGB,Left Back,34,,54,143,37.76 %,2018/19
128,129,Roman Sidorowicz,MTM,Centre Back,18,,54,105,51.43 %,2018/19
129,130,Filip Mirkulovski,WET,Centre Back,33,,53,96,55.21 %,2018/19
130,131,Michael Kraus,SGB,Centre Back,12,,52,119,43.70 %,2018/19
131,132,Johannes Golla,SGF,Pivot,34,,51,59,86.44 %,2018/19
132,133,Maximilian Janke,LEI,Centre Back,29,,50,79,63.29 %,2018/19
133,134,Alexander Feld,LUD,Centre Back,15,,50,102,49.02 %,2018/19
134,135,Lukas von Deschwanden,TVB,Left Back,28,,50,103,48.54 %,2018/19
135,136,Florian von Gruchalla,HCE,Right Wing,34,,49,66,74.24 %,2018/19
136,137,Michael Allendorf,MTM,Left Wing,29,,49,69,71.01 %,2018/19
137,138,Jan Asmuth,SGB,Left Wing,34,,49,75,65.33 %,2018/19
138,139,Pascal Bührer,LUD,Centre Back,25,,49,90,54.44 %,2018/19
139,140,Jonathan Carlsbogard,TBV,Left Back,27,,49,126,38.89 %,2018/19
140,141,Max Emanuel,SGB,Right Back,29,,48,105,45.71 %,2018/19
141,142,Andreas Schröder,HCE,Left Back,24,,47,92,51.09 %,2018/19
142,143,Jan Schäffer,HCE,Pivot,34,,47,67,70.15 %,2018/19
143,144,Manuel Späth,TVB,Pivot,34,,46,64,71.88 %,2018/19
144,145,Alexander Hermann,WET,Left Back,22,,46,85,54.12 %,2018/19
145,146,Miljan Pusica,GWD,Left Back,34,,46,84,54.76 %,2018/19
146,147,Dominik Ebner,TBV,Right Wing,34,,45,93,48.39 %,2018/19
147,148,Jan Döll,SGB,Right Wing,32,,45,77,58.44 %,2018/19
148,149,Vladan Lipovina,RNL,Right Back,34,,44,84,52.38 %,2018/19
149,150,Marius Steinhauser,SGF,Right Wing,33,,44,55,80.00 %,2018/19
150,151,Anders Zachariassen,SGF,Pivot,34,,44,53,83.02 %,2018/19
151,152,Fabian van Olphen,TBV,Left Back,32,,43,86,50.00 %,2018/19
152,153,Evgeni Pevnov,HAN,Pivot,30,,43,52,82.69 %,2018/19
153,154,Rune Dahmke,THW,Left Wing,34,,43,62,69.35 %,2018/19
154,155,Dominik Mappes,HCE,Centre Back,27,,43,78,55.13 %,2018/19
155,156,Simon Jeppsson,SGF,Left Back,34,,43,80,53.75 %,2018/19
156,157,Bogdan Andrei Criciotoiu,BHC,Right Back,30,,42,87,48.28 %,2018/19
157,158,Dominik Claus,SGB,Right Back,32,,42,94,44.68 %,2018/19
158,159,Domagoj Pavlovic,MTM,Centre Back,22,,42,76,55.26 %,2018/19
159,160,Johan Koch,BER,Pivot,26,,42,49,85.71 %,2018/19
160,161,Eirik Köpp,GUM,Left Back,33,,41,90,45.56 %,2018/19
161,162,Lars Lehnhoff,HAN,Left Wing,20,,39,57,68.42 %,2018/19
162,163,Robert Markotic,TVB,Right Back,21,,38,77,49.35 %,2018/19
163,164,Azat Valiullin,LUD,Left Back,16,,37,83,44.58 %,2018/19
164,165,Felix Danner,MTM,Pivot,33,,37,56,66.07 %,2018/19
165,166,Michael Müller,MTM,Right Back,24,,37,89,41.57 %,2018/19
166,167,Jonathan Fischer,SGB,Pivot,33,,37,49,75.51 %,2018/19
167,168,Andreas Rojewski,LEI,Right Back,23,,36,76,47.37 %,2018/19
168,169,Piotr Chrapkowski,SCM,Left Back,31,,36,55,65.45 %,2018/19
169,170,Petter Øverby,HCE,Pivot,32,,36,54,66.67 %,2018/19
170,171,Aivis Jurdzs,LEI,Left Back,33,,35,63,55.56 %,2018/19
171,172,Jacob Bagersted,FAG,Pivot,34,,34,54,62.96 %,2018/19
172,173,Jens Schöngarth,FAG,Right Back,33,,34,89,38.20 %,2018/19
173,174,Filip Taleski,RNL,Left Back,34,,34,63,53.97 %,2018/19
174,175,Gøran Søgard Johannessen,SGF,Left Back,22,,34,63,53.97 %,2018/19
175,176,Rafael Baena Gonzalez,BHC,Pivot,34,,34,42,80.95 %,2018/19
176,177,Dani Baijens,TBV,Centre Back,20,,33,66,50.00 %,2018/19
177,178,Simon Hald Jensen,SGF,Pivot,34,,33,42,78.57 %,2018/19
178,179,Aliaksandr Padshyvalau,GWD,Centre Back,31,,33,68,48.53 %,2018/19
179,180,Max Staar,GWD,Right Wing,28,,32,48,66.67 %,2018/19
180,181,Patrick Weber,SGB,Left Back,19,,32,76,42.11 %,2018/19
181,182,Miha Zarabec,THW,Centre Back,34,,32,63,50.79 %,2018/19
182,183,David Špiler,LUD,Centre Back,15,,32,59,54.24 %,2018/19
183,184,Jannik Hofmann,LUD,Left Wing,32,,31,51,60.78 %,2018/19
184,185,Valentin Schmidt,SGB,Centre Back,20,,30,63,47.62 %,2018/19
185,186,Nils Torbrügge,WET,Pivot,34,,30,44,68.18 %,2018/19
186,187,Leos Petrovsky,BHC,Pivot,29,,30,42,71.43 %,2018/19
187,188,Josip Peric,FAG,Centre Back,34,,30,42,71.43 %,2018/19
188,189,Gedeón Guardiola,RNL,Pivot,34,,29,40,72.50 %,2018/19
189,190,Isaias Guardiola Villaplana,TBV,Right Back,24,,29,62,46.77 %,2018/19
190,191,Ole Rahmel,THW,Right Wing,33,,28,43,65.12 %,2018/19
191,192,Andrej Kogut,TBV,Centre Back,22,,28,56,50.00 %,2018/19
192,193,Daniel Fontaine,BHC,Left Back,13,,28,59,47.46 %,2018/19
193,194,Savvas Savvas,GWD,Left Back,24,,28,62,45.16 %,2018/19
194,195,Maciej Gebala,LEI,Pivot,33,,28,30,93.33 %,2018/19
195,196,Michael Haaß,HCE,Centre Back,27,,27,56,48.21 %,2018/19
196,197,Jonas Thümmler,HCE,Pivot,34,,27,38,71.05 %,2018/19
197,198,Timm Schneider,MTM,Centre Back,23,,25,54,46.30 %,2018/19
198,199,Raul Santos,LEI,Left Wing,19,,25,47,53.19 %,2018/19
199,200,Marc Esche,LEI,Left Wing,18,,25,39,64.10 %,2018/19
200,201,Bogdan Radivojevic,RNL,Right Wing,34,,24,46,52.17 %,2018/19
201,202,Christian Klimek,TBV,Pivot,30,,23,33,69.70 %,2018/19
202,203,Csaba Szücs,BHC,Centre Back,27,,23,56,41.07 %,2018/19
203,204,Maximilian Haider,LUD,Pivot,30,,22,31,70.97 %,2018/19
204,205,Anton Mansson,GWD,Pivot,29,,22,29,75.86 %,2018/19
205,206,Benedikt Kellner,HCE,Centre Back,31,,22,34,64.71 %,2018/19
206,207,Milan Kotrc,BHC,Left Wing,30,,22,35,62.86 %,2018/19
207,208,Joao Ferraz,WET,Right Back,27,,21,55,38.18 %,2018/19
208,209,Ignacio Plaza Jimenez,SCM,Pivot,31,,21,32,65.63 %,2018/19
209,210,Dimitri Ignatow,MTM,Right Wing,34,,21,37,56.76 %,2018/19
210,211,Martin Marcec,SGB,Left Wing,29,,21,35,60.00 %,2018/19
211,212,Torge Johannsen,HAN,Right Wing,16,,20,33,60.61 %,2018/19
212,213,Maciej Majdzinski,BHC,Right Back,12,,20,38,52.63 %,2018/19
213,214,Lucas Krzikalla,LEI,Right Wing,25,,19,22,86.36 %,2018/19
214,215,Marko Vujin,THW,Right Back,16,,19,29,65.52 %,2018/19
215,216,Christoph Reißky,BER,Right Back,28,,19,37,51.35 %,2018/19
216,217,Lars Weissgerber,WET,Right Wing,24,,19,26,73.08 %,2018/19
217,218,Pavel Atman,HAN,Centre Back,13,,19,38,50.00 %,2018/19
218,219,Fynn Herzig,GUM,Left Back,23,,19,29,65.52 %,2018/19
219,220,Jesper Nielsen,RNL,Pivot,18,,19,19,100.00 %,2018/19
220,221,Robin Hübscher,TBV,Left Wing,34,,19,34,55.88 %,2018/19
221,222,Drago Vukovic,GUM,Centre Back,12,,18,37,48.65 %,2018/19
222,223,Alexander Becker,GUM,Pivot,34,,18,28,64.29 %,2018/19
223,224,Veit Mävers,HAN,Centre Back,25,,18,32,56.25 %,2018/19
224,225,Erik Schmidt,BER,Pivot,33,,17,23,73.91 %,2018/19
225,226,Philipp Müller,MTM,Left Back,34,,16,33,48.48 %,2018/19
226,227,Nicolai Theilinger,HCE,Right Back,17,,15,24,62.50 %,2018/19
227,228,Daniel Hideg,LUD,Left Back,26,,15,35,42.86 %,2018/19
228,229,Mait Patrail,HAN,Left Back,5,,14,20,70.00 %,2018/19
229,230,Maximilian-Leon Bettin,BHC,Left Back,26,,13,36,36.11 %,2018/19
230,231,Yannick Fraatz,BHC,Right Wing,29,,13,16,81.25 %,2018/19
231,232,Maximilian Trost,SGB,Left Back,14,,13,27,48.15 %,2018/19
232,233,Vetle Rønningen,SGB,Left Back,28,,13,31,41.94 %,2018/19
233,234,Kevin Struck,BER,Left Wing,21,,11,15,73.33 %,2018/19
234,235,Jakov Gojun,BER,Left Back,33,,11,12,91.67 %,2018/19
235,236,Hannes Feise,HAN,Left Wing,25,,11,20,55.00 %,2018/19
236,237,Martin Murawski,HCE,Left Wing,32,,11,14,78.57 %,2018/19
237,238,Joscha Ritterbach,FAG,Left Wing,31,,11,19,57.89 %,2018/19
238,239,Samuel Röthlisberger,TVB,Pivot,34,,11,14,78.57 %,2018/19
239,240,Vincent Büchner,HAN,Left Wing,14,,11,18,61.11 %,2018/19
240,241,Tim Sörensen,FAG,Right Wing,15,,11,17,64.71 %,2018/19
241,242,Maximilian Lux,WET,Right Wing,17,,10,20,50.00 %,2018/19
242,243,Luis Villgrattner,GUM,Left Back,14,,10,22,45.45 %,2018/19
243,244,Nikola Vlahovic,SGB,Left Back,26,,10,22,45.45 %,2018/19
244,245,Tim Ruggiero-Matthes,BER,Left Wing,16,,10,13,76.92 %,2018/19
245,246,Jan Remmlinger,LUD,Left Back,12,,8,18,44.44 %,2018/19
246,247,Allan Damgaard Espersen,FAG,Centre Back,30,,8,16,50.00 %,2018/19
247,248,Alexander Engelhardt,TBV,Pivot,19,,8,10,80.00 %,2018/19
248,249,Wael Jallouz,BER,Left Back,14,,8,30,26.67 %,2018/19
249,250,Lennart Gliese,BER,Right Back,7,,8,18,44.44 %,2018/19
250,251,Stipe Mandalinic,BER,Left Back,7,,7,16,43.75 %,2018/19
251,252,Lukas Mertens,SCM,Left Wing,15,,6,7,85.71 %,2018/19
252,253,Michael Oehler,SGB,Pivot,31,,6,6,100.00 %,2018/19
253,254,Alexander Weck,BHC,Left Back,11,,6,13,46.15 %,2018/19
254,255,Milos Putera,LEI,Goalkeeper,34,,5,6,83.33 %,2018/19
255,256,Sebastian Firnhaber,THW,Pivot,29,,5,6,83.33 %,2018/19
256,257,Fynn Hangstein,TBV,Left Back,14,,5,14,35.71 %,2018/19
257,258,Martin Hanne,HAN,Left Back,3,,5,7,71.43 %,2018/19
258,259,Max Öhler,TVB,Left Wing,7,,5,5,100.00 %,2018/19
259,260,Carlos Molina Cosano,SCM,Left Back,28,,5,6,83.33 %,2018/19
260,261,Lukas Kister,GWD,Left Back,29,,4,11,36.36 %,2018/19
261,262,Stefan Kneer,WET,Left Back,26,,4,9,44.44 %,2018/19
262,263,Niklas Landin Jacobsen,THW,Goalkeeper,34,,4,6,66.67 %,2018/19
263,264,Gregor Remke,LEI,Right Back,14,,4,7,57.14 %,2018/19
264,265,Tim Rüdiger,WET,Right Wing,1,,4,5,80.00 %,2018/19
265,266,Espen Christensen,GWD,Goalkeeper,30,,4,8,50.00 %,2018/19
266,267,Jannes Krone,HAN,Right Wing,20,,4,7,57.14 %,2018/19
267,268,Juan de la Peña,SCM,Centre Back,19,,4,6,66.67 %,2018/19
268,269,Dani Baijens,SGF,Centre Back,10,,4,7,57.14 %,2018/19
269,270,Lukas Stutzke,BHC,Left Back,5,,3,6,50.00 %,2018/19
270,271,Till Klimpke,WET,Goalkeeper,34,,3,4,75.00 %,2018/19
271,272,Hendrik Schreiber,WET,Centre Back,31,,3,11,27.27 %,2018/19
272,273,Nikolas Katsigiannis,HCE,Goalkeeper,34,,3,7,42.86 %,2018/19
273,274,Andreas Wolff,THW,Goalkeeper,34,,3,4,75.00 %,2018/19
274,275,Joshua Thiele,HAN,Pivot,33,,3,6,50.00 %,2018/19
275,276,Julius Rose,TBV,Left Back,9,,3,4,75.00 %,2018/19
276,277,Yonatan Dayan,GUM,Centre Back,27,,3,6,50.00 %,2018/19
277,278,Pierre Busch,GUM,Right Wing,29,,3,6,50.00 %,2018/19
278,279,Gisli Thorgeir Kristjansson,THW,Centre Back,10,,3,3,100.00 %,2018/19
279,280,Maxim Schalles,TBV,Right Wing,19,,3,3,100.00 %,2018/19
280,281,Matthias Puhle,GUM,Goalkeeper,33,,2,2,100.00 %,2018/19
281,282,Bastian Roscheck,LEI,Pivot,34,,2,6,33.33 %,2018/19
282,283,René Erik Hedegaard Villadsen,LEI,Goalkeeper,31,,2,3,66.67 %,2018/19
283,284,Maximilian Schwarz,SGB,Right Back,6,,2,3,66.67 %,2018/19
284,285,Stefan Hanemann,LUD,Goalkeeper,34,,2,2,100.00 %,2018/19
285,286,Nebojsa Simic,MTM,Goalkeeper,34,,2,3,66.67 %,2018/19
286,287,Domenico Ebner,SGB,Goalkeeper,34,,2,3,66.67 %,2018/19
287,288,Maximilian Nowatzki,GWD,Right Back,18,,2,3,66.67 %,2018/19
288,289,Justus Max Kluge,SCM,Left Wing,24,,2,3,66.67 %,2018/19
289,290,Torben Waldgenbach,WET,Left Back,8,,2,7,28.57 %,2018/19
290,291,Ilija Abutovic,RNL,Left Back,32,,2,2,100.00 %,2018/19
291,292,Urban Lesjak,HAN,Goalkeeper,34,,2,4,50.00 %,2018/19
292,293,Jonas Stüber,GUM,Pivot,13,,2,5,40.00 %,2018/19
293,294,Axel Goller,FAG,Right Back,11,,2,3,66.67 %,2018/19
294,295,Steve Baumgärtel,LEI,Right Back,6,,2,4,50.00 %,2018/19
295,296,Yannik Bialowas,GUM,Left Wing,10,,2,5,40.00 %,2018/19
296,297,Silvio Heinevetter,BER,Goalkeeper,34,,1,2,50.00 %,2018/19
297,298,Andreas Palicka,RNL,Goalkeeper,30,,1,4,25.00 %,2018/19
298,299,Mikael Appelgren,RNL,unknown,33,,1,1,100.00 %,2018/19
299,300,Dario Quenstedt,SCM,Goalkeeper,33,,1,3,33.33 %,2018/19
300,301,Jannick Green Krejberg,SCM,Goalkeeper,34,,1,5,20.00 %,2018/19
301,302,Tobias Karlsson,SGF,Pivot,33,,1,1,100.00 %,2018/19
302,303,Carsten Lichtlein,GUM,Goalkeeper,34,,1,1,100.00 %,2018/19
303,304,Peter Johannesson,TBV,Goalkeeper,34,,1,2,50.00 %,2018/19
304,305,Jonas Maier,TVB,Goalkeeper,33,,1,1,100.00 %,2018/19
305,306,Piotr Wyszomirski,TBV,Goalkeeper,29,,1,1,100.00 %,2018/19
306,307,Martin Ziemer,HAN,Goalkeeper,33,,1,2,50.00 %,2018/19
307,308,Christopher Rudeck,BHC,Goalkeeper,34,,1,2,50.00 %,2018/19
308,309,Florian Burmeister,TVB,Left Back,11,,1,5,20.00 %,2018/19
309,310,Fin Backs,MTM,Left Wing,5,,1,2,50.00 %,2018/19
310,311,Albin Xhafolli,GUM,Right Wing,5,,1,2,50.00 %,2018/19
311,312,Lars Röller,RNL,unknown,4,,1,2,50.00 %,2018/19
312,313,Maximilian Kessler,RNL,unknown,4,,1,2,50.00 %,2018/19
313,314,Niklas Danowski,SCM,unknown,1,,1,1,100.00 %,2018/19
314,315,Malte Nolting,GWD,Pivot,2,,1,1,100.00 %,2018/19
315,316,Tibor Ivanisevic,WET,Goalkeeper,19,,1,3,33.33 %,2018/19
316,317,Jonas Hellmann,LEI,Right Wing,11,,1,1,100.00 %,2018/19
317,318,Jakob Hoffmanns,HCE,Left Back,4,,1,3,33.33 %,2018/19
318,319,Torben Matzken,BER,Centre Back,6,,1,1,100.00 %,2018/19
319,320,Jonas Poser,HCE,Right Wing,9,,1,2,50.00 %,2018/19
320,321,Hannes Bransche,SCM,Right Back,7,,1,1,100.00 %,2018/19
321,322,Jonas Gertges,GWD,Left Wing,1,,1,2,50.00 %,2018/19
322,323,Ákos Széles,LEI,unknown,1,,1,1,100.00 %,2018/19
323,324,Petr Štochl,BER,unknown,2,,0,0,,2018/19
324,325,Benjamin Burić,SGF,Goalkeeper,34,,0,2,0.00 %,2018/19
325,326,Michael Haßferter,HCE,Goalkeeper,5,,,,,2018/19
326,327,Kim Sonne-Hansen,GWD,Goalkeeper,34,,0,0,,2018/19
327,328,Bastian Rutschmann,BHC,Goalkeeper,30,,0,0,,2018/19
328,329,Daniel Rebmann,FAG,Goalkeeper,34,,0,0,,2018/19
329,330,Primož Prošt,FAG,Goalkeeper,34,,0,0,,2018/19
330,331,Malte Semisch,BER,Goalkeeper,26,,0,0,,2018/19
331,332,Jens Vortmann,LEI,Goalkeeper,1,,,,,2018/19
332,333,Thomas Oehlrich,LEI,Pivot,5,,0,0,,2018/19
333,334,Jonas Dell,BHC,Pivot,1,,0,0,,2018/19
334,335,Johan Sjöstrand,MTM,Goalkeeper,34,,0,1,0.00 %,2018/19
335,336,Maurice Paske,GWD,Goalkeeper,1,,0,0,,2018/19
336,337,Johannes Bitter,TVB,Goalkeeper,34,,0,0,,2018/19
337,338,Alexander Heib,TVB,Centre Back,1,,,,,2018/19
338,339,Christian Dissinger,THW,Left Back,5,,0,0,,2018/19
