,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
77,78,Lukas Saueressig,HBW,Centre Back,38,,98,171,57.31 %,2020/21
78,79,Vincent Büchner,HAN,Left Wing,35,,98,125,78.40 %,2020/21
79,80,Gøran Søgard Johannessen,SGF,Left Back,38,,98,158,62.03 %,2020/21
80,81,Andreas Cederholm,TBV,Right Back,27,,97,190,51.05 %,2020/21
81,82,Patrick Wiesmach Larsen,LEI,Right Wing,31,,97,133,72.93 %,2020/21
82,83,Sime Ivic,HCE,Right Back,20,,96,152,63.16 %,2020/21
83,84,Pavel Mickal,NOL,Left Wing,38,,95,146,65.07 %,2020/21
84,85,Jeffrey Boomhouwer,BHC,Left Wing,38,,94,145,64.83 %,2020/21
85,86,Pascal Durak,LUD,Right Wing,31,,94,148,63.51 %,2020/21
86,87,Maciej Gebala,LEI,Pivot,37,,94,111,84.68 %,2020/21
87,88,Azat Valiullin,LUD,Left Back,37,,93,201,46.27 %,2020/21
88,89,Jerome Müller,TVB,Right Back,35,,93,161,57.76 %,2020/21
89,90,Christopher Bissel,HCE,Left Wing,38,,92,129,71.32 %,2020/21
90,91,Lukas Zerbe,TBV,Right Wing,34,,92,121,76.03 %,2020/21
91,92,Ilija Brozovic,HAN,Pivot,36,,91,115,79.13 %,2020/21
92,93,Albin Lagergren,RNL,Right Back,32,,91,149,61.07 %,2020/21
93,94,Lasse Svan,SGF,Right Wing,38,,90,123,73.17 %,2020/21
94,95,Tim Kneule,FAG,Centre Back,38,,90,154,58.44 %,2020/21
95,96,Max Häfner,TVB,Centre Back,37,,90,175,51.43 %,2020/21
96,97,Zarko Peshevski,TVB,Pivot,38,,90,123,73.17 %,2020/21
97,98,Dominik Weiß,TVB,Left Back,38,,88,182,48.35 %,2020/21
98,99,Alfred Jönsson,HAN,Centre Back,28,,88,140,62.86 %,2020/21
99,100,Pontus Zetterman,COB,Right Back,36,,87,182,47.80 %,2020/21
100,101,Nejc Cehte,HAN,Right Back,36,,87,176,49.43 %,2020/21
101,102,Patrick Wiencek,THW,Pivot,32,,83,108,76.85 %,2020/21
102,103,Felix Klingler,TUE,Right Wing,37,,83,120,69.17 %,2020/21
103,104,Eloy Morante Maldonado,TUE,Centre Back,37,,83,126,65.87 %,2020/21
104,105,Daniel Pettersson,SCM,Right Wing,38,,82,113,72.57 %,2020/21
105,106,Rune Dahmke,THW,Left Wing,37,,82,109,75.23 %,2020/21
106,107,Tobias Reichmann,MTM,Right Wing,32,,82,114,71.93 %,2020/21
107,108,Antonio Metzner,HCE,Right Back,21,,81,152,53.29 %,2020/21
108,109,Niclas Kirkeløkke,RNL,Right Back,38,,78,138,56.52 %,2020/21
109,110,Sascha Pfattheicher,TVB,Right Wing,38,,77,129,59.69 %,2020/21
110,111,Dominik Kalafut,NOL,Pivot,34,,77,108,71.30 %,2020/21
111,112,Dani Baijens,TBV,Centre Back,37,,77,130,59.23 %,2020/21
112,113,Pouya Norouzinezhad,COB,Centre Back,32,,75,133,56.39 %,2020/21
113,114,Gedeón Guardiola,TBV,Pivot,38,,74,102,72.55 %,2020/21
114,115,Dimitri Ignatow,TUE,Right Wing,38,,74,107,69.16 %,2020/21
115,116,Luca Witzke,LEI,Centre Back,21,,74,112,66.07 %,2020/21
116,117,Fabian Böhm,HAN,Left Back,31,,73,149,48.99 %,2020/21
117,118,Paul Drux,BER,Left Back,32,,72,108,66.67 %,2020/21
118,119,Marko Bezjak,SCM,Centre Back,36,,72,103,69.90 %,2020/21
119,120,Mats Korte,GWD,Left Wing,38,,72,105,68.57 %,2020/21
120,121,Yves Kunkel,MTM,Left Wing,35,,71,113,62.83 %,2020/21
121,122,Tobias Ellebæk,FAG,Left Back,35,,71,129,55.04 %,2020/21
122,123,Steffen Weinhold,THW,Right Back,37,,70,111,63.06 %,2020/21
123,124,Marino Maric,MTM,Pivot,38,,69,90,76.67 %,2020/21
124,125,Patrick Miedema,NOL,Centre Back,36,,69,113,61.06 %,2020/21
125,126,Martin Hanne,HAN,Left Back,38,,69,127,54.33 %,2020/21
126,127,Gregor Remke,LEI,Right Back,36,,68,138,49.28 %,2020/21
127,128,Marko Mamic,LEI,Left Back,35,,67,139,48.20 %,2020/21
128,129,Johannes Sellin,HCE,Right Wing,32,,66,94,70.21 %,2020/21
129,130,Olle Forsell Schefvert,WET,Centre Back,24,,66,105,62.86 %,2020/21
130,131,Miha Zarabec,THW,Centre Back,37,,66,119,55.46 %,2020/21
131,132,Magnus Fredriksen,WET,Centre Back,36,,66,112,58.93 %,2020/21
132,133,Tomas Babak,BHC,Centre Back,36,,65,105,61.90 %,2020/21
133,134,Gregor Thomann,HBW,Right Wing,32,,65,90,72.22 %,2020/21
134,135,Tim Ruggiero-Matthes,BER,Left Wing,38,,65,101,64.36 %,2020/21
135,136,Filip Kuzmanovski,HAN,Left Back,35,,65,111,58.56 %,2020/21
136,137,Hampus Olsson,HCE,Right Wing,33,,64,89,71.91 %,2020/21
137,138,Marius Steinhauser,SGF,Right Wing,36,,63,88,71.59 %,2020/21
138,139,Tim Hornke,SCM,Right Wing,38,,63,91,69.23 %,2020/21
139,140,Max Neuhaus,LUD,Centre Back,38,,63,96,65.63 %,2020/21
140,141,Lukas Stutzke,BHC,Left Back,37,,62,126,49.21 %,2020/21
141,142,Evgeni Pevnov,HAN,Pivot,35,,62,95,65.26 %,2020/21
142,143,Milos Vujovic,BER,Left Wing,21,,61,89,68.54 %,2020/21
143,144,Lukas Becher,TUE,Left Wing,38,,61,83,73.49 %,2020/21
144,145,Isaias Guardiola Villaplana,TBV,Right Back,37,,60,121,49.59 %,2020/21
145,146,Emil Mellegard,WET,Left Wing,37,,59,86,68.60 %,2020/21
146,147,Markus Stegefelt,NOL,Left Back,33,,58,112,51.79 %,2020/21
147,148,Jan Remmlinger,LUD,Left Back,32,,57,91,62.64 %,2020/21
148,149,Justus Richtzenhain,GWD,Pivot,38,,56,73,76.71 %,2020/21
149,150,Dennis Szczesny,TUE,unknown,33,,54,101,53.47 %,2020/21
150,151,Marcel Timm,TBV,Pivot,36,,53,76,69.74 %,2020/21
151,152,Alexander Terwolbeck,NOL,Centre Back,38,,53,85,62.35 %,2020/21
152,153,Martin Larsen,LEI,Right Back,26,,53,96,55.21 %,2020/21
153,154,Zeljko Musa,SCM,Pivot,38,,52,73,71.23 %,2020/21
154,155,Christian Klimek,LUD,Pivot,31,,50,66,75.76 %,2020/21
155,156,Lars Weissgerber,WET,Right Wing,38,,50,78,64.10 %,2020/21
156,157,Lucas Meister,GWD,Pivot,23,,50,74,67.57 %,2020/21
157,158,Rene Zobel,HBW,Right Back,34,,49,98,50.00 %,2020/21
158,159,Magnus Gullerud,SCM,Pivot,33,,49,63,77.78 %,2020/21
159,160,Julian Possehl,NOL,Right Back,38,,49,95,51.58 %,2020/21
160,161,Pascal Bührer,LUD,Centre Back,35,,49,83,59.04 %,2020/21
161,162,Fabian Wiederstein,HBW,Pivot,31,,49,70,70.00 %,2020/21
162,163,Bobby Schagen,TBV,Right Wing,37,,48,71,67.61 %,2020/21
163,164,Maximilian Haider,LUD,Pivot,37,,46,64,71.88 %,2020/21
164,165,Jacob Bagersted,FAG,Pivot,38,,46,65,70.77 %,2020/21
165,166,Florian von Gruchalla,HCE,Right Wing,33,,46,79,58.23 %,2020/21
166,167,Joscha Ritterbach,GWD,Left Wing,37,,46,62,74.19 %,2020/21
167,168,Marko Kopljar,BER,Right Back,35,,46,74,62.16 %,2020/21
168,169,Moritz Strosack,HBW,Right Wing,36,,46,73,63.01 %,2020/21
169,170,Romain Lagarde,RNL,Centre Back,33,,46,93,49.46 %,2020/21
170,171,Felix Sproß,COB,Left Wing,38,,45,80,56.25 %,2020/21
171,172,Alexander Falk,LUD,Right Wing,28,,45,73,61.64 %,2020/21
172,173,Frederik Simak,TBV,Left Back,20,,45,85,52.94 %,2020/21
173,174,Josip Bozic-Pavletic,FAG,unknown,23,,45,64,70.31 %,2020/21
174,175,Benedikt Kellner,HCE,Centre Back,33,,44,73,60.27 %,2020/21
175,176,Tim Suton,TBV,Centre Back,11,,43,75,57.33 %,2020/21
176,177,Alen Milosevic,LEI,Pivot,34,,43,64,67.19 %,2020/21
177,178,James Scott,HBW,Left Back,19,,43,81,53.09 %,2020/21
178,179,Marian Michalczik,BER,Centre Back,33,,42,71,59.15 %,2020/21
179,180,Johan Koch,BER,Pivot,35,,42,58,72.41 %,2020/21
180,181,Sven Ehrig,THW,Right Wing,32,,42,65,64.62 %,2020/21
181,182,Alexander Schulze,TVB,Left Wing,35,,42,57,73.68 %,2020/21
182,183,Ivan Srsen,WET,Right Back,37,,42,67,62.69 %,2020/21
183,184,Magnus Landin Jacobsen,THW,Left Wing,35,,41,60,68.33 %,2020/21
184,185,Axel Goller,FAG,Right Wing,38,,41,58,70.69 %,2020/21
185,186,Veit Mävers,HAN,Centre Back,38,,41,71,57.75 %,2020/21
186,187,Niclas Pieczkowski,LEI,Centre Back,23,,40,87,45.98 %,2020/21
187,188,Jonathan Scholz,LUD,Left Wing,30,,40,53,75.47 %,2020/21
188,189,Björn Zintel,HBW,Centre Back,32,,40,74,54.05 %,2020/21
189,190,Christoph Steinert,SCM,Right Back,38,,39,60,65.00 %,2020/21
190,191,Moritz Preuss,SCM,Pivot,38,,39,54,72.22 %,2020/21
191,192,Gisli Thorgeir Kristjansson,SCM,Centre Back,21,,39,55,70.91 %,2020/21
192,193,Oskar Sunnefeldt,THW,Left Back,36,,39,71,54.93 %,2020/21
193,194,Luca de Boer,NOL,Pivot,29,,37,64,57.81 %,2020/21
194,195,Lasse Mikkelsen,MTM,Centre Back,38,,36,65,55.38 %,2020/21
195,196,Jannek Klein,LUD,Right Back,37,,36,74,48.65 %,2020/21
196,197,Tom Kare Nikolaisen,BHC,Pivot,35,,36,47,76.60 %,2020/21
197,198,Mait Patrail,RNL,Left Back,38,,35,56,62.50 %,2020/21
198,199,Tim Rozman,TUE,Right Back,34,,35,81,43.21 %,2020/21
199,200,Valter Chrintz,BER,Right Wing,36,,35,63,55.56 %,2020/21
200,201,Steffen Fäth,HCE,Left Back,20,,34,70,48.57 %,2020/21
201,202,Max Staar,GWD,Right Wing,32,,34,50,68.00 %,2020/21
202,203,Yannick Fraatz,BHC,Right Wing,20,,34,36,94.44 %,2020/21
203,204,Patrick Gempp,WET,Pivot,38,,34,45,75.56 %,2020/21
204,205,Daniel Mosindi,HCE,Right Back,27,,34,69,49.28 %,2020/21
205,206,Kristian Beciri,HBW,Pivot,17,,34,47,72.34 %,2020/21
206,207,Drasko Nenadic,COB,Left Back,34,,33,76,43.42 %,2020/21
207,208,Felix Danner,MTM,Pivot,35,,33,50,66.00 %,2020/21
208,209,Nico Büdel,HCE,Centre Back,26,,33,69,47.83 %,2020/21
209,210,Gunnar Dietrich,LUD,Left Back,36,,33,74,44.59 %,2020/21
210,211,Simon Hald Jensen,SGF,Pivot,36,,33,41,80.49 %,2020/21
211,212,Jan Schäffer,HCE,Pivot,38,,32,41,78.05 %,2020/21
212,213,Marcel Niemeyer,HBW,Pivot,12,,32,51,62.75 %,2020/21
213,214,Fynn Hangstein,TBV,Left Back,38,,31,64,48.44 %,2020/21
214,215,Miro Schluroff,GWD,Left Back,26,,31,78,39.74 %,2020/21
215,216,Joshua Thiele,GWD,Pivot,33,,30,48,62.50 %,2020/21
216,217,Filip Mirkulovski,WET,Centre Back,35,,29,42,69.05 %,2020/21
217,218,Christoph Neuhold,COB,Left Back,32,,29,72,40.28 %,2020/21
218,219,Magnus Jøndal,SGF,Left Wing,38,,28,46,60.87 %,2020/21
219,220,Petter Øverby,HCE,Pivot,21,,28,36,77.78 %,2020/21
220,221,Philip Henningsson,WET,Left Back,38,,28,47,59.57 %,2020/21
221,222,Hannes Feise,HAN,Left Wing,36,,27,48,56.25 %,2020/21
222,223,Maciej Majdzinski,BHC,Right Back,15,,27,48,56.25 %,2020/21
223,224,Stefan Salger,MTM,Right Back,38,,26,50,52.00 %,2020/21
224,225,Janus Dadi Smarason,FAG,Centre Back,14,,25,51,49.02 %,2020/21
225,226,Maximilian Jaeger,HCE,Left Wing,26,,25,35,71.43 %,2020/21
226,227,Tarek Marschall,HCE,Centre Back,26,,25,55,45.45 %,2020/21
227,228,Julius Meyer-Siebert,LEI,Left Back,26,,25,55,45.45 %,2020/21
228,229,Till Hermann,FAG,Left Wing,38,,25,32,78.13 %,2020/21
229,230,Andrej Kogut,TBV,Centre Back,29,,24,48,50.00 %,2020/21
230,231,Michael Allendorf,MTM,Left Wing,30,,24,40,60.00 %,2020/21
231,232,Philipp Ahouansou,RNL,Left Back,34,,24,57,42.11 %,2020/21
232,233,Nicolai Theilinger,FAG,Right Back,30,,23,34,67.65 %,2020/21
233,234,Justin Kurch,COB,Pivot,27,,23,35,65.71 %,2020/21
234,235,Arnar Freyr Arnarsson,MTM,Pivot,35,,23,33,69.70 %,2020/21
235,236,Domen Sikosek Pelko,SGF,Pivot,13,,23,33,69.70 %,2020/21
236,237,Renars Uscins,BHC,Right Back,23,,22,39,56.41 %,2020/21
237,238,Alexander Petersson,RNL,Right Back,11,,21,34,61.76 %,2020/21
238,239,Matthias Musche,SCM,Left Wing,7,,21,35,60.00 %,2020/21
239,240,Tim Roman Wieling,TVB,Right Wing,35,,21,35,60.00 %,2020/21
240,241,Sebastian Damm,BHC,Left Wing,31,,21,30,70.00 %,2020/21
241,242,Rudolf Faluvegi,TVB,Centre Back,16,,21,39,53.85 %,2020/21
242,243,Ymir Örn Gislason,RNL,Pivot,37,,21,32,65.63 %,2020/21
243,244,Christoph Theuerkauf,TBV,Pivot,8,,20,23,86.96 %,2020/21
244,245,Marco Rentschler,FAG,Right Wing,18,,20,29,68.97 %,2020/21
245,246,Franz Semper,SGF,Right Back,8,,20,33,60.61 %,2020/21
246,247,Dominic Kelm,COB,Pivot,26,,20,27,74.07 %,2020/21
247,248,Samuel Röthlisberger,TVB,Pivot,38,,20,30,66.67 %,2020/21
248,249,Alexander Weck,BHC,Left Back,16,,20,46,43.48 %,2020/21
249,250,Simon Strakeljahn,GWD,Centre Back,37,,20,48,41.67 %,2020/21
250,251,Csaba Szücs,BHC,Centre Back,32,,19,33,57.58 %,2020/21
251,252,Christian Zeitz,GWD,Right Back,32,,19,59,32.20 %,2020/21
252,253,Daniel Wernig,LUD,Right Wing,9,,19,31,61.29 %,2020/21
253,254,Jannes Krone,HAN,Right Wing,38,,19,34,55.88 %,2020/21
254,255,Marc Esche,LEI,Left Wing,32,,19,28,67.86 %,2020/21
255,256,Lasse Møller,SGF,Left Back,5,,19,26,73.08 %,2020/21
256,257,Simon Ernst,BER,Centre Back,38,,17,29,58.62 %,2020/21
257,258,Aliaksandr Padshyvalau,GWD,Centre Back,23,,17,50,34.00 %,2020/21
258,259,Tobias Heinzelmann,HBW,Pivot,26,,17,24,70.83 %,2020/21
259,260,Jakov Gojun,BER,Left Back,34,,16,20,80.00 %,2020/21
260,261,Nikolai Link,HCE,Left Back,19,,16,33,48.48 %,2020/21
261,262,Jonas Ellwanger,TUE,Centre Back,12,,16,30,53.33 %,2020/21
262,263,Tolga Durmaz,TUE,Pivot,36,,16,28,57.14 %,2020/21
263,264,Niklas Diebel,HBW,Left Back,24,,15,32,46.88 %,2020/21
264,265,Nils Torbrügge,NOL,Pivot,28,,15,22,68.18 %,2020/21
265,266,Malte Voigt,THW,Left Wing,25,,15,23,65.22 %,2020/21
266,267,Tim Freihöfer,BER,Left Wing,9,,15,19,78.95 %,2020/21
267,268,Piotr Chrapkowski,SCM,Left Back,38,,14,24,58.33 %,2020/21
268,269,Jakob Knauer,COB,Right Back,6,,14,23,60.87 %,2020/21
269,270,Romas Kirveliavicius,HBW,Left Back,38,,13,18,72.22 %,2020/21
270,271,Alexander Feld,WET,Centre Back,22,,12,20,60.00 %,2020/21
271,272,Toon Leenders,NOL,Pivot,38,,11,18,61.11 %,2020/21
272,273,Laurenz Kluth,TUE,Centre Back,27,,11,25,44.00 %,2020/21
273,274,Yessine Meddeb,LUD,Right Back,38,,11,24,45.83 %,2020/21
274,275,Sander Visser,NOL,Right Wing,38,,11,17,64.71 %,2020/21
275,276,Alexander Petersson,SGF,Right Back,15,,10,20,50.00 %,2020/21
276,277,Finn Lemke,MTM,Left Back,33,,10,21,47.62 %,2020/21
277,278,Pavel Horak,THW,Left Back,36,,10,16,62.50 %,2020/21
278,279,Levin Zare,NOL,Left Wing,30,,10,15,66.67 %,2020/21
279,280,Paul Schikora,COB,Right Wing,31,,10,14,71.43 %,2020/21
280,281,Lasse Seidel,NOL,Left Wing,9,,9,12,75.00 %,2020/21
281,282,Gunnar Steinn Jonsson,FAG,unknown,22,,9,20,45.00 %,2020/21
282,283,Alexander Reimann,TBV,Left Wing,27,,8,15,53.33 %,2020/21
283,284,Kristian Nippes,BHC,Right Back,12,,7,13,53.85 %,2020/21
284,285,Malte Seidel,TUE,Left Back,37,,7,13,53.85 %,2020/21
285,286,Justus Max Kluge,SCM,Left Wing,30,,7,9,77.78 %,2020/21
286,287,Rafael Baena Gonzalez,RNL,Pivot,11,,7,10,70.00 %,2020/21
287,288,Magnus Holpert,SGF,unknown,33,,7,17,41.18 %,2020/21
288,289,Leon Ciudad Benitez,THW,unknown,17,,7,9,77.78 %,2020/21
289,290,Maximilian Janke,GWD,Centre Back,26,,6,6,100.00 %,2020/21
290,291,Philipp Grimm,LUD,Left Wing,10,,6,9,66.67 %,2020/21
291,292,Lars Röller,HBW,Pivot,8,,6,7,85.71 %,2020/21
292,293,Malte Donker,HAN,Right Back,36,,6,9,66.67 %,2020/21
293,294,Niklas Ingenpaß,TUE,Pivot,16,,6,8,75.00 %,2020/21
294,295,Andreas Palicka,RNL,Goalkeeper,32,,5,8,62.50 %,2020/21
295,296,Benjamin Meschke,HCE,Pivot,12,,5,6,83.33 %,2020/21
296,297,Ole Pregler,MTM,Centre Back,33,,5,13,38.46 %,2020/21
297,298,Peter Johannesson,TBV,Goalkeeper,38,,4,5,80.00 %,2020/21
298,299,Tom Bergner,BHC,Pivot,31,,4,5,80.00 %,2020/21
299,300,Bart Ravensbergen,NOL,Goalkeeper,38,,4,4,100.00 %,2020/21
300,301,Petar Juric,HAN,Left Back,13,,4,5,80.00 %,2020/21
301,302,Maxim Schalles,TBV,Right Wing,1,,4,6,66.67 %,2020/21
302,303,Max Preller,COB,Left Wing,7,,4,8,50.00 %,2020/21
303,304,Fynn-Luca Nicolaus,TVB,Pivot,29,,4,10,40.00 %,2020/21
304,305,Florian Kranzmann,GWD,Left Wing,2,,4,5,80.00 %,2020/21
305,306,Kaspar Veigel,RNL,unknown,17,,4,8,50.00 %,2020/21
306,307,Paul Kompenhans,MTM,unknown,11,,4,4,100.00 %,2020/21
307,308,Enes Keskic,BER,unknown,7,,4,4,100.00 %,2020/21
308,309,Nils Homscheid,TUE,unknown,15,,4,8,50.00 %,2020/21
309,310,Till Klimpke,WET,Goalkeeper,34,,3,3,100.00 %,2020/21
310,311,Malte Semisch,GWD,Goalkeeper,38,,3,6,50.00 %,2020/21
311,312,Miljan Pusica,GWD,Left Back,10,,3,12,25.00 %,2020/21
312,313,Domenico Ebner,HAN,Goalkeeper,38,,3,6,50.00 %,2020/21
313,314,Jesper Nielsen,RNL,Pivot,22,,3,5,60.00 %,2020/21
314,315,Anton Prakapenia,NOL,Left Back,10,,3,9,33.33 %,2020/21
315,316,Elvar Asgeirsson,TVB,Centre Back,17,,3,3,100.00 %,2020/21
316,317,Dejan Milosavljev,BER,Goalkeeper,37,,3,5,60.00 %,2020/21
317,318,Stefan Bauer,HCE,Left Back,12,,3,3,100.00 %,2020/21
318,319,Bevan Calvert,THW,unknown,7,,3,4,75.00 %,2020/21
319,320,Finn-Lukas Leun,LEI,unknown,6,,3,7,42.86 %,2020/21
320,321,Ole Klimpke,WET,unknown,18,,3,5,60.00 %,2020/21
321,322,Julian Thomas,BHC,unknown,8,,3,4,75.00 %,2020/21
322,323,Tomas Mrkva,BHC,Goalkeeper,36,,2,3,66.67 %,2020/21
323,324,Christoph Foth,HBW,Pivot,3,,2,2,100.00 %,2020/21
324,325,Bastian Roscheck,LEI,Pivot,30,,2,5,40.00 %,2020/21
325,326,Christopher Rudeck,BHC,Goalkeeper,38,,2,2,100.00 %,2020/21
326,327,Ragnar Johannsson,BHC,Right Back,10,,2,4,50.00 %,2020/21
327,328,Konstantin Poltrum,COB,Goalkeeper,36,,2,3,66.67 %,2020/21
328,329,Lukas Diedrich,TUE,Goalkeeper,31,,2,5,40.00 %,2020/21
329,330,Yannik Bialowas,HCE,Left Wing,8,,2,3,66.67 %,2020/21
330,331,Urh Kastelic,FAG,Goalkeeper,37,,2,5,40.00 %,2020/21
331,332,Dino Mustafic,COB,Centre Back,18,,2,2,100.00 %,2020/21
332,333,Oskar Neudeck,FAG,Left Back,31,,2,9,22.22 %,2020/21
333,334,Felix Dettenthaler,COB,Left Wing,11,,2,3,66.67 %,2020/21
334,335,Ben Beekmann,MTM,unknown,9,,2,2,100.00 %,2020/21
335,336,Jakob-Jannis Leun,LEI,unknown,3,,2,5,40.00 %,2020/21
336,337,Elias Huber,HBW,unknown,4,,2,2,100.00 %,2020/21
337,338,Matteo Ehlers,HAN,unknown,8,,2,3,66.67 %,2020/21
338,339,Tobias Schmitz,BHC,unknown,2,,2,2,100.00 %,2020/21
