,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Omar Ingi Magnusson,SCM,Right Back,38,,274,400,68.50 %,2020/21
1,2,Marcel Schiller,FAG,Left Wing,38,,270,378,71.43 %,2020/21
2,3,Bjarki Mar Elisson,TBV,Left Wing,37,,254,340,74.71 %,2020/21
3,4,Robert Weber,NOL,Right Wing,38,,235,338,69.53 %,2020/21
4,5,Hampus Wanne,SGF,Left Wing,36,,230,321,71.65 %,2020/21
5,6,Viggó Kristjánsson,TVB,Right Back,38,,230,371,61.99 %,2020/21
6,7,Julius Kühn,MTM,Left Back,38,,211,366,57.65 %,2020/21
7,8,Niclas Ekberg,THW,Right Wing,33,,205,264,77.65 %,2020/21
8,9,Florian Billek,COB,Right Wing,38,,204,285,71.58 %,2020/21
9,10,Hans Lindberg,BER,Right Wing,34,,197,255,77.25 %,2020/21
10,11,Noah Beyer,TUE,Left Wing,34,,195,270,72.22 %,2020/21
11,12,Timo Kastening,MTM,Right Wing,38,,194,254,76.38 %,2020/21
12,13,Christoffer Rambo,GWD,Right Back,38,,187,395,47.34 %,2020/21
13,14,Hendrik Wagner,LUD,Left Back,37,,182,346,52.60 %,2020/21
14,15,Jim Gottfridsson,SGF,Centre Back,38,,177,243,72.84 %,2020/21
15,16,Simon Jeppsson,HCE,Left Back,33,,177,318,55.66 %,2020/21
16,17,Sander Sagosen,THW,Left Back,34,,175,291,60.14 %,2020/21
17,18,Kai Häfner,MTM,Right Back,36,,168,297,56.57 %,2020/21
18,19,Vladan Lipovina,HBW,Right Back,36,,167,343,48.69 %,2020/21
19,20,Andy Schmid,RNL,Centre Back,38,,167,311,53.70 %,2020/21
20,21,Uwe Gensheimer,RNL,Left Wing,30,,163,226,72.12 %,2020/21
21,22,Juri Knorr,GWD,Centre Back,35,,161,298,54.03 %,2020/21
22,23,Lucas Krzikalla,LEI,Right Wing,38,,156,212,73.58 %,2020/21
23,24,Ivan Martinovic,HAN,Right Back,34,,155,257,60.31 %,2020/21
24,25,Lenny Rubin,WET,Left Back,38,,154,267,57.68 %,2020/21
25,26,Sebastian Heymann,FAG,Left Back,37,,148,236,62.71 %,2020/21
26,27,Lukas Mertens,SCM,Left Wing,38,,148,196,75.51 %,2020/21
27,28,Kristian Bjornsen,WET,Right Wing,37,,145,187,77.54 %,2020/21
28,29,Kevin Maageroe Gulliksen,GWD,Right Wing,38,,142,208,68.27 %,2020/21
29,30,Johannes Golla,SGF,Pivot,32,,140,184,76.09 %,2020/21
30,31,Johan Hansen,HAN,Right Wing,36,,140,199,70.35 %,2020/21
31,32,Fabian Gutbrod,BHC,Left Back,34,,138,248,55.65 %,2020/21
32,33,Lukas Binder,LEI,Left Wing,37,,137,193,70.98 %,2020/21
33,34,Lasse Bredekjaer Andersson,BER,Left Back,37,,137,249,55.02 %,2020/21
34,35,Michael Damgaard,SCM,Left Back,35,,136,233,58.37 %,2020/21
35,36,Philipp Weber,LEI,Left Back,37,,135,257,52.53 %,2020/21
36,37,Anton Lindskog,WET,Pivot,36,,135,167,80.84 %,2020/21
37,38,Harald Reinkind,THW,Right Back,38,,134,225,59.56 %,2020/21
38,39,Sebastian Firnhaber,HCE,Pivot,38,,133,185,71.89 %,2020/21
39,40,Lucas Firnhaber,TUE,Right Back,38,,133,276,48.19 %,2020/21
40,41,Jannik Kohlbacher,RNL,Pivot,31,,132,168,78.57 %,2020/21
41,42,Maximilian Holst,WET,Left Wing,34,,130,181,71.82 %,2020/21
42,43,Domagoj Duvnjak,THW,Centre Back,37,,130,215,60.47 %,2020/21
43,44,Nemanja Zelenovic,FAG,Right Back,38,,127,227,55.95 %,2020/21
44,45,Adam Lönn,TVB,Left Back,34,,127,249,51.00 %,2020/21
45,46,Max Darj,BHC,Pivot,36,,126,160,78.75 %,2020/21
46,47,David Schmidt,BHC,Right Back,35,,125,261,47.89 %,2020/21
47,48,Tim Zechel,TUE,Pivot,38,,124,181,68.51 %,2020/21
48,49,Philipp Vorlicek,NOL,Right Back,36,,123,211,58.29 %,2020/21
49,50,Stefan Cavor,WET,Right Back,24,,122,199,61.31 %,2020/21
50,51,Mads Mensah Larsen,SGF,unknown,37,,119,218,54.59 %,2020/21
51,52,Tim Nothdurft,HBW,Left Wing,37,,119,159,74.84 %,2020/21
52,53,Arnor Thor Gunnarsson,BHC,Right Wing,31,,118,168,70.24 %,2020/21
53,54,Oddur Gretarsson,HBW,Left Wing,35,,118,157,75.16 %,2020/21
54,55,Magnus Abelvik Rød,SGF,Right Back,38,,117,190,61.58 %,2020/21
55,56,Christian O'Sullivan,SCM,Centre Back,37,,116,187,62.03 %,2020/21
56,57,Mijajlo Marsenic,BER,Pivot,38,,116,163,71.17 %,2020/21
57,58,Patrick Zieker,TVB,Left Wing,36,,113,163,69.33 %,2020/21
58,59,Fabian Wiede,BER,Right Back,37,,112,184,60.87 %,2020/21
59,60,Tobias Varvne,COB,Centre Back,32,,112,205,54.63 %,2020/21
60,61,Kresimir Kozina,FAG,Pivot,38,,111,150,74.00 %,2020/21
61,62,Jacob Tandrup Holm,BER,Centre Back,33,,111,173,64.16 %,2020/21
62,63,Patrick Groetzki,RNL,Right Wing,34,,110,145,75.86 %,2020/21
63,64,Hendrik Pekeler,THW,Pivot,37,,109,129,84.50 %,2020/21
64,65,Justin Müller,TUE,Centre Back,38,,109,199,54.77 %,2020/21
65,66,Jona Schoch,HBW,Left Back,34,,107,209,51.20 %,2020/21
66,67,Linus Arnesson,BHC,Centre Back,32,,107,221,48.42 %,2020/21
67,68,Jerry Tollbring,RNL,Left Wing,36,,107,143,74.83 %,2020/21
68,69,Doruk Pehlivan,GWD,Left Back,31,,107,201,53.23 %,2020/21
69,70,Jonathan Carlsbogard,TBV,Left Back,29,,106,194,54.64 %,2020/21
70,71,Andreas Schröder,COB,Left Back,32,,105,220,47.73 %,2020/21
71,72,Georg Pöhle,NOL,unknown,34,,104,255,40.78 %,2020/21
72,73,Domagoj Pavlovic,MTM,Centre Back,34,,103,157,65.61 %,2020/21
73,74,Dominik Mappes,LUD,Centre Back,33,,102,166,61.45 %,2020/21
74,75,Milos Grozdanic,COB,unknown,29,,101,160,63.13 %,2020/21
75,76,Stepan Zeman,COB,Pivot,38,,100,129,77.52 %,2020/21
76,77,Lukas Nilsson,RNL,Left Back,37,,99,197,50.25 %,2020/21
