,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Marko Grgić,EIS,Centre Back,34,,301,445,67.64 %,2024/25
1,2,Mathias Gidsel,BER,Right Back,33,,275,357,77.03 %,2024/25
2,3,Emil Jakobsen,SGF,Left Wing,34,,244,329,74.16 %,2024/25
3,4,Emil Wernsdorf Madsen,THW,Right Back,33,,217,349,62.18 %,2024/25
4,5,Renars Uscins,HAN,Right Back,34,,213,365,58.36 %,2024/25
5,6,Tim Freihöfer,BER,Left Wing,33,,211,273,77.29 %,2024/25
6,7,Marius Steinhauser,HAN,Right Wing,33,,196,268,73.13 %,2024/25
7,8,Frederik Bo Andersen,HSV,Right Wing,34,,186,247,75.30 %,2024/25
8,9,Miro Schluroff,GUM,Left Back,34,,178,284,62.68 %,2024/25
9,10,Luca Witzke,LEI,Centre Back,30,,169,262,64.50 %,2024/25
10,11,Leif Tissier,HSV,Centre Back,34,,167,234,71.37 %,2024/25
11,12,Jon Lindenchrone Andersen,RNL,unknown,34,,167,270,61.85 %,2024/25
12,13,Lasse Bredekjaer Andersson,BER,Left Back,32,,166,283,58.66 %,2024/25
13,14,Samuel Zehnder,TBV,Left Wing,34,,164,230,71.30 %,2024/25
14,15,Dominik Mappes,WET,Centre Back,33,,163,273,59.71 %,2024/25
15,16,Eric Johansson,THW,Left Back,33,,161,293,54.95 %,2024/25
16,17,Andri Mar Runarsson,LEI,Centre Back,33,,157,274,57.30 %,2024/25
17,18,Justus Fischer,HAN,Pivot,33,,157,198,79.29 %,2024/25
18,19,Niels Gerardus Versteijnen,TBV,Right Back,34,,154,281,54.80 %,2024/25
19,20,Marcel Schiller,FAG,Left Wing,34,,152,218,69.72 %,2024/25
20,21,Omar Ingi Magnusson,SCM,Right Back,27,,152,213,71.36 %,2024/25
21,22,Lasse Møller,SGF,Left Back,33,,152,262,58.02 %,2024/25
22,23,Moritz Sauter,HSV,Centre Back,34,,148,240,61.67 %,2024/25
23,24,Tim Suton,TBV,Centre Back,30,,146,224,65.18 %,2024/25
24,25,Kai Häfner,TVB,Right Back,34,,143,270,52.96 %,2024/25
25,26,Simone Mengon,EIS,Left Back,34,,143,198,72.22 %,2024/25
26,27,Ivan Martinovic,RNL,unknown,23,,140,223,62.78 %,2024/25
27,28,Casper Mortensen,HSV,Left Wing,32,,135,208,64.90 %,2024/25
28,29,Ian Barrufet,MTM,Left Wing,34,,135,188,71.81 %,2024/25
29,30,Jacob Arenth Lassen,HSV,Right Back,33,,134,229,58.52 %,2024/25
30,31,Franz Semper,LEI,Right Back,26,,130,231,56.28 %,2024/25
31,32,Lenny Rubin,TVB,Left Back,33,,130,245,53.06 %,2024/25
32,33,Ludvig Hallbäck,FAG,Centre Back,24,,127,202,62.87 %,2024/25
33,34,Domen Novak,WET,Right Wing,33,,126,185,68.11 %,2024/25
34,35,Lukas Binder,LEI,Left Wing,34,,124,188,65.96 %,2024/25
35,36,Jonathan Fischer,SGB,Pivot,34,,123,163,75.46 %,2024/25
