,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
36,37,Daniel Fernandez Jimenez,TVB,Left Wing,33,,123,179,68.72 %,2024/25
37,38,Milos Vujovic,GUM,Left Wing,31,,122,159,76.73 %,2024/25
38,39,Christopher Bissel,HCE,Left Wing,34,,121,172,70.35 %,2024/25
39,40,Juri Knorr,RNL,unknown,27,,120,210,57.14 %,2024/25
40,41,Philipp Weber,SCM,Left Back,30,,117,187,62.57 %,2024/25
41,42,Lukas Jørgensen,SGF,Pivot,34,,115,151,76.16 %,2024/25
42,43,Jannik Kohlbacher,RNL,Pivot,29,,115,158,72.78 %,2024/25
43,44,Filip Vistorop,EIS,Centre Back,32,,114,174,65.52 %,2024/25
44,45,Timo Kastening,MTM,Right Wing,34,,111,150,74.00 %,2024/25
45,46,Magnus Saugstrup,SCM,Pivot,34,,110,138,79.71 %,2024/25
46,47,Stefan Cavor,WET,Right Back,26,,110,194,56.70 %,2024/25
47,48,Dainis Krištopāns,MTM,Right Back,33,,110,176,62.50 %,2024/25
48,49,Simon Pytlick,SGF,Left Back,20,,108,169,63.91 %,2024/25
49,50,Jannek Klein,POT,unknown,34,,108,237,45.57 %,2024/25
50,51,Julian Köster,GUM,Left Back,25,,108,179,60.34 %,2024/25
51,52,Marek Nissen,HCE,Left Back,32,,108,190,56.84 %,2024/25
52,53,Matthias Musche,SCM,Left Wing,21,,106,138,76.81 %,2024/25
53,54,Lukas Zerbe,THW,Right Wing,34,,106,150,70.67 %,2024/25
54,55,Niclas Kirkeløkke,SGF,Right Back,34,,106,196,54.08 %,2024/25
55,56,Erik Persson,FAG,Right Back,34,,105,187,56.15 %,2024/25
56,57,Tom Wolf,SGB,Left Back,31,,105,192,54.69 %,2024/25
57,58,Gisli Thorgeir Kristjansson,SCM,Centre Back,29,,105,151,69.54 %,2024/25
58,59,Philipp Ahouansou,WET,Left Back,26,,102,200,51.00 %,2024/25
59,60,Antonio Metzner,HCE,Right Back,34,,101,207,48.79 %,2024/25
60,61,Mijajlo Marsenic,BER,Pivot,34,,100,128,78.13 %,2024/25
61,62,Josip Simic,POT,Pivot,34,,100,145,68.97 %,2024/25
62,63,Gonzalo Perez Arce,SGB,Right Wing,34,,100,136,73.53 %,2024/25
63,64,Bence Imre,THW,Right Wing,33,,99,136,72.79 %,2024/25
64,65,Elvar Örn Jonsson,MTM,Left Back,29,,99,173,57.23 %,2024/25
65,66,Johannes Golla,SGF,Pivot,34,,98,121,80.99 %,2024/25
66,67,Kristjan Horzen,GUM,Pivot,34,,97,128,75.78 %,2024/25
67,68,Viggó Kristjánsson,HCE,Right Back,13,,96,151,63.58 %,2024/25
68,69,Albin Lagergren,SCM,Right Back,33,,94,145,64.83 %,2024/25
69,70,Rogerio Moraes Ferreira,MTM,Pivot,32,,94,129,72.87 %,2024/25
70,71,Erik Balenciaga,MTM,Centre Back,34,,93,134,69.40 %,2024/25
71,72,Olle Forsell Schefvert,RNL,Centre Back,34,,93,142,65.49 %,2024/25
72,73,Nils Lichtlein,BER,Centre Back,34,,93,142,65.49 %,2024/25
73,74,Maxim Orlov,POT,Left Back,28,,93,199,46.73 %,2024/25
74,75,Nils Fuhrmann,POT,Left Wing,34,,92,130,70.77 %,2024/25
75,76,Domagoj Duvnjak,THW,Centre Back,30,,90,166,54.22 %,2024/25
76,77,Johan Hansen,SGF,Right Wing,34,,90,125,72.00 %,2024/25
77,78,Lukas Hutecek,TBV,Left Back,29,,90,128,70.31 %,2024/25
78,79,Hendrik Wagner,TBV,Left Back,33,,89,175,50.86 %,2024/25
79,80,Oskar Sunnefeldt,FAG,Left Back,33,,88,171,51.46 %,2024/25
80,81,Lukas Laube,TVB,Pivot,32,,86,116,74.14 %,2024/25
81,82,Ellidi Snaer Vidarsson,GUM,Pivot,26,,86,113,76.11 %,2024/25
82,83,Felix Claar,SCM,Left Back,20,,85,137,62.04 %,2024/25
83,84,Fabian Wiede,BER,Right Back,29,,82,109,75.23 %,2024/25
84,85,Hakun West av Teigum,BER,Right Wing,34,,80,103,77.67 %,2024/25
85,86,Max Häfner,TVB,Centre Back,18,,80,139,57.55 %,2024/25
86,87,Vincent Büchner,HAN,Left Wing,32,,79,105,75.24 %,2024/25
87,88,Patrick Groetzki,RNL,Right Wing,32,,78,104,75.00 %,2024/25
88,89,David Móré,RNL,Left Wing,34,,78,108,72.22 %,2024/25
89,90,Andreas Magaard,HSV,Pivot,27,,77,108,71.30 %,2024/25
90,91,Nikolaj Enderleit,MTM,Right Back,33,,76,136,55.88 %,2024/25
91,92,Hendrik Pekeler,THW,Pivot,27,,75,99,75.76 %,2024/25
92,93,Staffan Peter,LEI,Right Wing,32,,75,114,65.79 %,2024/25
93,94,Frederik Simak,TBV,Left Back,33,,74,110,67.27 %,2024/25
94,95,Elias Kofler,POT,Centre Back,28,,73,146,50.00 %,2024/25
95,96,David Cyrill Akakpo,POT,Right Wing,30,,73,113,64.60 %,2024/25
96,97,Ole Pregler,GUM,Centre Back,32,,73,112,65.18 %,2024/25
97,98,Lukas Stutzke,HAN,Left Back,33,,72,129,55.81 %,2024/25
98,99,Kentin Mahé,GUM,Centre Back,28,,72,121,59.50 %,2024/25
99,100,Juan de la Peña,SGB,Centre Back,34,,72,133,54.14 %,2024/25
100,101,Ivan Snajder,EIS,Left Wing,31,,72,115,62.61 %,2024/25
101,102,Lukas Blohme,GUM,Right Wing,34,,71,95,74.74 %,2024/25
102,103,Niklas Weller,HSV,Pivot,34,,71,99,71.72 %,2024/25
103,104,Lukas Mertens,SCM,Left Wing,34,,70,99,70.71 %,2024/25
104,105,Peter Walz,EIS,Pivot,33,,70,112,62.50 %,2024/25
105,106,Giorgi Tskhovrebadze,GUM,unknown,34,,69,133,51.88 %,2024/25
106,107,Moritz Preuss,LEI,Pivot,34,,69,92,75.00 %,2024/25
107,108,Tim Gömmel,HCE,Right Wing,32,,68,102,66.67 %,2024/25
108,109,Elias Ellefsen á Skipagøtu,THW,Centre Back,23,,68,124,54.84 %,2024/25
109,110,Patrick Wiencek,THW,Pivot,34,,68,96,70.83 %,2024/25
110,111,Tilen Kodrin,GUM,Left Wing,34,,68,90,75.56 %,2024/25
111,112,Mads Mensah Larsen,SGF,unknown,34,,67,119,56.30 %,2024/25
112,113,David Schmidt,FAG,Right Back,29,,67,126,53.17 %,2024/25
113,114,Max Günther,POT,Right Wing,28,,66,94,70.21 %,2024/25
114,115,Fynn Hangstein,EIS,Left Back,33,,66,109,60.55 %,2024/25
115,116,Jorge Serrano Villalobos,TVB,Right Wing,31,,66,105,62.86 %,2024/25
116,117,Tim Nothdurft,RNL,Left Wing,33,,65,91,71.43 %,2024/25
117,118,Sander Andreassen Øverjordet,HCE,Centre Back,31,,65,114,57.02 %,2024/25
118,119,Gianfranco Pribetić,TVB,Pivot,32,,65,103,63.11 %,2024/25
119,120,Gustav Davidsson,RNL,Left Back,34,,64,116,55.17 %,2024/25
120,121,Dustin Kraus,POT,Left Back,27,,64,133,48.12 %,2024/25
121,122,Moritz Strosack,SGB,Right Wing,32,,63,90,70.00 %,2024/25
122,123,Julius Kühn,SGB,unknown,33,,62,139,44.60 %,2024/25
123,124,Josip Sarac,FAG,Left Back,21,,62,96,64.58 %,2024/25
124,125,Uladzislau Kulesh,HAN,Left Back,28,,62,128,48.44 %,2024/25
125,126,Paco Barthe,SGB,Centre Back,34,,61,102,59.80 %,2024/25
126,127,Hampus Olsson,HCE,Right Wing,30,,61,96,63.54 %,2024/25
127,128,Jona Schoch,WET,Left Back,33,,60,116,51.72 %,2024/25
128,129,Dominik Claus,SGB,Right Back,21,,60,113,53.10 %,2024/25
129,130,Gian Attenhofer,EIS,Right Wing,34,,60,92,65.22 %,2024/25
130,131,Till Hermann,SGB,Left Wing,34,,60,89,67.42 %,2024/25
131,132,Aaron Mensing,MTM,Left Back,16,,60,101,59.41 %,2024/25
132,133,Maciej Gebala,HCE,Pivot,27,,59,76,77.63 %,2024/25
133,134,Viggó Kristjánsson,LEI,Right Back,13,,59,101,58.42 %,2024/25
134,135,Malte Donker,EIS,Right Back,33,,58,79,73.42 %,2024/25
135,136,Matthes Langhoff,BER,Left Back,34,,58,89,65.17 %,2024/25
136,137,Bobby Schagen,TBV,Right Wing,29,,57,85,67.06 %,2024/25
137,138,David Mandic,MTM,Left Wing,27,,57,69,82.61 %,2024/25
138,139,Lukas Becher,WET,Left Wing,34,,56,94,59.57 %,2024/25
139,140,Tobias Wagner,HCE,Pivot,30,,55,73,75.34 %,2024/25
140,141,Rune Dahmke,THW,Left Wing,31,,55,78,70.51 %,2024/25
141,142,Achilleas Toskas,TVB,Right Back,33,,55,103,53.40 %,2024/25
142,143,Lion Zacharias,WET,Left Wing,32,,55,85,64.71 %,2024/25
143,144,Moritz Ende,EIS,Right Wing,23,,54,79,68.35 %,2024/25
144,145,Maximilian Hejny,SGB,Right Back,32,,54,114,47.37 %,2024/25
145,146,Jim Gottfridsson,SGF,Centre Back,33,,52,82,63.41 %,2024/25
146,147,Manuel Zehnder,SCM,Centre Back,14,,52,83,62.65 %,2024/25
147,148,Teitur Örn Einarsson,GUM,Right Back,21,,51,90,56.67 %,2024/25
148,149,Nikola Vlahovic,SGB,Left Back,34,,51,100,51.00 %,2024/25
149,150,Magnus Landin Jacobsen,THW,Left Wing,34,,51,70,72.86 %,2024/25
150,151,Jarnes Faust,TBV,Right Wing,32,,50,80,62.50 %,2024/25
151,152,Rutger ten Velde,FAG,Left Wing,33,,50,81,61.73 %,2024/25
152,153,Leve Carstensen,TBV,Left Wing,34,,50,69,72.46 %,2024/25
153,154,Nicolas Paulnsteiner,POT,Right Back,30,,48,109,44.04 %,2024/25
154,155,Ymir Örn Gislason,FAG,Pivot,34,,48,71,67.61 %,2024/25
155,156,Vladimir Vranjes,WET,Pivot,34,,47,67,70.15 %,2024/25
156,157,Sebastian Heymann,RNL,Left Back,20,,47,86,54.65 %,2024/25
157,158,Dimitri Ignatow,MTM,Right Wing,34,,46,59,77.97 %,2024/25
158,159,Jonathan Edvardsson,HAN,Centre Back,21,,46,92,50.00 %,2024/25
159,160,Mathis Häseler,GUM,Right Wing,33,,45,67,67.16 %,2024/25
160,161,Tim Hornke,SCM,Right Wing,23,,44,58,75.86 %,2024/25
161,162,Thomas Alfred Solstad,HAN,Pivot,34,,44,59,74.58 %,2024/25
162,163,Luka Rogan,LEI,Pivot,32,,43,59,72.88 %,2024/25
163,164,Justin Müller,WET,Centre Back,32,,43,74,58.11 %,2024/25
164,165,Torben Matzken,TVB,Centre Back,21,,43,63,68.25 %,2024/25
165,166,Martin Hanne,HAN,Left Back,29,,43,83,51.81 %,2024/25
166,167,Marian Michalczik,HAN,Centre Back,30,,42,64,65.63 %,2024/25
167,168,Fabian Wiederstein,SGB,Pivot,34,,42,67,62.69 %,2024/25
168,169,William Bogojevic,LEI,Left Back,24,,42,89,47.19 %,2024/25
169,170,Nico Schöttle,TVB,Left Back,27,,40,85,47.06 %,2024/25
170,171,Franko Lastro,FAG,Right Wing,26,,40,68,58.82 %,2024/25
171,172,Kay Smits,SGF,Right Back,18,,40,63,63.49 %,2024/25
172,173,Alexandre Cavalcanti,MTM,Left Back,26,,40,69,57.97 %,2024/25
173,174,Philipp Meyer,EIS,Pivot,34,,40,49,81.63 %,2024/25
174,175,Ludvig Jurmala Aström,FAG,Pivot,34,,40,61,65.57 %,2024/25
175,176,Victor Klöve,FAG,Left Back,32,,40,89,44.94 %,2024/25
176,177,Dominik Axmann,HSV,Left Back,21,,38,67,56.72 %,2024/25
177,178,Jan Brosch,TBV,Pivot,28,,37,58,63.79 %,2024/25
178,179,Marvin Kix,POT,Centre Back,33,,37,73,50.68 %,2024/25
179,180,Andreas Flodman,FAG,Right Wing,28,,36,52,69.23 %,2024/25
180,181,Rasmus Meyer Ejlersen,WET,Pivot,34,,36,48,75.00 %,2024/25
181,182,Milos Kos,HCE,Left Back,15,,36,69,52.17 %,2024/25
182,183,Daniel Pettersson,SCM,Right Wing,31,,36,52,69.23 %,2024/25
183,184,Max Darj,BER,Pivot,31,,36,42,85.71 %,2024/25
184,185,Viktor Petersen Norberg,WET,Right Back,20,,36,68,52.94 %,2024/25
185,186,Timothy Reichmuth,EIS,Left Wing,34,,36,48,75.00 %,2024/25
186,187,Elias Newel,FAG,Centre Back,26,,35,51,68.63 %,2024/25
187,188,Adrian Sipos,MTM,Pivot,34,,34,55,61.82 %,2024/25
188,189,Matej Klima,LEI,Left Back,8,,34,67,50.75 %,2024/25
189,190,Levin Unbehaun,HSV,Right Wing,33,,32,49,65.31 %,2024/25
190,191,Zoran Ilic,HSV,Right Back,20,,32,68,47.06 %,2024/25
191,192,Fynn-Luca Nicolaus,SGB,Left Back,33,,32,83,38.55 %,2024/25
192,193,Steven Plucnar Jacobsen,RNL,Pivot,34,,31,49,63.27 %,2024/25
193,194,Petter Øverby,THW,Pivot,34,,29,46,63.04 %,2024/25
194,195,Jonathan Svensson,HCE,Left Back,16,,28,64,43.75 %,2024/25
195,196,Vilhelm Poulsen,HAN,Right Back,25,,28,41,68.29 %,2024/25
196,197,August Pedersen,SGF,Left Wing,30,,28,38,73.68 %,2024/25
197,198,Alexander Pfeifer,SGB,Left Wing,34,,27,51,52.94 %,2024/25
198,199,Oskar Neudeck,FAG,Left Back,31,,27,52,51.92 %,2024/25
199,200,Max Beneke,BER,Right Back,34,,26,47,55.32 %,2024/25
200,201,Patrick Zieker,TVB,Left Wing,27,,25,41,60.98 %,2024/25
201,202,Hannes Feise,HAN,Left Wing,32,,25,31,80.65 %,2024/25
202,203,Lucas Krzikalla,LEI,Right Wing,33,,25,38,65.79 %,2024/25
203,204,Alexander Hartwig,HSV,Left Wing,34,,24,28,85.71 %,2024/25
204,205,Stephan Seitz,LEI,Right Back,17,,23,44,52.27 %,2024/25
205,206,Tim Zechel,SCM,Pivot,34,,23,29,79.31 %,2024/25
206,207,Ante Ivankovic,TVB,Left Back,20,,22,48,45.83 %,2024/25
207,208,Tobias Reichmann,BER,Right Wing,15,,22,27,81.48 %,2024/25
208,209,Arnar Freyr Arnarsson,MTM,Pivot,25,,22,32,68.75 %,2024/25
209,210,Georg Löwen,WET,Pivot,32,,21,26,80.77 %,2024/25
210,211,Jonathan Svensson,MTM,Left Back,17,,20,38,52.63 %,2024/25
211,212,Manuel Strlek,BER,Left Wing,19,,19,28,67.86 %,2024/25
212,213,Christoph Steinert,HCE,Right Back,20,,19,30,63.33 %,2024/25
213,214,Nicolai Theilinger,TBV,Right Back,33,,18,33,54.55 %,2024/25
214,215,Nikola Bilyk,THW,Left Back,14,,18,39,46.15 %,2024/25
215,216,Alen Hadzimuhamedovic,SGB,Left Back,11,,17,39,43.59 %,2024/25
216,217,Marko Bezjak,HCE,Centre Back,30,,16,30,53.33 %,2024/25
217,218,Marvin Siemer,POT,Left Wing,8,,15,21,71.43 %,2024/25
218,219,Aksel Horgen,SGF,Right Wing,30,,15,23,65.22 %,2024/25
219,220,Christian O'Sullivan,SCM,Centre Back,25,,15,22,68.18 %,2024/25
220,221,Nemanja Zelenovic,WET,Right Back,12,,15,30,50.00 %,2024/25
221,222,Leos Petrovsky,TBV,Pivot,30,,15,22,68.18 %,2024/25
222,223,Isak Persson,SCM,Right Wing,21,,15,25,60.00 %,2024/25
223,224,Michael Damgaard,SCM,Left Back,34,,14,31,45.16 %,2024/25
224,225,Stephan Seitz,HCE,Right Back,14,,14,23,60.87 %,2024/25
225,226,Halil Jaganjac,RNL,Left Back,20,,14,20,70.00 %,2024/25
226,227,Antonio Serradilla,SCM,Left Back,34,,13,26,50.00 %,2024/25
227,228,Simon Ernst,LEI,Centre Back,30,,13,22,59.09 %,2024/25
228,229,Azat Valiullin,HSV,Left Back,34,,13,27,48.15 %,2024/25
229,230,Ole Klimpke,WET,unknown,30,,13,34,38.24 %,2024/25
230,231,Bruno Reguart Massana,TVB,Centre Back,20,,11,24,45.83 %,2024/25
231,232,Leo Prantner,BER,Right Wing,16,,10,17,58.82 %,2024/25
232,233,Sergey Hernández Ferrer,SCM,Goalkeeper,34,,10,13,76.92 %,2024/25
233,234,Harald Reinkind,THW,Right Back,7,,10,17,58.82 %,2024/25
234,235,Nicholas Schley,POT,Pivot,26,,10,21,47.62 %,2024/25
235,236,Jonas Hönicke,LEI,Centre Back,17,,10,22,45.45 %,2024/25
236,237,Stefan Bauer,HCE,unknown,13,,10,17,58.82 %,2024/25
237,238,Nico Bacani,TVB,Right Wing,34,,10,18,55.56 %,2024/25
238,239,Oscar Bergendahl,SCM,Pivot,19,,10,13,76.92 %,2024/25
239,240,Friedrich Schmitt,LEI,Left Back,33,,10,24,41.67 %,2024/25
240,241,Tilen Strmljan,HAN,Centre Back,24,,9,16,56.25 %,2024/25
241,242,Lukas Herburger,BER,Pivot,31,,9,15,60.00 %,2024/25
242,243,Nico Büdel,HCE,Centre Back,24,,9,26,34.62 %,2024/25
243,244,Justin Kurch,EIS,Pivot,31,,9,10,90.00 %,2024/25
244,245,Aleksandar Capric,EIS,Left Back,28,,9,13,69.23 %,2024/25
245,246,Niklas Michalski,RNL,unknown,19,,9,10,90.00 %,2024/25
246,247,Emil Hansson,POT,Left Back,25,,9,14,64.29 %,2024/25
247,248,Florian Scheerer,HCE,Pivot,28,,9,13,69.23 %,2024/25
248,249,Zolt Krakovszki,WET,unknown,24,,8,18,44.44 %,2024/25
249,250,Dustin Kraus,EIS,Left Back,8,,8,13,61.54 %,2024/25
250,251,Jan Grüner,BER,Left Wing,12,,7,11,63.64 %,2024/25
251,252,Daniel Weber,HAN,Right Wing,19,,7,12,58.33 %,2024/25
252,253,Sergey Gorpishin,POT,Pivot,31,,7,9,77.78 %,2024/25
253,254,Mohamed Amine Darmoul,MTM,Centre Back,6,,7,10,70.00 %,2024/25
254,255,Nils Greilich,LEI,Left Wing,28,,6,12,50.00 %,2024/25
255,256,Alexander Saul,EIS,Right Back,31,,6,11,54.55 %,2024/25
256,257,Stepan Zeman,GUM,Pivot,34,,6,10,60.00 %,2024/25
257,258,Bruno Eickhoff,MTM,Pivot,11,,6,7,85.71 %,2024/25
258,259,Linus Kutz,THW,Centre Back,30,,5,8,62.50 %,2024/25
259,260,Blaž Blagotinšek,SGF,Pivot,33,,5,8,62.50 %,2024/25
260,261,Nikolai Link,HCE,Left Back,33,,5,9,55.56 %,2024/25
261,262,Ole Schramm,POT,Left Back,34,,5,12,41.67 %,2024/25
262,263,Samuel Röthlisberger,TVB,Pivot,31,,5,6,83.33 %,2024/25
263,264,Niklas Theiß,WET,Right Back,2,,5,9,55.56 %,2024/25
264,265,Henri Pabst,THW,Right Back,25,,5,14,35.71 %,2024/25
265,266,Andreas Holst Jensen,SGF,Left Back,10,,4,8,50.00 %,2024/25
266,267,Sadik Emre Herseklioglu,TBV,Centre Back,17,,4,8,50.00 %,2024/25
267,268,Bart Ravensbergen,FAG,Goalkeeper,19,,4,6,66.67 %,2024/25
268,269,Kristian Sæverås,LEI,Goalkeeper,33,,4,6,66.67 %,2024/25
269,270,Ben Connar Battermann,TBV,Left Back,9,,4,7,57.14 %,2024/25
270,271,Thomas Houtepen,TBV,Centre Back,9,,4,9,44.44 %,2024/25
271,272,Niklas Gautzsch,HAN,Left Back,7,,4,7,57.14 %,2024/25
272,273,Maximilian Gerbl,HAN,unknown,16,,4,8,50.00 %,2024/25
273,274,Tim Goßner,FAG,Right Wing,8,,3,7,42.86 %,2024/25
274,275,Simon Gade,HAN,Goalkeeper,33,,3,3,100.00 %,2024/25
275,276,Frederik Puls,TBV,Right Wing,8,,3,8,37.50 %,2024/25
276,277,Jonas Rithaphorn,SGF,Left Wing,4,,3,3,100.00 %,2024/25
277,278,Pablo Lange,SCM,Left Wing,4,,3,4,75.00 %,2024/25
278,279,Dominik Kuzmanović,GUM,Goalkeeper,34,,3,7,42.86 %,2024/25
279,280,Valentin Willner,RNL,Pivot,20,,3,4,75.00 %,2024/25
280,281,Yannik Bialowas,HCE,Left Wing,15,,3,4,75.00 %,2024/25
281,282,David Späth,RNL,Goalkeeper,34,,3,7,42.86 %,2024/25
282,283,Constantin Möstl,TBV,Goalkeeper,34,,2,5,40.00 %,2024/25
283,284,Tom Koschek,GUM,Left Wing,4,,2,3,66.67 %,2024/25
284,285,Meeno Carstensen,TBV,Pivot,7,,2,3,66.67 %,2024/25
285,286,Thilo Knutzen,SGF,Centre Back,11,,2,4,50.00 %,2024/25
286,287,Arv Jendre Kinsky,SGF,Right Wing,4,,2,3,66.67 %,2024/25
287,288,Nebojsa Simic,MTM,Goalkeeper,26,,2,5,40.00 %,2024/25
288,289,Tibor Ivanisevic,FAG,Goalkeeper,34,,2,5,40.00 %,2024/25
289,290,Dejan Milosavljev,BER,Goalkeeper,33,,2,4,50.00 %,2024/25
290,291,Martin Tomovski,POT,Goalkeeper,29,,2,3,66.67 %,2024/25
291,292,Jonas Riecke,MTM,Right Back,2,,2,2,100.00 %,2024/25
292,293,Florian Drosten,MTM,Left Wing,13,,2,3,66.67 %,2024/25
293,294,Adam Morawski,MTM,Goalkeeper,33,,2,5,40.00 %,2024/25
294,295,Nikola Portner,SCM,Goalkeeper,34,,2,6,33.33 %,2024/25
295,296,Karl Erik Edvin Wallinius,THW,unknown,8,,2,5,40.00 %,2024/25
296,297,Ben Janos Szilagyi,THW,Left Wing,3,,1,3,33.33 %,2024/25
297,298,Valentin Weyer,HSV,Left Back,3,,1,2,50.00 %,2024/25
298,299,Till Klimpke,WET,Goalkeeper,29,,1,2,50.00 %,2024/25
299,300,Benjamin Burić,SGF,Goalkeeper,27,,1,1,100.00 %,2024/25
300,301,Dario Quenstedt,HCE,Goalkeeper,21,,1,1,100.00 %,2024/25
301,302,Kevin Møller,SGF,Goalkeeper,34,,1,1,100.00 %,2024/25
302,303,Tomas Mrkva,THW,Goalkeeper,32,,1,3,33.33 %,2024/25
303,304,Rok Maric,EIS,unknown,20,,1,2,50.00 %,2024/25
304,305,Joel Birlehm,HAN,Goalkeeper,33,,1,2,50.00 %,2024/25
305,306,Felix Danner,MTM,Pivot,4,,1,2,50.00 %,2024/25
306,307,Luca Krivokapic,TVB,unknown,10,,1,1,100.00 %,2024/25
307,308,Marko Kopljar,SGF,Right Back,13,,1,4,25.00 %,2024/25
308,309,Dino Corak,HSV,unknown,5,,1,2,50.00 %,2024/25
309,310,Fredrik Genz,SGB,Goalkeeper,34,,1,2,50.00 %,2024/25
310,311,Marti Soler,MTM,Left Wing,10,,1,3,33.33 %,2024/25
311,312,Sascha Brodbeck,FAG,Pivot,11,,1,1,100.00 %,2024/25
312,313,Marko Mamic,LEI,Left Back,33,,1,1,100.00 %,2024/25
313,314,Ben Magnus Möller,HSV,Left Wing,2,,1,1,100.00 %,2024/25
314,315,Moritz Sundermann,TBV,Left Back,1,,1,1,100.00 %,2024/25
315,316,Lasse Ludwig,BER,Goalkeeper,34,,1,1,100.00 %,2024/25
316,317,Miljan Vujovic,TVB,Goalkeeper,33,,1,3,33.33 %,2024/25
317,318,David Sehnke,HCE,Centre Back,3,,1,2,50.00 %,2024/25
318,319,Koray Ayar,HAN,Pivot,24,,1,4,25.00 %,2024/25
319,320,Julian Buchele,FAG,Goalkeeper,18,,1,2,50.00 %,2024/25
320,321,Leon Goldbecker,TBV,Goalkeeper,2,,0,0,,2024/25
321,322,Fabian Lucas,TVB,Centre Back,1,,,,,2024/25
322,323,Magnus Grupe,RNL,unknown,1,,,,,2024/25
323,324,Dorian Knezevic,HCE,Goalkeeper,2,,0,0,,2024/25
324,325,Tom Wolf,MTM,Left Back,2,,,,,2024/25
325,326,Niclas Schuhamnn,LEI,Goalkeeper,1,,0,0,,2024/25
326,327,Bastian Freitag,EIS,Goalkeeper,1,,,,,2024/25
327,328,Arnór Snær Óskarsson,RNL,unknown,11,,0,2,0.00 %,2024/25
328,329,Luca Eckert,TVB,Centre Back,2,,,,,2024/25
329,330,Matija Spikic,EIS,Goalkeeper,34,,0,1,0.00 %,2024/25
330,331,Oskar Czertowicz,SGF,unknown,7,,0,4,0.00 %,2024/25
331,332,Lauro Pichiri,BER,Left Back,4,,0,2,0.00 %,2024/25
332,333,Frederik Höler,POT,Goalkeeper,27,,0,0,,2024/25
333,334,Samir Bellahcene,TVB,Goalkeeper,23,,0,0,,2024/25
334,335,Samir Bellahcene,THW,Goalkeeper,7,,0,0,,2024/25
335,336,Tizian Weimer,WET,Right Wing,11,,0,2,0.00 %,2024/25
336,337,Luis Rodriguez,HAN,Pivot,2,,,,,2024/25
337,338,Noel Hoepfner,WET,Left Back,3,,,,,2024/25
338,339,Ben Lubbadeh,WET,Left Wing,1,,,,,2024/25
