,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
251,252,Timo Stoyke,GWD,Pivot,15,,8,14,57.14 %,2022/23
252,253,Finn-Lukas Leun,LEI,Right Back,9,,8,13,61.54 %,2022/23
253,254,Mika Laurin Sajenev,LEI,Pivot,32,,8,11,72.73 %,2022/23
254,255,Fynn-Lukas Hermeling,GWD,Left Back,4,,8,12,66.67 %,2022/23
255,256,Tobias Schimmelbauer,HSV,Left Wing,32,,7,11,63.64 %,2022/23
256,257,Justin Kurch,HCE,Pivot,21,,7,8,87.50 %,2022/23
257,258,Domagoj Pavlovic,MTM,Centre Back,14,,7,20,35.00 %,2022/23
258,259,Filip Kuzmanovski,HAN,Left Back,16,,7,15,46.67 %,2022/23
259,260,Sven Ehrig,THW,Right Wing,4,,7,12,58.33 %,2022/23
260,261,Oskar Neudeck,FAG,Left Back,12,,7,9,77.78 %,2022/23
261,262,Stephan Seitz,HCE,Right Back,15,,7,16,43.75 %,2022/23
262,263,David Móré,RNL,Left Wing,6,,7,7,100.00 %,2022/23
263,264,Niklas Michalski,RNL,Right Wing,29,,7,10,70.00 %,2022/23
264,265,Lovro Jotić,LEI,Centre Back,6,,7,16,43.75 %,2022/23
265,266,Nikita Pliuto,WET,Pivot,14,,6,7,85.71 %,2022/23
266,267,Vladan Lipovina,SCM,Right Back,17,,6,14,42.86 %,2022/23
267,268,Anton Lindskog,SGF,Pivot,26,,6,8,75.00 %,2022/23
268,269,Nikolai Link,HCE,Left Back,33,,6,10,60.00 %,2022/23
269,270,Tom Bergner,BHC,Pivot,18,,6,9,66.67 %,2022/23
270,271,Marko Vignjevic,GWD,Left Back,4,,6,18,33.33 %,2022/23
271,272,Thore Feit,HSV,Pivot,22,,6,6,100.00 %,2022/23
272,273,Tobias Schmitz,BHC,Left Wing,16,,6,9,66.67 %,2022/23
273,274,Paul Ohl,GUM,Left Back,6,,5,8,62.50 %,2022/23
274,275,Niko Blaauw,TBV,Centre Back,33,,5,10,50.00 %,2022/23
275,276,Nikola Portner,SCM,Goalkeeper,34,,5,8,62.50 %,2022/23
276,277,Lukas Süsser,TVB,Pivot,8,,4,6,66.67 %,2022/23
277,278,Theo Straub,RNL,Right Wing,2,,4,11,36.36 %,2022/23
278,279,Lukas Laube,TVB,Pivot,15,,4,8,50.00 %,2022/23
279,280,Lukas Ossenkopp,HSV,Left Back,17,,4,6,66.67 %,2022/23
280,281,Mike Jensen,SCM,Goalkeeper,32,,4,5,80.00 %,2022/23
281,282,Valter Chrintz,BER,Right Wing,10,,4,11,36.36 %,2022/23
282,283,David Späth,RNL,Goalkeeper,25,,4,4,100.00 %,2022/23
283,284,Robert Timmermeister,RNL,Left Back,21,,4,8,50.00 %,2022/23
284,285,Niclas Benedict Heitkamp,LEI,Centre Back,18,,4,8,50.00 %,2022/23
285,286,Matthes Langhoff,BER,Left Back,20,,4,10,40.00 %,2022/23
286,287,Ole Klimpke,WET,unknown,9,,4,13,30.77 %,2022/23
287,288,Lion Zacharias,RNL,Left Wing,10,,4,12,33.33 %,2022/23
288,289,Jan Waldgenbach,MTM,Right Back,7,,3,6,50.00 %,2022/23
289,290,Max Beneke,BER,Right Back,2,,3,4,75.00 %,2022/23
290,291,Christopher Rudeck,BHC,Goalkeeper,33,,3,6,50.00 %,2022/23
291,292,Vladimir Bozic,ASV,Goalkeeper,34,,3,3,100.00 %,2022/23
292,293,Tibor Ivanisevic,GUM,Goalkeeper,34,,3,5,60.00 %,2022/23
293,294,Philipp Ahouansou,RNL,Left Back,8,,3,6,50.00 %,2022/23
294,295,Ben Beekmann,MTM,Left Wing,17,,3,9,33.33 %,2022/23
295,296,Elias Scholtes,RNL,Right Back,5,,3,4,75.00 %,2022/23
296,297,Paul Giesselmann,BHC,Left Wing,4,,2,2,100.00 %,2022/23
297,298,Ole Machner,BER,unknown,1,,2,2,100.00 %,2022/23
298,299,Justin Wollny,HAN,Left Wing,4,,2,4,50.00 %,2022/23
299,300,Benjamin Burić,SGF,Goalkeeper,34,,2,4,50.00 %,2022/23
