,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
84,85,Andreas Bornemann,ASV,unknown,34,,83,178,46.63 %,2022/23
85,86,Lasse Møller,SGF,Left Back,33,,83,141,58.87 %,2022/23
86,87,Matej Klima,LEI,Left Back,25,,83,137,60.58 %,2022/23
87,88,Tilen Kodrin,GUM,Left Wing,32,,82,120,68.33 %,2022/23
88,89,Tom Jansen,GUM,unknown,33,,80,167,47.90 %,2022/23
89,90,Andre Gomes,MTM,Left Back,34,,80,159,50.31 %,2022/23
90,91,Jon Lindenchrone Andersen,FAG,Right Back,34,,79,141,56.03 %,2022/23
91,92,Gedeón Guardiola,TBV,Pivot,32,,77,116,66.38 %,2022/23
92,93,Tim Kneule,FAG,Centre Back,34,,77,146,52.74 %,2022/23
93,94,Milos Vujovic,BER,Left Wing,34,,77,100,77.00 %,2022/23
94,95,Dominik Axmann,HSV,Left Back,32,,76,132,57.58 %,2022/23
95,96,Kresimir Kozina,FAG,Pivot,34,,75,110,68.18 %,2022/23
96,97,Azat Valiullin,HSV,Left Back,34,,75,151,49.67 %,2022/23
97,98,Oskar Sunnefeldt,LEI,Left Back,26,,75,138,54.35 %,2022/23
98,99,Tim Freihöfer,BER,Left Wing,33,,74,107,69.16 %,2022/23
99,100,Mads Mensah Larsen,SGF,unknown,34,,73,135,54.07 %,2022/23
100,101,Patrick Zieker,TVB,Left Wing,33,,73,108,67.59 %,2022/23
101,102,Arnar Freyr Arnarsson,MTM,Pivot,34,,73,93,78.49 %,2022/23
102,103,Gøran Søgard Johannessen,SGF,Left Back,34,,72,123,58.54 %,2022/23
103,104,Emil Buhl Lærke,TBV,Left Back,32,,72,164,43.90 %,2022/23
104,105,Lutz Heiny,HCE,Left Back,34,,71,130,54.62 %,2022/23
105,106,Olle Forsell Schefvert,RNL,Centre Back,32,,71,95,74.74 %,2022/23
106,107,Kevin Maageroe Gulliksen,FAG,Right Wing,23,,71,110,64.55 %,2022/23
107,108,Niclas Pieczkowski,GWD,Centre Back,27,,70,145,48.28 %,2022/23
108,109,Lukas Mertens,SCM,Left Wing,34,,70,98,71.43 %,2022/23
109,110,Elvar Örn Jonsson,MTM,Left Back,23,,70,122,57.38 %,2022/23
110,111,Domagoj Duvnjak,THW,Centre Back,34,,68,102,66.67 %,2022/23
111,112,Emil Mellegard,WET,Left Wing,33,,68,114,59.65 %,2022/23
112,113,Adam Nyfjäll,WET,Pivot,32,,68,95,71.58 %,2022/23
113,114,Mathias Bitsch,GWD,Right Back,32,,68,158,43.04 %,2022/23
114,115,Benjamin Helander,RNL,Left Wing,33,,68,98,69.39 %,2022/23
115,116,Paul Drux,BER,Left Back,26,,67,98,68.37 %,2022/23
116,117,Timo Kastening,MTM,Right Wing,16,,67,96,69.79 %,2022/23
117,118,Max Häfner,TVB,Centre Back,34,,67,139,48.20 %,2022/23
118,119,Magnus Landin Jacobsen,THW,Left Wing,29,,67,99,67.68 %,2022/23
119,120,Philipp Weber,SCM,Left Back,32,,65,112,58.04 %,2022/23
120,121,Lukas Nilsson,RNL,Left Back,25,,65,106,61.32 %,2022/23
121,122,Jan Brosch,TBV,Pivot,33,,65,87,74.71 %,2022/23
122,123,Marian Michalczik,HAN,Centre Back,34,,64,106,60.38 %,2022/23
123,124,Lars Weissgerber,WET,Right Wing,34,,64,95,67.37 %,2022/23
124,125,Renars Uscins,HAN,Right Back,27,,64,113,56.64 %,2022/23
125,126,Tim Roman Wieling,ASV,Right Wing,31,,63,96,65.63 %,2022/23
126,127,Maciej Gebala,LEI,Pivot,29,,63,81,77.78 %,2022/23
127,128,Björn Zintel,ASV,Centre Back,20,,61,119,51.26 %,2022/23
128,129,Ole Pregler,GUM,Centre Back,34,,61,119,51.26 %,2022/23
129,130,Stefan Cavor,WET,Right Back,16,,60,121,49.59 %,2022/23
130,131,Yonatan Dayan,ASV,unknown,34,,60,101,59.41 %,2022/23
131,132,David Mandic,MTM,Left Wing,27,,60,92,65.22 %,2022/23
132,133,Hannes Feise,HAN,Left Wing,34,,59,94,62.77 %,2022/23
133,134,Hendrik Wagner,WET,Left Back,32,,59,114,51.75 %,2022/23
134,135,Jaka Malus,FAG,Centre Back,33,,59,111,53.15 %,2022/23
135,136,Isak Persson,BHC,Right Wing,32,,59,82,71.95 %,2022/23
136,137,Vincent Büchner,HAN,Left Wing,28,,58,81,71.60 %,2022/23
137,138,Halil Jaganjac,RNL,Left Back,13,,58,87,66.67 %,2022/23
138,139,Hakon Styrmisson,GUM,Left Wing,31,,58,96,60.42 %,2022/23
139,140,Simon Ernst,LEI,Centre Back,34,,57,97,58.76 %,2022/23
140,141,Tobias Ellebæk,FAG,Left Back,28,,57,128,44.53 %,2022/23
141,142,Robert Weber,BER,Right Wing,15,,56,76,73.68 %,2022/23
142,143,Erik Schmidt,WET,Pivot,32,,56,73,76.71 %,2022/23
143,144,Ivan Martinovic,MTM,Right Back,15,,56,97,57.73 %,2022/23
144,145,Luka Sebetic,GWD,unknown,25,,54,108,50.00 %,2022/23
145,146,Veit Mävers,HAN,Centre Back,31,,54,89,60.67 %,2022/23
146,147,Johannes Sellin,HCE,Right Wing,33,,53,81,65.43 %,2022/23
147,148,Alexander Weck,BHC,Left Back,33,,53,106,50.00 %,2022/23
148,149,Vladan Lipovina,WET,Right Back,18,,52,119,43.70 %,2022/23
149,150,Jan Forstbauer,TVB,Right Back,30,,52,116,44.83 %,2022/23
150,151,Simon Hald Jensen,SGF,Pivot,32,,52,68,76.47 %,2022/23
151,152,Leif Tissier,HSV,Centre Back,20,,51,82,62.20 %,2022/23
152,153,Kristjan Horzen,RNL,Pivot,34,,51,72,70.83 %,2022/23
153,154,Blaž Blagotinšek,FAG,Pivot,32,,50,65,76.92 %,2022/23
154,155,Hendrik Pekeler,THW,Pivot,23,,50,74,67.57 %,2022/23
155,156,Matthias Musche,SCM,Left Wing,30,,50,71,70.42 %,2022/23
156,157,Evgeni Pevnov,HAN,Pivot,27,,50,67,74.63 %,2022/23
157,158,Tim Nothdurft,BHC,Left Wing,20,,50,65,76.92 %,2022/23
158,159,Max Staar,GWD,Right Wing,31,,50,93,53.76 %,2022/23
159,160,Dimitri Ignatow,MTM,Right Wing,33,,50,68,73.53 %,2022/23
160,161,Jerome Müller,TVB,Right Back,22,,50,114,43.86 %,2022/23
161,162,Antonio Metzner,HCE,Right Back,23,,50,86,58.14 %,2022/23
162,163,Petter Øverby,THW,Pivot,34,,50,63,79.37 %,2022/23
163,164,Tom Kare Nikolaisen,BHC,Pivot,32,,50,71,70.42 %,2022/23
164,165,Justus Fischer,HAN,Pivot,29,,49,63,77.78 %,2022/23
165,166,Lucas Meister,SCM,Pivot,33,,48,68,70.59 %,2022/23
166,167,Andreas Magaard,HSV,Pivot,26,,48,63,76.19 %,2022/23
167,168,Manuel Zehnder,HCE,Centre Back,34,,48,93,51.61 %,2022/23
168,169,Jim Gottfridsson,SGF,Centre Back,18,,47,59,79.66 %,2022/23
169,170,Stefan Bauer,ASV,Pivot,30,,47,82,57.32 %,2022/23
170,171,Axel Goller,FAG,Right Wing,34,,46,76,60.53 %,2022/23
171,172,Alexander Schulze,ASV,Left Wing,34,,46,81,56.79 %,2022/23
172,173,Arnor Thor Gunnarsson,BHC,Right Wing,33,,45,63,71.43 %,2022/23
173,174,Daniel Pettersson,SCM,Right Wing,28,,45,62,72.58 %,2022/23
174,175,Bobby Schagen,TBV,Right Wing,32,,45,63,71.43 %,2022/23
