,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
0,1,Bjarki Mar Elisson,TBV,Left Wing,27,,216,287,75.26 %,2019/20
1,2,Hans Lindberg,BER,Right Wing,27,,203,255,79.61 %,2019/20
2,3,Michael Damgaard,SCM,Left Back,27,,166,311,53.38 %,2019/20
3,4,Robert Weber,NOL,Right Wing,27,,164,235,69.79 %,2019/20
4,5,Niclas Ekberg,THW,Right Wing,26,,164,201,81.59 %,2019/20
5,6,Marcel Schiller,FAG,Left Wing,25,,156,223,69.96 %,2019/20
6,7,Patrick Zieker,TVB,Left Wing,27,,145,195,74.36 %,2019/20
7,8,Timo Kastening,HAN,Right Wing,27,,144,200,72.00 %,2019/20
8,9,Uwe Gensheimer,RNL,Left Wing,22,,134,177,75.71 %,2019/20
9,10,Jeffrey Boomhouwer,BHC,Left Wing,27,,132,180,73.33 %,2019/20
10,11,Kai Häfner,MTM,Right Back,25,,125,230,54.35 %,2019/20
11,12,Christoffer Rambo,GWD,Right Back,25,,125,240,52.08 %,2019/20
12,13,Morten Olsen,HAN,Centre Back,25,,119,208,57.21 %,2019/20
13,14,Andy Schmid,RNL,Centre Back,25,,117,231,50.65 %,2019/20
14,15,Johannes Sellin,HCE,Right Wing,27,,113,157,71.97 %,2019/20
15,16,Marian Michalczik,GWD,Centre Back,24,,111,187,59.36 %,2019/20
16,17,Jonathan Carlsbogard,TBV,Left Back,24,,111,195,56.92 %,2019/20
17,18,Sime Ivic,HCE,Right Back,27,,111,187,59.36 %,2019/20
18,19,Jannik Kohlbacher,RNL,Pivot,26,,110,137,80.29 %,2019/20
19,20,Gøran Søgard Johannessen,SGF,Left Back,27,,110,199,55.28 %,2019/20
20,21,Maximilian Holst,WET,Left Wing,27,,107,147,72.79 %,2019/20
21,22,Vladan Lipovina,HBW,Right Back,25,,107,211,50.71 %,2019/20
22,23,Julius Kühn,MTM,Left Back,26,,107,210,50.95 %,2019/20
23,24,Jerome Müller,LUD,Right Back,27,,107,194,55.15 %,2019/20
24,25,Oddur Gretarsson,HBW,Left Wing,26,,106,135,78.52 %,2019/20
25,26,Tim Hornke,SCM,Right Wing,26,,103,150,68.67 %,2019/20
26,27,Jim Gottfridsson,SGF,Centre Back,27,,101,163,61.96 %,2019/20
27,28,Franz Semper,LEI,Right Back,22,,100,165,60.61 %,2019/20
28,29,Philipp Weber,LEI,Left Back,25,,98,173,56.65 %,2019/20
29,30,Stefan Cavor,WET,Right Back,27,,97,188,51.60 %,2019/20
30,31,Kristian Bjornsen,WET,Right Wing,27,,97,123,78.86 %,2019/20
31,32,Kevin Maageroe Gulliksen,GWD,Right Wing,26,,96,132,72.73 %,2019/20
32,33,Pavel Mickal,NOL,Left Wing,27,,93,139,66.91 %,2019/20
33,34,Anton Lindskog,WET,Pivot,25,,92,117,78.63 %,2019/20
34,35,Matthias Musche,SCM,Left Wing,27,,92,131,70.23 %,2019/20
35,36,Lukas Binder,LEI,Left Wing,26,,90,120,75.00 %,2019/20
36,37,Harald Reinkind,THW,Right Back,26,,89,159,55.97 %,2019/20
37,38,Kresimir Kozina,FAG,Pivot,26,,88,111,79.28 %,2019/20
38,39,Fabian Böhm,HAN,Left Back,27,,88,148,59.46 %,2019/20
39,40,Paul Drux,BER,Left Back,23,,87,134,64.93 %,2019/20
40,41,Olle Forsell Schefvert,WET,Centre Back,27,,87,143,60.84 %,2019/20
41,42,Magnus Abelvik Rød,SGF,Right Back,20,,87,139,62.59 %,2019/20
42,43,Lasse Mikkelsen,MTM,Centre Back,24,,86,142,60.56 %,2019/20
43,44,Johannes Golla,SGF,Pivot,27,,85,108,78.70 %,2019/20
44,45,David Schmidt,TVB,Right Back,17,,85,159,53.46 %,2019/20
45,46,Jona Schoch,HBW,Left Back,27,,84,151,55.63 %,2019/20
46,47,Lucas Krzikalla,LEI,Right Wing,25,,84,112,75.00 %,2019/20
47,48,Andreas Cederholm,TBV,Right Back,27,,83,162,51.23 %,2019/20
48,49,Arnor Thor Gunnarsson,BHC,Right Wing,24,,82,122,67.21 %,2019/20
49,50,Daniel Pettersson,SCM,Right Wing,27,,81,113,71.68 %,2019/20
50,51,Marcel Niemeyer,HBW,Pivot,27,,81,114,71.05 %,2019/20
51,52,Nikola Bilyk,THW,Left Back,23,,80,139,57.55 %,2019/20
52,53,Tim Kneule,FAG,Centre Back,26,,78,142,54.93 %,2019/20
53,54,Georg Pöhle,NOL,unknown,27,,77,189,40.74 %,2019/20
54,55,Hendrik Pekeler,THW,Pivot,26,,75,94,79.79 %,2019/20
55,56,Bobby Schagen,TBV,Right Wing,27,,75,106,70.75 %,2019/20
56,57,Patrick Wiesmach Larsen,LEI,Right Wing,24,,75,100,75.00 %,2019/20
57,58,Jacob Tandrup Holm,BER,Centre Back,24,,75,132,56.82 %,2019/20
58,59,Fabian Gutbrod,BHC,Left Back,25,,74,146,50.68 %,2019/20
59,60,Marino Maric,MTM,Pivot,26,,73,95,76.84 %,2019/20
60,61,Nejc Cehte,HAN,Right Back,27,,73,129,56.59 %,2019/20
61,62,Adam Lönn,TVB,Left Back,23,,73,140,52.14 %,2019/20
62,63,Mijajlo Marsenic,BER,Pivot,25,,72,95,75.79 %,2019/20
63,64,Marius Steinhauser,SGF,Right Wing,27,,71,98,72.45 %,2019/20
64,65,Max Darj,BHC,Pivot,27,,71,101,70.30 %,2019/20
65,66,Ivan Sliskovic,FAG,Left Back,20,,71,147,48.30 %,2019/20
66,67,Nico Büdel,HCE,Centre Back,27,,70,139,50.36 %,2019/20
67,68,Tobias Reichmann,MTM,Right Wing,25,,69,104,66.35 %,2019/20
68,69,Pascal Durak,LUD,Right Wing,27,,68,87,78.16 %,2019/20
69,70,Lenny Rubin,WET,Left Back,27,,68,117,58.12 %,2019/20
70,71,Sebastian Firnhaber,HCE,Pivot,27,,67,94,71.28 %,2019/20
71,72,Dominik Mappes,LUD,Centre Back,24,,66,138,47.83 %,2019/20
72,73,Fabian Wiede,BER,Right Back,20,,65,105,61.90 %,2019/20
73,74,Patrick Groetzki,RNL,Right Wing,26,,65,102,63.73 %,2019/20
74,75,Domagoj Duvnjak,THW,Centre Back,24,,65,121,53.72 %,2019/20
75,76,Gregor Thomann,HBW,Right Wing,27,,65,97,67.01 %,2019/20
