,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
76,77,Mads Mensah Larsen,RNL,Left Back,26,,64,116,55.17 %,2019/20
77,78,Michael Allendorf,MTM,Left Wing,23,,64,93,68.82 %,2019/20
78,79,Christian O'Sullivan,SCM,Centre Back,26,,63,106,59.43 %,2019/20
79,80,Sascha Pfattheicher,TVB,Right Wing,25,,62,86,72.09 %,2019/20
80,81,Linus Arnesson,BHC,Centre Back,25,,61,143,42.66 %,2019/20
81,82,Magnus Jøndal,SGF,Left Wing,26,,61,99,61.62 %,2019/20
82,83,Ivan Martinovic,HAN,Right Back,20,,61,101,60.40 %,2019/20
83,84,Patrick Miedema,NOL,Centre Back,26,,60,96,62.50 %,2019/20
84,85,Antonio Metzner,HCE,Right Back,25,,59,97,60.82 %,2019/20
85,86,Zarko Peshevski,TVB,Pivot,27,,58,77,75.32 %,2019/20
86,87,Max Neuhaus,LUD,Centre Back,23,,58,96,60.42 %,2019/20
87,88,Christian Klimek,TBV,Pivot,26,,57,81,70.37 %,2019/20
88,89,Nemanja Zelenovic,FAG,Right Back,21,,56,104,53.85 %,2019/20
89,90,Marko Mamic,LEI,Left Back,26,,56,114,49.12 %,2019/20
90,91,Niclas Kirkeløkke,RNL,Right Back,26,,56,93,60.22 %,2019/20
91,92,Ilija Brozovic,HAN,Pivot,22,,55,76,72.37 %,2019/20
92,93,Dominik Weiß,TVB,Left Back,22,,54,125,43.20 %,2019/20
93,94,Patrick Wiencek,THW,Pivot,26,,54,76,71.05 %,2019/20
94,95,Magnus Landin Jacobsen,THW,Left Wing,26,,54,69,78.26 %,2019/20
95,96,Christoph Theuerkauf,TBV,Pivot,21,,53,67,79.10 %,2019/20
96,97,Savvas Savvas,GWD,Left Back,25,,52,98,53.06 %,2019/20
97,98,Lukas Saueressig,HBW,Centre Back,27,,52,87,59.77 %,2019/20
98,99,Johan Koch,BER,Pivot,27,,52,65,80.00 %,2019/20
99,100,Maciej Gebala,LEI,Pivot,26,,52,64,81.25 %,2019/20
100,101,Lucas Meister,GWD,Pivot,26,,52,67,77.61 %,2019/20
101,102,Martin Strobel,HBW,Centre Back,18,,51,86,59.30 %,2019/20
102,103,Nicolai Theilinger,FAG,Right Back,26,,50,84,59.52 %,2019/20
103,104,Max Häfner,TVB,Centre Back,27,,50,111,45.05 %,2019/20
104,105,Magnus Gullerud,GWD,Pivot,23,,49,61,80.33 %,2019/20
105,106,Jonathan Scholz,LUD,Left Wing,27,,49,77,63.64 %,2019/20
106,107,Julian Possehl,NOL,Right Back,26,,49,85,57.65 %,2019/20
107,108,Tim Nothdurft,HBW,Left Wing,27,,48,69,69.57 %,2019/20
108,109,Lukas Nilsson,THW,Left Back,24,,48,99,48.48 %,2019/20
109,110,Albin Lagergren,SCM,Right Back,23,,48,86,55.81 %,2019/20
110,111,Alexander Petersson,RNL,Right Back,22,,47,91,51.65 %,2019/20
111,112,Lasse Svan,SGF,Right Wing,26,,47,65,72.31 %,2019/20
112,113,Nikolai Link,HCE,Left Back,25,,47,94,50.00 %,2019/20
113,114,Evgeni Pevnov,HAN,Pivot,26,,47,63,74.60 %,2019/20
114,115,Emil Frend Öfors,WET,Left Wing,27,,47,61,77.05 %,2019/20
115,116,Michael Haaß,HCE,Centre Back,26,,46,84,54.76 %,2019/20
116,117,Steffen Weinhold,THW,Right Back,20,,46,77,59.74 %,2019/20
117,118,Kai Dippe,LUD,Pivot,25,,46,61,75.41 %,2019/20
118,119,Alexander Falk,LUD,Right Wing,27,,46,69,66.67 %,2019/20
119,120,Philipp Vorlicek,NOL,Right Back,17,,46,80,57.50 %,2019/20
120,121,Cristian Ugalde Garcia,HAN,Left Wing,25,,46,66,69.70 %,2019/20
121,122,Juri Knorr,GWD,Centre Back,17,,45,70,64.29 %,2019/20
122,123,Marko Bezjak,SCM,Centre Back,20,,44,66,66.67 %,2019/20
123,124,Christopher Bissel,HCE,Left Wing,27,,44,69,63.77 %,2019/20
124,125,Florian von Gruchalla,HCE,Right Wing,27,,44,63,69.84 %,2019/20
125,126,Filip Taleski,HBW,Left Back,26,,43,107,40.19 %,2019/20
126,127,Filip Mirkulovski,WET,Centre Back,27,,42,68,61.76 %,2019/20
127,128,Azat Valiullin,LUD,Left Back,22,,42,96,43.75 %,2019/20
128,129,Tomas Babak,BHC,Centre Back,27,,42,83,50.60 %,2019/20
129,130,Miha Zarabec,THW,Centre Back,26,,42,76,55.26 %,2019/20
130,131,Simon Jeppsson,SGF,Left Back,27,,42,90,46.67 %,2019/20
131,132,Isaias Guardiola Villaplana,TBV,Right Back,24,,41,89,46.07 %,2019/20
132,133,Kristian Nippes,BHC,Right Back,25,,41,85,48.24 %,2019/20
133,134,Frederic Stüber,LUD,Pivot,27,,41,48,85.42 %,2019/20
134,135,Tim Ruggiero-Matthes,BER,Left Wing,27,,41,62,66.13 %,2019/20
135,136,Luca Witzke,LEI,Centre Back,24,,40,70,57.14 %,2019/20
136,137,Jacob Bagersted,FAG,Pivot,24,,39,46,84.78 %,2019/20
137,138,Mait Patrail,HAN,Left Back,26,,39,63,61.90 %,2019/20
138,139,Romain Lagarde,RNL,Centre Back,23,,39,81,48.15 %,2019/20
139,140,Zeljko Musa,SCM,Pivot,23,,38,47,80.85 %,2019/20
140,141,Yves Kunkel,MTM,Left Wing,26,,38,59,64.41 %,2019/20
141,142,Lukas Mertens,SCM,Left Wing,27,,37,51,72.55 %,2019/20
142,143,Mats Korte,GWD,Left Wing,26,,36,56,64.29 %,2019/20
143,144,Alexander Feld,WET,Centre Back,27,,36,72,50.00 %,2019/20
144,145,Quentin Minel,HCE,Left Back,27,,36,75,48.00 %,2019/20
145,146,Rene Zobel,HBW,Right Back,27,,35,67,52.24 %,2019/20
146,147,Marco Rentschler,FAG,Right Wing,26,,35,51,68.63 %,2019/20
147,148,Christoph Reißky,GWD,Right Back,26,,34,77,44.16 %,2019/20
148,149,Maximilian Janke,LEI,Centre Back,25,,33,48,68.75 %,2019/20
149,150,Vincent Büchner,HAN,Left Wing,26,,33,43,76.74 %,2019/20
150,151,Dani Baijens,TBV,Centre Back,23,,33,65,50.77 %,2019/20
151,152,Aliaksandr Padshyvalau,GWD,Centre Back,22,,33,55,60.00 %,2019/20
152,153,Alfred Jönsson,HAN,Centre Back,21,,33,58,56.90 %,2019/20
153,154,Tim Sörensen,FAG,Right Wing,26,,32,51,62.75 %,2019/20
154,155,Jesper Nielsen,RNL,Pivot,20,,32,37,86.49 %,2019/20
155,156,Tim Roman Wieling,TVB,Right Wing,27,,31,42,73.81 %,2019/20
156,157,Robert Markotic,TVB,Right Back,22,,31,61,50.82 %,2019/20
157,158,Kevin Struck,BER,Left Back,26,,30,43,69.77 %,2019/20
158,159,Anders Zachariassen,SGF,Pivot,27,,30,45,66.67 %,2019/20
159,160,Ole Rahmel,THW,Right Wing,26,,30,38,78.95 %,2019/20
160,161,Manuel Späth,TVB,Pivot,26,,30,41,73.17 %,2019/20
161,162,Lutz Heiny,NOL,Left Back,27,,30,68,44.12 %,2019/20
162,163,Lukas Stutzke,BHC,Left Back,27,,29,53,54.72 %,2019/20
163,164,Holger Glandorf,SGF,Right Back,24,,29,41,70.73 %,2019/20
164,165,Ragnar Johannsson,BHC,Right Back,26,,29,55,52.73 %,2019/20
165,166,Dominik Kalafut,NOL,Pivot,27,,29,39,74.36 %,2019/20
166,167,Rudolf Faluvegi,TVB,Centre Back,21,,29,71,40.85 %,2019/20
167,168,Finn Lemke,MTM,Left Back,22,,28,38,73.68 %,2019/20
168,169,Gunnar Dietrich,LUD,Left Back,27,,28,64,43.75 %,2019/20
169,170,Yannick Fraatz,BHC,Right Wing,24,,28,35,80.00 %,2019/20
170,171,Domagoj Pavlovic,MTM,Centre Back,26,,28,49,57.14 %,2019/20
171,172,Petter Øverby,HCE,Pivot,15,,28,47,59.57 %,2019/20
172,173,Christoph Steinert,SCM,Right Back,27,,26,48,54.17 %,2019/20
173,174,Rune Dahmke,THW,Left Wing,26,,26,37,70.27 %,2019/20
174,175,Dainis Krištopāns,BER,Right Back,5,,26,36,72.22 %,2019/20
175,176,Hampus Wanne,SGF,Left Wing,9,,25,34,73.53 %,2019/20
176,177,Sebastian Damm,BHC,Left Wing,25,,25,45,55.56 %,2019/20
177,178,Alexander Weck,BHC,Left Back,22,,25,38,65.79 %,2019/20
178,179,Viggó Kristjánsson,WET,Right Back,16,,25,45,55.56 %,2019/20
179,180,Erik Schmidt,SCM,Pivot,26,,24,34,70.59 %,2019/20
180,181,Stefan Salger,MTM,Right Back,25,,24,43,55.81 %,2019/20
181,182,Jerry Tollbring,RNL,Left Wing,25,,24,40,60.00 %,2019/20
182,183,Stipe Mandalinic,BER,Left Back,27,,24,55,43.64 %,2019/20
183,184,Csaba Szücs,BHC,Centre Back,26,,23,48,47.92 %,2019/20
184,185,Benjamin Meschke,HBW,Pivot,25,,23,30,76.67 %,2019/20
185,186,Alen Milosevic,LEI,Pivot,22,,23,30,76.67 %,2019/20
186,187,Timm Schneider,MTM,Centre Back,25,,23,37,62.16 %,2019/20
187,188,Dimitri Ignatow,MTM,Right Wing,26,,23,30,76.67 %,2019/20
188,189,Joscha Ritterbach,GWD,Left Wing,23,,23,33,69.70 %,2019/20
189,190,Elvar Asgeirsson,TVB,Centre Back,26,,23,40,57.50 %,2019/20
190,191,Sebastian Heymann,FAG,Left Back,9,,22,47,46.81 %,2019/20
191,192,Christian Zeitz,TVB,Right Back,6,,22,41,53.66 %,2019/20
192,193,Luca de Boer,NOL,Pivot,27,,22,42,52.38 %,2019/20
193,194,Pascal Bührer,LUD,Centre Back,24,,22,41,53.66 %,2019/20
194,195,Steffen Fäth,RNL,Left Back,22,,21,44,47.73 %,2019/20
195,196,Jan Schäffer,HCE,Pivot,26,,21,29,72.41 %,2019/20
196,197,Rafael Baena Gonzalez,BHC,Pivot,26,,21,27,77.78 %,2019/20
197,198,Michał Jurecki,SGF,Left Back,27,,20,33,60.61 %,2019/20
198,199,Simon Ernst,BER,Centre Back,8,,20,33,60.61 %,2019/20
199,200,Jannik Hofmann,LUD,Left Wing,19,,20,31,64.52 %,2019/20
200,201,Lasse Seidel,NOL,Left Wing,19,,20,26,76.92 %,2019/20
201,202,Frederik Simak,BER,Left Back,27,,20,43,46.51 %,2019/20
202,203,Marko Kopljar,BER,Right Back,21,,20,33,60.61 %,2019/20
203,204,Fabian van Olphen,TBV,Left Back,20,,19,35,54.29 %,2019/20
204,205,Roman Sidorowicz,MTM,Centre Back,26,,19,34,55.88 %,2019/20
205,206,Jakov Gojun,BER,Left Back,24,,18,24,75.00 %,2019/20
206,207,Andrej Kogut,TBV,Centre Back,17,,18,27,66.67 %,2019/20
207,208,Maciej Majdzinski,BHC,Right Back,10,,18,37,48.65 %,2019/20
208,209,Viggó Kristjánsson,LEI,Right Back,13,,18,32,56.25 %,2019/20
209,210,Jan Remmlinger,LUD,Left Back,22,,17,33,51.52 %,2019/20
210,211,Juan de la Peña,HBW,Centre Back,15,,17,25,68.00 %,2019/20
211,212,Josip Peric,FAG,Centre Back,19,,17,33,51.52 %,2019/20
212,213,Maximilian Haider,LUD,Pivot,26,,16,23,69.57 %,2019/20
213,214,Max Staar,GWD,Right Wing,26,,16,29,55.17 %,2019/20
214,215,Lars Weissgerber,WET,Right Wing,24,,16,27,59.26 %,2019/20
215,216,Till Hermann,FAG,Left Wing,26,,16,22,72.73 %,2019/20
216,217,Lukas Zerbe,TBV,Right Wing,27,,15,25,60.00 %,2019/20
217,218,Moritz Preuss,SCM,Pivot,18,,15,20,75.00 %,2019/20
218,219,Michael Müller,BER,Right Back,27,,15,26,57.69 %,2019/20
219,220,Nils Torbrügge,WET,Pivot,27,,15,24,62.50 %,2019/20
220,221,Piotr Chrapkowski,SCM,Left Back,27,,15,21,71.43 %,2019/20
221,222,Anton Prakapenia,NOL,Left Back,18,,15,34,44.12 %,2019/20
222,223,Filip Kuzmanovski,SCM,Left Back,27,,15,27,55.56 %,2019/20
223,224,Pouya Norouzinezhad,FAG,Centre Back,5,,14,21,66.67 %,2019/20
224,225,Samuel Röthlisberger,TVB,Pivot,27,,14,19,73.68 %,2019/20
225,226,Toon Leenders,NOL,Pivot,27,,14,20,70.00 %,2019/20
226,227,Hannes Feise,HAN,Left Wing,25,,13,18,72.22 %,2019/20
227,228,Bastian Roscheck,LEI,Pivot,26,,13,15,86.67 %,2019/20
228,229,Fynn Hangstein,TBV,Left Back,23,,13,25,52.00 %,2019/20
229,230,Alexander Reimann,TBV,Left Wing,24,,13,17,76.47 %,2019/20
230,231,Joao Ferraz,WET,Right Back,10,,12,24,50.00 %,2019/20
231,232,Gedeón Guardiola,RNL,Pivot,26,,12,20,60.00 %,2019/20
232,233,Jannik Hausmann,HBW,Right Wing,23,,12,22,54.55 %,2019/20
233,234,Raul Santos,LEI,Left Wing,17,,12,19,63.16 %,2019/20
234,235,Alexander Terwolbeck,NOL,Centre Back,25,,12,22,54.55 %,2019/20
235,236,Kay Smits,SCM,Right Back,6,,12,18,66.67 %,2019/20
236,237,Miljan Pusica,GWD,Left Back,20,,12,26,46.15 %,2019/20
237,238,Niels Gerardus Versteijnen,SGF,Right Back,19,,12,15,80.00 %,2019/20
238,239,Tim Suton,TBV,Centre Back,7,,11,37,29.73 %,2019/20
239,240,Romas Kirveliavicius,HBW,Left Back,26,,10,20,50.00 %,2019/20
240,241,Stefan Kneer,WET,Left Back,14,,9,14,64.29 %,2019/20
241,242,Felix Danner,MTM,Pivot,19,,9,14,64.29 %,2019/20
242,243,Leos Petrovsky,BHC,Pivot,8,,8,12,66.67 %,2019/20
243,244,Jannes Krone,HAN,Right Wing,14,,8,11,72.73 %,2019/20
244,245,Gregor Remke,LEI,Right Back,18,,6,23,26.09 %,2019/20
245,246,Joshua Thiele,HAN,Pivot,25,,6,8,75.00 %,2019/20
246,247,Simon Hald Jensen,SGF,Pivot,10,,6,9,66.67 %,2019/20
247,248,Marc Esche,LEI,Left Wing,8,,6,9,66.67 %,2019/20
248,249,Nicky Verjans,NOL,Right Wing,21,,5,13,38.46 %,2019/20
249,250,Martin Murawski,HCE,Left Wing,23,,5,8,62.50 %,2019/20
250,251,Jannek Klein,LUD,Right Back,25,,5,15,33.33 %,2019/20
251,252,Hendrik Wagner,LUD,Left Back,4,,5,8,62.50 %,2019/20
252,253,Martin Hanne,HAN,Left Back,8,,5,8,62.50 %,2019/20
253,254,Jens Schöngarth,SGF,Right Back,7,,4,13,30.77 %,2019/20
254,255,Philipp Müller,LEI,Left Back,24,,4,7,57.14 %,2019/20
255,256,Ymir Örn Gislason,RNL,Pivot,5,,4,6,66.67 %,2019/20
256,257,Till Klimpke,WET,Goalkeeper,25,,3,3,100.00 %,2019/20
257,258,Dario Quenstedt,THW,Goalkeeper,25,,3,3,100.00 %,2019/20
258,259,Piotr Wyszomirski,TBV,Goalkeeper,25,,3,4,75.00 %,2019/20
259,260,Donát Bartók,TBV,Right Back,4,,3,5,60.00 %,2019/20
260,261,Domenico Ebner,HAN,Goalkeeper,27,,3,4,75.00 %,2019/20
261,262,Alec Smit,NOL,Right Wing,11,,3,11,27.27 %,2019/20
262,263,Urban Lesjak,HAN,Goalkeeper,27,,3,5,60.00 %,2019/20
263,264,Dejan Milosavljev,BER,Goalkeeper,14,,3,4,75.00 %,2019/20
264,265,Daniel Mosindi,HCE,Right Back,9,,3,5,60.00 %,2019/20
265,266,Javier Munoz Cabezon,BER,Right Wing,6,,3,4,75.00 %,2019/20
266,267,Pavel Horak,THW,Left Back,26,,2,3,66.67 %,2019/20
267,268,Jens Vortmann,LEI,Goalkeeper,26,,2,2,100.00 %,2019/20
268,269,Johannes Bitter,TVB,Goalkeeper,27,,2,3,66.67 %,2019/20
269,270,Niklas Landin Jacobsen,THW,Goalkeeper,26,,2,3,66.67 %,2019/20
270,271,Espen Christensen,GWD,Goalkeeper,21,,2,2,100.00 %,2019/20
271,272,Malte Voigt,LUD,Left Wing,2,,2,4,50.00 %,2019/20
272,273,Lars Röller,HBW,Pivot,11,,2,3,66.67 %,2019/20
273,274,Maximilian Nowatzki,GWD,Right Back,11,,2,2,100.00 %,2019/20
274,275,Moritz Strosack,HBW,Right Wing,11,,2,3,66.67 %,2019/20
275,276,Gisli Thorgeir Kristjansson,SCM,Centre Back,1,,2,2,100.00 %,2019/20
276,277,Gisli Thorgeir Kristjansson,THW,Centre Back,10,,2,5,40.00 %,2019/20
277,278,Bart Ravensbergen,NOL,Goalkeeper,27,,2,2,100.00 %,2019/20
278,279,Veit Mävers,HAN,Centre Back,16,,2,4,50.00 %,2019/20
279,280,Tim Ganz,RNL,Right Wing,26,,2,2,100.00 %,2019/20
280,281,Mike Jensen,HBW,Goalkeeper,25,,2,2,100.00 %,2019/20
281,282,Marvin Lier,SGF,Left Wing,13,,2,4,50.00 %,2019/20
282,283,Oskar Neudeck,FAG,Left Back,5,,2,2,100.00 %,2019/20
283,284,Andreas Palicka,RNL,Goalkeeper,25,,1,2,50.00 %,2019/20
284,285,Nikolas Katsigiannis,HCE,Goalkeeper,27,,1,1,100.00 %,2019/20
285,286,Peter Johannesson,TBV,Goalkeeper,27,,1,1,100.00 %,2019/20
286,287,Joel Birlehm,LEI,Goalkeeper,25,,1,1,100.00 %,2019/20
287,288,Daniel Rebmann,FAG,Goalkeeper,26,,1,1,100.00 %,2019/20
288,289,Martin Ziemer,BER,Goalkeeper,17,,1,1,100.00 %,2019/20
289,290,Malte Semisch,GWD,Goalkeeper,26,,1,1,100.00 %,2019/20
290,291,Niclas Pieczkowski,LEI,Centre Back,4,,1,2,50.00 %,2019/20
291,292,Jens Wiese,NOL,Left Back,3,,1,4,25.00 %,2019/20
292,293,Levin Zare,NOL,Left Wing,14,,1,5,20.00 %,2019/20
293,294,Gorazd Škof,LUD,Goalkeeper,16,,1,1,100.00 %,2019/20
294,295,Ian Weber,WET,Centre Back,12,,1,1,100.00 %,2019/20
295,296,Ilija Abutovic,RNL,Left Back,26,,1,1,100.00 %,2019/20
296,297,Simon Strakeljahn,GWD,Centre Back,18,,1,2,50.00 %,2019/20
297,298,Christos Erifopoulos,FAG,Centre Back,6,,1,2,50.00 %,2019/20
298,299,Tobias Heinzelmann,HBW,Pivot,2,,1,1,100.00 %,2019/20
299,300,Hannes Bransche,SCM,Right Back,5,,1,1,100.00 %,2019/20
300,301,Urh Kastelic,FAG,Goalkeeper,26,,1,2,50.00 %,2019/20
301,302,Evars Klesniks,TBV,Right Back,7,,0,1,0.00 %,2019/20
302,303,Benjamin Burić,SGF,Goalkeeper,27,,0,0,,2019/20
303,304,Silvio Heinevetter,BER,Goalkeeper,20,,0,1,0.00 %,2019/20
304,305,Mikael Appelgren,RNL,unknown,26,,0,0,,2019/20
305,306,Jannick Green Krejberg,SCM,Goalkeeper,27,,0,1,0.00 %,2019/20
306,307,Carsten Lichtlein,HCE,Goalkeeper,27,,0,0,,2019/20
307,308,Tomas Mrkva,BHC,Goalkeeper,23,,0,0,,2019/20
308,309,Christoph Foth,HBW,Pivot,2,,0,0,,2019/20
309,310,Srđan Predragović,FAG,Right Back,15,,,,,2019/20
310,311,Niklas Diebel,HBW,Left Back,1,,,,,2019/20
311,312,Milos Putera,LEI,Goalkeeper,1,,,,,2019/20
312,313,Christopher Rudeck,BHC,Goalkeeper,27,,0,1,0.00 %,2019/20
313,314,Jonas Dell,BHC,Left Back,2,,,,,2019/20
314,315,Johan Sjöstrand,MTM,Goalkeeper,24,,0,0,,2019/20
315,316,Benedikt Kellner,HCE,Centre Back,13,,0,2,0.00 %,2019/20
316,317,Björn Buhrmester,NOL,Goalkeeper,26,,0,0,,2019/20
317,318,Dennis Bartels,NOL,Goalkeeper,1,,,,,2019/20
318,319,Fin Backs,MTM,Left Wing,3,,,,,2019/20
319,320,Stefan Hanemann,LUD,Goalkeeper,8,,0,0,,2019/20
320,321,Jonas Hönicke,LEI,Centre Back,1,,,,,2019/20
321,322,Nebojsa Simic,MTM,Goalkeeper,26,,0,3,0.00 %,2019/20
322,323,Fynn Malte Schröder,THW,Goalkeeper,6,,0,0,,2019/20
323,324,Finn Zecher,TBV,Goalkeeper,2,,0,1,0.00 %,2019/20
324,325,Vladimir Bozic,HBW,Goalkeeper,25,,0,0,,2019/20
325,326,Fredrik Genz,BER,Goalkeeper,5,,0,0,,2019/20
326,327,Justus Richtzenhain,GWD,Pivot,6,,0,0,,2019/20
327,328,Jacob Heinl,SGF,Pivot,17,,0,1,0.00 %,2019/20
328,329,Maximilian Kessler,RNL,Left Wing,4,,,,,2019/20
329,330,Nick Lehmann,TVB,Goalkeeper,23,,0,0,,2019/20
330,331,Alexander Engelhardt,TBV,Pivot,11,,0,1,0.00 %,2019/20
331,332,Julius Rose,TBV,Left Back,3,,0,0,,2019/20
332,333,Lukas Diedrich,SCM,Goalkeeper,1,,,,,2019/20
333,334,Linus Geis,TBV,Left Back,10,,,,,2019/20
334,335,Malte Donker,HAN,Right Back,14,,0,0,,2019/20
335,336,Leon Hoblaj,LUD,Goalkeeper,3,,0,0,,2019/20
336,337,Justin Kurch,SCM,Pivot,1,,,,,2019/20
337,338,Tibor Ivanisevic,WET,Goalkeeper,23,,0,1,0.00 %,2019/20
338,339,Torben Waldgenbach,WET,Left Back,7,,,,,2019/20
339,340,Shawn Pauly,TBV,Right Back,1,,,,,2019/20
340,341,Torbjørn Bergerud,SGF,Goalkeeper,27,,0,0,,2019/20
